Organism,Scaffold,Start,End,Score,CAA19960.1,CAA19961.1,CAA19962.1,CAA19963.1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000009.1,98331,104987,7.4138,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000027.1,23105,29761,7.4121,1,1,1,1
Streptomyces anthocyanicus JCM 3037,BMPR01000027.1,23105,29761,7.4058,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000036.1,23659,30363,7.4101,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000003.1,57531,64187,7.4121,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,1127598,1134278,7.4119,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,1091592,1098338,7.4128,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,1226033,1232749,7.4107,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000002.1,59855,66463,7.4117,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000005.1,392696,399400,7.4136,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000005.1,392696,399400,7.4070,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000025.1,57407,64147,7.4125,1,1,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000025.1,57407,64147,7.4060,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,1339297,1345917,7.4144,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000001.1,122389,129033,7.4132,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000044.1,16048,22656,7.4126,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,7343530,7350156,7.4152,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000005.1,64308,71060,7.4120,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000024.1,58601,65353,7.4120,1,1,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000033.1,23306,30058,7.4120,1,1,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000031.1,23659,30411,7.4120,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000035.1,23659,30411,7.4120,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000006.1,58601,65353,7.4120,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000004.1,376136,382888,7.4105,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000004.1,366489,373241,7.4105,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,1104571,1111203,7.4121,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000003.1,366867,373631,7.4117,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000017.1,123379,130053,7.4108,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000004.1,434146,440742,7.4106,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000003.1,377158,384046,7.4059,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000003.1,369442,376104,7.4087,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000031.1,23305,29931,7.4155,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,1075653,1082309,7.4143,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000034.1,58114,64746,7.4140,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000034.1,58114,64746,7.4076,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,7399276,7405932,7.4157,1,1,1,1
Streptomyces lividans 1326,CM001889.1,7399276,7405932,7.4105,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,1119057,1125713,7.4157,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000003.1,116815,123408,7.3630,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000007.1,423653,430252,7.3629,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000029.1,27412,34047,7.3632,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000001.1,410231,416824,7.3623,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_CP116256.1,5466136,5472729,7.3623,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000046.1,19092,25643,7.3619,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000007.1,366985,373638,7.3620,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000013.1,221179,227796,7.3659,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000013.1,155640,162224,7.3749,1,1,1,1
Streptomyces tendae NPDC013796,NZ_JBICBD010000019.1,138848,145462,7.3753,1,1,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000009.1,317369,323983,7.3753,1,1,1,1
Streptomyces tendae NPDC048071,NZ_JBEZNE010000014.1,198077,204628,7.3758,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000002.1,221636,228214,7.3757,1,1,1,1
Streptomyces tendae NPDC058749,NZ_JBHYQA010000024.1,26384,32968,7.3759,1,1,1,1
Streptomyces tendae NPDC059843,NZ_JBHWJC010000058.1,19376,25969,7.3626,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000004.1,176077,182667,7.3763,1,1,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000029.1,99884,106444,7.3735,1,1,1,1
Streptomyces tendae NPDC048598,NZ_JBEZID010000001.1,7163,13828,7.3553,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000001.1,293698,300258,7.3737,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000005.1,264205,270789,7.3744,1,1,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000001.1,279505,286092,7.3791,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000002.1,331363,338019,7.3534,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000004.1,283929,290510,7.3570,1,1,1,1
Streptomyces tendae JCM 4610,NZ_BMUY01000011.1,221599,228153,7.3628,1,1,1,1
Streptomyces tendae JCM 4610,BMUY01000011.1,221599,228153,7.3588,1,1,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000003.1,420486,427067,7.3568,1,1,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000004.1,264279,270852,7.3548,1,1,1,1
Streptomyces tendae NPDC052220,NZ_JBFAVG010000022.1,26421,33020,7.3784,1,1,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000001.1,409684,416265,7.3567,1,1,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000018.1,169473,176036,7.3574,1,1,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000010.1,54629,61192,7.3594,1,1,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000002.1,648218,654809,7.3549,1,1,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000022.1,19396,25977,7.3566,1,1,1,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000001.1,190695,197258,7.3580,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000007.1,490777,497295,7.3568,1,1,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000013.1,114556,121089,7.3620,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000012.1,183937,190530,7.3533,1,1,1,1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000039.1,27339,33932,7.3533,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000002.1,488368,494883,7.3551,1,1,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000005.1,362875,369432,7.3541,1,1,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000001.1,565630,572169,7.3551,1,1,1,1
Streptomyces tendae NPDC018039,NZ_JBIRFN010000003.1,461453,467944,7.3601,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000003.1,277085,283576,7.3601,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000007.1,277085,283576,7.3601,1,1,1,1
Streptomyces tendae NPDC001029,NZ_JBIAYI010000001.1,1156572,1163100,7.3563,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000015.1,26726,33272,7.3581,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000016.1,26485,33007,7.3589,1,1,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000001.1,538460,545005,7.3593,1,1,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000047.1,26392,32943,7.3581,1,1,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000001.1,558604,565218,7.3534,1,1,1,1
Streptomyces tendae NPDC003786,NZ_JBIANS010000001.1,490976,497581,7.3490,1,1,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000001.1,198123,204719,7.3524,1,1,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000024.1,19145,25738,7.3483,1,1,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000004.1,62676,69257,7.3556,1,1,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000006.1,284190,290720,7.3468,1,1,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000005.1,497641,504210,7.3479,1,1,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000003.1,272363,278980,7.3473,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000045.1,7237,13893,7.3415,1,1,1,1
Streptomyces coelicoflavus NPDC058541,NZ_JBHXOB010000003.1,78002,84656,7.3322,1,1,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000005.1,303759,310416,7.3299,1,1,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,934858,941512,7.3300,1,1,1,1
Streptomyces coelicoflavus NBC_00099,CP108218.1,934858,941512,7.3282,1,1,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000002.1,964726,971380,7.3319,1,1,1,1
Streptomyces coelicoflavus NBC_00465,JAPENQ010000002.1,964726,971380,7.3301,1,1,1,1
Streptomyces coelicoflavus NPDC059677,NZ_JBHWEQ010000016.1,111422,118076,7.3305,1,1,1,1
Streptomyces coelicoflavus NPDC056610,NZ_JBHTVU010000005.1,120749,127343,7.3293,1,1,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000001.1,589469,596123,7.3269,1,1,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000007.1,222382,229036,7.3287,1,1,1,1
Streptomyces coelicoflavus NPDC059415,NZ_JBHYWE010000011.1,115496,122094,7.3287,1,1,1,1
Streptomyces coelicoflavus NPDC059661,NZ_JBHWEE010000002.1,641427,648052,7.3299,1,1,1,1
Streptomyces coelicoflavus DBR11,NZ_JAMOLO010000045.1,28824,35559,7.3212,1,1,1,1
Streptomyces coelicoflavus LM32,NZ_JBAGKW010000059.1,8390,14949,7.3198,1,1,1,1
Streptomyces ardesiacus NPDC059739,NZ_JBHWGO010000004.1,80109,86818,7.3145,1,1,1,1
Streptomyces ardesiacus NPDC057174,NZ_JBHUVW010000068.1,5132,11841,7.3162,1,1,1,1
Streptomyces ardesiacus NPDC006376,NZ_JBEXQH010000005.1,187482,194176,7.3161,1,1,1,1
Streptomyces ardesiacus NPDC012537,NZ_JBIBEH010000001.1,351728,358434,7.3141,1,1,1,1
Streptomyces ardesiacus NPDC059588,NZ_JBHWCG010000011.1,88849,95552,7.3145,1,1,1,1
Streptomyces ardesiacus NBRC 15402,NZ_BEWC01000001.1,474295,481001,7.3155,1,1,1,1
Streptomyces ardesiacus NPDC093072,NZ_JBIVPG010000005.1,88643,95340,7.3160,1,1,1,1
Streptomyces ardesiacus NPDC006166,NZ_JBEXTN010000004.1,154367,161077,7.3168,1,1,1,1
Streptomyces ardesiacus NPDC094450,NZ_JBEOTR010000018.1,16040,22752,7.3115,1,1,1,1
Streptomyces ardesiacus NPDC093086,NZ_JBIVPC010000001.1,136946,143658,7.3116,1,1,1,1
Streptomyces ardesiacus IBSBF 3360,NZ_JAJSZE010000085.1,7174,13874,7.3138,1,1,1,1
Streptomyces ardesiacus NPDC007026,NZ_JBEYGW010000008.1,164838,171547,7.3129,1,1,1,1
Streptomyces ardesiacus NPDC127099,NZ_JBHXFK010000032.1,24529,31232,7.3158,1,1,1,1
Streptomyces ardesiacus NPDC093553,NZ_JBIWJE010000001.1,529870,536576,7.3154,1,1,1,1
Streptomyces ardesiacus 6G-OA-21,NZ_JAMHJP010000012.1,187966,194672,7.3153,1,1,1,1
Streptomyces ardesiacus 6G-OA-21,JAMHJP010000012.1,187966,194672,7.3155,1,1,1,1
Streptomyces salinarius VRMG2420,NZ_JBITPR010000020.1,21475,28192,7.3215,1,1,1,1
Streptomyces salinarius CS29,NZ_JAVCWJ010000010.1,14057,20798,7.3202,1,1,1,1
Streptomyces salinarius Lnu-12,NZ_JAXLNW010000003.1,354632,361373,7.3202,1,1,1,1
Streptomyces lienomycini DSM 41475,NZ_CP116257.1,2897063,2903659,4.3141,1,1,1,1
Streptomyces lienomycini JCM 6925,NZ_BAAATN010000021.1,21796,28393,7.3221,1,1,1,1
Streptomyces lienomycini JCM 6925,NZ_JBHSJO010000001.1,1087356,1093953,7.3221,1,1,1,1
Streptomyces lienomycini JCM 6925,BAAATN010000021.1,21796,28393,7.3223,1,1,1,1
Streptomyces ambofaciens DSM 40697,NZ_CP012949.1,6610149,6616952,7.3066,1,1,1,1
Streptomyces ambofaciens DSM 40697,CP012949.1,6610149,6616952,7.3062,1,1,1,1
Streptomyces caelestis NRRL B-24567,LGCN01000132.1,62423,69129,7.3014,1,1,1,1
Streptomyces caelestis NRRL B-24567,NZ_LGCN01000132.1,62423,69051,7.2984,1,1,1,1
Streptomyces caelestis NPDC059799,NZ_JBHWIF010000008.1,47952,54562,7.3011,1,1,1,1
Streptomyces caelestis NPDC059362,NZ_JBHYXI010000028.1,31880,38672,7.3011,1,1,1,1
Streptomyces caelestis NPDC085878,NZ_JBFBKA010000027.1,62892,69538,7.2976,1,1,1,1
Streptomyces caelestis NPDC014009,JBICAI010000009.1,62416,69044,7.2984,1,1,1,1
Streptomyces parvulus NPDC046875,NZ_JBEYXL010000001.1,511206,517828,7.3098,1,1,1,1
Streptomyces parvulus NPDC097689,NZ_JBEORZ010000010.1,22167,28903,7.3049,1,1,1,1
Streptomyces parvulus LP03,NZ_JAIWPL010000019.1,90253,96971,7.3055,1,1,1,1
Streptomyces parvulus 2297,QQBH01000022.1,135055,141733,7.3017,1,1,1,1
Streptomyces parvulus 2297,NZ_CP015866.1,6170163,6176893,7.3034,1,1,1,1
Streptomyces parvulus 2297,NZ_QQBH01000022.1,135055,141655,7.2968,1,1,1,1
Streptomyces parvulus A03,NZ_JAYMRR010000011.1,11499,18229,7.3028,1,1,1,1
Streptomyces parvulus A03,JAYMRR010000011.1,11499,18229,7.3033,1,1,1,1
Streptomyces parvulus NPDC005540,NZ_JBEXDJ010000040.1,22046,28776,7.3037,1,1,1,1
Streptomyces parvulus NPDC048617,NZ_JBEZHY010000021.1,22037,28737,7.3035,1,1,1,1
Streptomyces parvulus PBR36,NZ_JAMOLM010000021.1,2807,9501,7.3036,1,1,1,1
Streptomyces parvulus PBR36,JAMOLM010000021.1,2807,9501,7.3041,1,1,1,1
Streptomyces parvulus NPDC048234,NZ_JBICZT010000002.1,504699,511399,7.3030,1,1,1,1
Streptomyces parvulus NPDC059711,NZ_JBHWFT010000070.1,10018,16706,7.3027,1,1,1,1
Streptomyces parvulus NPDC003845,NZ_JBEXMS010000005.1,22146,28858,7.3030,1,1,1,1
Streptomyces parvulus NPDC003843,NZ_JBIANL010000001.1,984121,990833,7.3024,1,1,1,1
Streptomyces parvulus NPDC052119,NZ_JBFAVZ010000022.1,22299,29011,7.3033,1,1,1,1
Streptomyces parvulus NPDC052306,NZ_JBIUBC010000043.1,21807,28519,7.3030,1,1,1,1
Streptomyces parvulus NPDC004997,NZ_JBEXJC010000051.1,8579,15279,7.3033,1,1,1,1
Streptomyces parvulus NPDC048632,NZ_JBEZHT010000023.1,22274,29010,7.3039,1,1,1,1
Streptomyces parvulus NPDC003902,NZ_JBEXMQ010000052.1,44590,51362,7.3044,1,1,1,1
Streptomyces parvulus NPDC052163,NZ_JBFAVV010000055.1,22012,28730,7.3007,1,1,1,1
Streptomyces parvulus NPDC048712,NZ_JBEZGZ010000041.1,30673,37379,7.3027,1,1,1,1
Streptomyces parvulus NPDC088558,NZ_JBIVMB010000004.1,90217,96935,7.3025,1,1,1,1
Streptomyces parvulus SX6,NZ_JAJJMU010000026.1,95336,102066,7.3022,1,1,1,1
Streptomyces parvulus SX6,JAJJMU010000026.1,95336,102066,7.3026,1,1,1,1
Streptomyces parvulus VCCM 22513,NZ_JAJVLA010000025.1,95333,102063,7.3022,1,1,1,1
Streptomyces parvulus VCCM 22513,JAJVLA010000025.1,95333,102063,7.3026,1,1,1,1
Streptomyces parvulus NPDC059405,NZ_JBHYWK010000002.1,176391,182988,7.2994,1,1,1,1
Streptomyces parvulus NPDC088544,NZ_JBIVML010000015.1,11681,18287,7.2979,1,1,1,1
Streptomyces parvulus NPDC026661,NZ_JBEZXX010000008.1,239307,245901,7.2964,1,1,1,1
Streptomyces parvulus NPDC048620,NZ_JBEZHW010000004.1,6497,13109,7.2966,1,1,1,1
Streptomyces parvulus NPDC059536,NZ_JBHWAS010000035.1,52155,58925,7.2977,1,1,1,1
Streptomyces parvulus NPDC051472,NZ_JBITEA010000007.1,438334,444973,7.2977,1,1,1,1
Streptomyces parvulus NPDC008063,NZ_JBIBID010000001.1,509548,516169,7.2940,1,1,1,1
Streptomyces parvulus NPDC014887,NZ_JBIBWI010000002.1,1215690,1222335,7.2947,1,1,1,1
Streptomyces atrovirens JCM 6913,NZ_BAAATG010000011.1,348081,354649,7.3019,1,1,1,1
Streptomyces atrovirens CGMCC 4.1595,NZ_JBHSKN010000027.1,226032,232600,7.3019,1,1,1,1
Streptomyces pimonensis TRM75549,NZ_JAHWZY010000006.1,54538,61094,7.2977,1,1,1,1
Streptomyces pimonensis TRM75549,JAHWZY010000006.1,54538,61094,7.2976,1,1,1,1
Streptomyces griseoloalbus NPDC005564,NZ_JBEXDC010000022.1,45080,51766,7.3022,1,1,1,1
Streptomyces griseoloalbus JCM 4480,NZ_BMUD01000023.1,35351,42076,7.3010,1,1,1,1
Streptomyces griseoloalbus NPDC048274,NZ_JBEZLS010000029.1,35441,42149,7.3000,1,1,1,1
Streptomyces griseorubens 32638_91863,NZ_JBGGHM010000784.1,17897,24580,7.2992,1,1,1,1
Streptomyces marokkonensis NPDC058328,NZ_JBHVZQ010000034.1,16721,23352,7.3021,1,1,1,1
Streptomyces marokkonensis OANH409,NZ_VSKS01000020.1,86249,92902,7.3023,1,1,1,1
Streptomyces griseoflavus NPDC003189,NZ_JBEXNJ010000028.1,32987,39682,7.3003,1,1,1,1
Streptomyces griseoflavus NPDC003195,NZ_JBEXNI010000016.1,23051,29746,7.2976,1,1,1,1
Streptomyces griseoflavus NPDC101220,NZ_JBIWOJ010000001.1,254586,261404,7.2971,1,1,1,1
Streptomyces griseoflavus JCM 4479,NZ_BMUC01000023.1,48467,55225,7.3000,1,1,1,1
Streptomyces griseoflavus JCM 4479,BMUC01000023.1,48467,55225,7.3001,1,1,1,1
Streptomyces griseoflavus NPDC007022,NZ_JBEYGY010000010.1,58695,65513,7.2986,1,1,1,1
Streptomyces heliomycini JCM 9767,NZ_JBHMDI010000022.1,62462,69108,7.2969,1,1,1,1
Streptomyces phaeoluteigriseus Qhu-M197,NZ_CP099468.1,3750401,3757069,7.2953,1,1,1,1
Streptomyces pseudogriseolus NPDC020761,JBFAFT010000029.1,14585,21268,7.2985,1,1,1,1
Streptomyces pseudogriseolus N92,NZ_WQLQ01000041.1,26973,33668,7.2988,1,1,1,1
Streptomyces pseudogriseolus FS94,NZ_WQLT01000039.1,30686,37381,7.2988,1,1,1,1
Streptomyces rubiginosus JCM 4416,NZ_BMTX01000031.1,26570,33262,7.2998,1,1,1,1
Streptomyces gancidicus JCM 4171,BMSH01000022.1,52133,58816,7.2984,1,1,1,1
Streptomyces griseoincarnatus RB7AG,NZ_JAMQBH010000029.1,5813,12515,7.2973,1,1,1,1
Streptomyces griseoincarnatus HNS054,CP139576.1,7424691,7431386,7.2967,1,1,1,1
Streptomyces tunisiensis JCM 17589,NZ_BAABBU010000038.1,77306,84001,7.2975,1,1,1,1
Streptomyces bobili NBC_00302,NZ_CP108038.1,424152,430857,7.2914,1,1,1,1
Streptomyces bobili NBC_00302,CP108038.1,424152,430857,7.2914,1,1,1,1
Streptomyces bobili GDT1,NZ_CP163427.1,4814853,4821540,7.2910,1,1,1,1
Streptomyces bobili NPDC020696,NZ_JBIRTU010000049.1,672,7377,7.2911,1,1,1,1
Kribbella sp. NPDC020789,JBJDQI010000013.1,86610,93293,7.2985,1,1,1,1
Streptomyces labedae JCM 9381,NZ_BAAAUW010000030.1,83901,90596,7.2967,1,1,1,1
Streptomyces labedae JCM 9381,BAAAUW010000030.1,83901,90596,7.2967,1,1,1,1
Streptomyces griseomycini CECT 3273,JACHJI010000005.1,174848,181551,7.2916,1,1,1,1
Streptomyces griseomycini CECT 3273,NZ_JACHJI010000005.1,174848,181473,7.2884,1,1,1,1
Streptomyces griseomycini JCM 4382,BMTI01000006.1,200522,207225,7.2913,1,1,1,1
Streptomyces griseomycini JCM 4382,NZ_BMTI01000006.1,200600,207225,7.2882,1,1,1,1
Streptomyces griseomycini JCM 4385,BMTK01000007.1,194155,200849,7.2909,1,1,1,1
Streptomyces griseomycini JCM 4385,NZ_BMTK01000007.1,194224,200849,7.2884,1,1,1,1
Streptomyces griseomycini NPDC052024,NZ_JBFAWX010000011.1,110866,117491,7.2876,1,1,1,1
Streptomyces galilaeus JCM 4757,NZ_BMVS01000033.1,636,7323,7.2908,1,1,1,1
Streptomyces galilaeus ZRIMU5056,NZ_JBJVMW010000025.1,17069,23756,7.2909,1,1,1,1
Streptomyces galilaeus ZRIMU5050,NZ_JBJVMZ010000002.1,240328,247015,7.2909,1,1,1,1
Streptomyces galilaeus ZRIMU1601,NZ_JBJVND010000028.1,3357,10044,7.2909,1,1,1,1
Streptomyces galilaeus ZRIMU1585,NZ_JBJVNE010000043.1,12543,19230,7.2909,1,1,1,1
Streptomyces nigra NPDC001887,NZ_JBIATG010000013.1,4142,10873,7.2972,1,1,1,1
Streptomyces nigra NBC_00206,NZ_CP108125.1,7705148,7711861,7.2968,1,1,1,1
Streptomyces nigra NPDC091064,NZ_JBIVWL010000008.1,348898,355590,7.2984,1,1,1,1
Streptomyces nigra NPDC085717,NZ_JBITSR010000015.1,94425,101138,7.2969,1,1,1,1
Streptomyces nigra NPDC057392,NZ_JBHVBP010000031.1,5310,12023,7.2964,1,1,1,1
Streptomyces nigra NPDC051082,NZ_JBFBBV010000012.1,12083,18775,7.2964,1,1,1,1
Streptomyces nigra NPDC101136,NZ_JBIVYV010000002.1,10536,17249,7.2961,1,1,1,1
Streptomyces nigra NPDC090060,NZ_JBIVEO010000013.1,230620,237333,7.2964,1,1,1,1
Streptomyces nigra NPDC090061,NZ_JBJDMT010000003.1,39226,45939,7.2964,1,1,1,1
Streptomyces nigra NPDC047003,NZ_JBEYWB010000034.1,63640,70353,7.2964,1,1,1,1
Streptomyces nigra NPDC088545,NZ_JBIVMK010000009.1,4274,10987,7.2966,1,1,1,1
Streptomyces erythrogriseus JCM 9650,NZ_BAAAVA010000068.1,11233,17928,7.2971,1,1,1,1
Streptomyces pilosus NPDC015213,NZ_JBIBUL010000001.1,879378,886225,7.2975,1,1,1,1
Streptomyces pilosus JCM 4372,NZ_BMTE01000002.1,894339,901093,7.2970,1,1,1,1
Streptomyces pilosus NPDC057341,NZ_JBHVAF010000001.1,200630,207429,7.2976,1,1,1,1
Streptomyces pilosus NPDC058902,NZ_JBHYLQ010000058.1,20100,26890,7.2973,1,1,1,1
Streptomyces pilosus JCM 4403,NZ_BMTU01000009.1,264552,271303,7.2966,1,1,1,1
Streptomyces pilosus NPDC000683,NZ_JBEPCM010000009.1,248850,255601,7.2966,1,1,1,1
Streptomyces fungicidicus NPDC090038,NZ_JBIVFC010000002.1,885912,892440,7.2901,1,1,1,1
Streptomyces fungicidicus NPDC018025,NZ_JBIRFZ010000001.1,772191,778719,7.2894,1,1,1,1
Streptomyces fungicidicus NPDC101090,NZ_JBIVZO010000012.1,101315,107846,7.2927,1,1,1,1
Streptomyces fungicidicus NPDC028644,NZ_JBEZWW010000026.1,8347,14878,7.2917,1,1,1,1
Streptomyces fungicidicus NPDC000990,NZ_JBEPBK010000017.1,19555,26086,7.2924,1,1,1,1
Streptomyces fungicidicus NPDC058747,NZ_JBHYQC010000008.1,334206,340737,7.2909,1,1,1,1
Streptomyces fungicidicus NPDC020499,NZ_JBFAEM010000058.1,6017,12548,7.2942,1,1,1,1
Streptomyces fungicidicus NPDC058743,NZ_JBHYQG010000017.1,23480,30011,7.2933,1,1,1,1
Streptomyces fungicidicus NPDC008241,NZ_JBIBGI010000001.1,818252,824783,7.2944,1,1,1,1
Streptomyces fungicidicus NPDC020504,NZ_JBIRUW010000001.1,818563,825094,7.2944,1,1,1,1
Streptomyces fungicidicus NPDC020497,NZ_JBIRUX010000001.1,818252,824783,7.2944,1,1,1,1
Streptomyces fungicidicus NPDC020273,NZ_JBIRWP010000002.1,818392,824923,7.2944,1,1,1,1
Streptomyces fungicidicus NPDC020269,NZ_JBIRWR010000001.1,513924,520455,7.2944,1,1,1,1
Streptomyces fungicidicus NPDC020266,NZ_JBIRWS010000002.1,818592,825123,7.2944,1,1,1,1
Streptomyces fungicidicus NPDC020240,NZ_JBJDQJ010000008.1,25370,31901,7.2944,1,1,1,1
Streptomyces fungicidicus NPDC008722,NZ_JBJDQM010000006.1,114033,120564,7.2912,1,1,1,1
Streptomyces fungicidicus TXX3120,NZ_CP023408.1,127205,133739,7.2927,1,1,1,1
Streptomyces fungicidicus TXX3120,CP023408.1,127205,133739,7.2927,1,1,1,1
Streptomyces fungicidicus NPDC058800,NZ_JBHYON010000008.1,23399,29930,7.2941,1,1,1,1
Streptomyces fungicidicus NPDC058951,NZ_JBHYKP010000028.1,84690,91320,7.2926,1,1,1,1
Streptomyces fungicidicus NPDC060365,NZ_JBHXDB010000023.1,25104,31635,7.2931,1,1,1,1
Streptomyces fungicidicus NPDC004784,NZ_JBIALJ010000001.1,1133133,1139667,7.2923,1,1,1,1
Streptomyces toyocaensis NPDC021014,NZ_JBFADL010000003.1,130143,136727,7.2962,1,1,1,1
Streptomyces toyocaensis NRRL 15009,NZ_JFCB01000001.1,570917,577501,7.2962,1,1,1,1
Streptomyces viridosporus NPDC046723,NZ_JBEYYS010000026.1,79694,86289,7.2918,1,1,1,1
Streptomyces viridosporus NPDC001821,NZ_JBEOYY010000031.1,79655,86271,7.2912,1,1,1,1
Streptomyces viridosporus NPDC001169,NZ_JBEPAY010000100.1,5409,11974,7.2928,1,1,1,1
Streptomyces viridosporus NPDC014866,NZ_JBIBWS010000006.1,86871,93466,7.2936,1,1,1,1
Streptomyces viridosporus T7A,NZ_JH993790.1,5505250,5511845,7.2910,1,1,1,1
