Organism,Scaffold,Start,End,Score,CAB53319.1,CAB53320.1,CAB53321.1,CAB53322.1,CAB53323.1,CAB53324.1,CAB53325.1,CAB53326.1,CAB53327.1,CAB53328.1,CAB53329.1
Streptomyces sp. NPDC058677,NZ_JBHXSF010000009.1,75001,95164,16.0597,0,0,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC058678,NZ_JBHXSG010000056.1,32967,53130,13.0073,0,0,1,1,1,1,1,0,1,1,0
Streptomyces sp. DH41,NZ_JARVKY010000004.1,201597,224306,19.1410,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000070.1,6867,29576,19.1403,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000003.1,272261,294970,19.1409,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000035.1,6835,29544,19.1420,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000035.1,6835,29544,19.1420,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. BRB040,NZ_CP155141.1,130621,153550,22.2602,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 067-1,NZ_JAJPWA010000006.1,353719,376649,22.2553,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,NZ_WHZR01000001.1,126211,149144,22.2565,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. OM5714,WHZR01000001.1,126211,149144,22.2453,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL WC-3753,LGKF01001112.1,146125,169055,22.2361,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID5477,WWIG01000530.1,13383,34646,18.1722,0,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09030,NZ_CP094676.1,4057642,4080749,15.0375,1,1,1,1,1,1,0,0,0,1,1
Streptomyces sp. NPDC058783,NZ_JBHYPA010000013.1,95316,118345,16.1171,1,0,1,1,1,1,0,1,1,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,145158,168088,22.2514,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS159,KZ195577.1,145158,168088,22.2445,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SAI-127,NZ_JARXYJ010000001.1,677562,702456,17.0734,1,1,1,1,1,1,1,0,1,1,0
Streptomyces sp. SAI-127,JARXYJ010000001.1,677562,702456,17.0732,1,1,1,1,1,1,1,0,1,1,0
Streptomyces sp. NPDC005930,NZ_JBIAIH010000002.1,570158,593057,22.2355,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC555_RSS877,NZ_JAGMUK010000054.1,121665,146560,17.0335,1,1,0,1,1,1,1,1,1,1,0
Streptomyces sp. SAI-144,NZ_JARXYK010000003.1,681025,705918,17.0723,1,1,1,1,1,1,1,0,1,1,0
Streptomyces sp. SAI-144,JARXYK010000003.1,681025,705918,15.0157,1,1,1,1,1,1,1,0,0,1,0
Streptomyces sp. SYP-A7193,NZ_CP045547.1,193475,216405,22.2624,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SYP-A7193,CP045547.1,193475,216405,22.2643,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000007.1,328081,350911,22.2058,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000005.1,135840,158670,22.2078,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,179827,202796,19.1852,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,NZ_WXVT01000001.1,125730,148660,22.2595,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KO7888,WXVT01000001.1,125730,148660,22.2511,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01604,NZ_CP109312.1,9555649,9580482,15.0218,1,1,1,1,1,0,0,1,1,1,0
Streptomyces sp. NBC_01373,NZ_JAPEPG010000002.1,1095257,1120096,15.0216,1,1,1,1,1,0,0,1,1,1,0
Streptomyces sp. SA15,NZ_NTGE01000080.1,121043,143845,16.0390,1,0,1,1,0,1,1,1,1,1,1
Streptomyces sp. NPDC048109,NZ_JBEZNC010000017.1,11274,34276,19.1810,1,0,1,1,1,1,1,1,1,1,1
Streptomyces sp. DH10,NZ_JARVKU010000004.1,92072,113723,11.9161,1,1,1,1,0,0,1,1,0,1,0
Streptomyces sp. NPDC018972,NZ_JBIRYX010000011.1,67756,90561,8.8320,1,0,0,1,0,1,1,0,0,1,1
Streptomyces sp. NPDC059454,NZ_JBHYVC010000030.1,39167,60726,6.7712,1,0,0,1,0,1,1,0,0,1,0
Streptomyces sp. AC558_RSS880,NZ_JAGMUJ010000191.1,42170,63740,6.7696,1,0,0,1,0,1,1,0,0,1,0
Streptomyces sp. NPDC013433,NZ_JBEYDA010000044.1,1331,22901,6.7703,1,0,0,1,0,1,1,0,0,1,0
Streptomyces sp. NPDC044984,NZ_JBEZBE010000034.1,40252,61852,6.7703,1,0,0,1,0,1,1,0,0,1,0
Streptomyces sp. NPDC012403,NZ_JBIBEX010000011.1,102910,124480,6.7704,1,0,0,1,0,1,1,0,0,1,0
Streptomyces sp. NPDC017966,NZ_JBIRGY010000009.1,66397,87967,6.7720,1,0,0,1,0,1,1,0,0,1,0
Streptomyces sp. 12257,NZ_JASCSJ010000501.1,45127,66865,14.0149,1,0,1,1,1,0,1,1,1,1,0
Streptomyces sp. MMG1533,NZ_LGDG01000272.1,351,22304,11.9281,1,1,0,1,1,0,0,1,1,1,0
Streptomyces sp. MMG1533,LGDG01000272.1,351,22304,11.9268,1,1,0,1,1,0,0,1,1,1,0
Streptomyces sp. NPDC056405,NZ_JBHJPD010000014.1,37874,60772,22.2074,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058914,NZ_JBHYLI010000001.1,50134,75000,10.9228,1,1,1,1,0,1,0,1,0,1,0
Streptomyces sp. ALI-76-A,NZ_JASVWB010000002.1,691350,713353,11.9262,1,0,0,1,1,1,1,0,1,1,0
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000006.1,74129,99885,17.1419,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000004.1,107991,133747,17.1419,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,7594850,7620705,17.1372,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. DSM 40167,JAUSUS010000001.1,7594850,7620705,17.1358,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000013.1,20373,46228,17.1372,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,8357364,8383197,17.1381,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000003.1,614573,640421,17.1372,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000003.1,72204,98065,17.1355,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000004.1,238186,264020,17.1331,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000021.1,86854,109261,20.2023,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058812,NZ_JBHYOB010000005.1,187627,210034,20.2023,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000002.1,357740,383571,17.1346,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000009.1,75610,101452,17.1354,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000009.1,109013,134863,17.1345,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. 049-1,NZ_JAJPVW010000001.1,239874,265724,17.1334,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000010.1,73126,98968,17.1351,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000010.1,51045,76895,17.1293,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000009.1,50548,76382,17.1322,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000008.1,312861,338695,17.1322,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC057296,NZ_JBHUZD010000034.1,39,25873,17.1322,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000001.1,295151,320985,17.1322,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000008.1,312869,338703,17.1322,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000005.1,312916,338750,17.1322,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000011.1,108473,134323,17.1318,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000008.1,254679,280504,17.1352,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000005.1,213602,239449,17.1342,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000005.1,238302,264139,17.1354,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000005.1,263903,289771,17.1353,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000004.1,159616,185452,17.1326,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000005.1,159733,185569,17.1326,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. WAC 04229,NZ_QHJH01000044.1,6508,32305,17.1370,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. WAC 04229,QHJH01000044.1,6508,32305,17.1375,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000009.1,301309,327132,17.1335,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000005.1,135075,160898,17.1350,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. E2N166,NZ_RAIF01000006.1,346717,369190,17.1423,0,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000009.1,51936,77731,17.1332,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000009.1,166128,191923,17.1332,0,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000012.1,30088,54097,14.0352,0,1,1,1,0,1,1,1,0,1,1
Streptomyces sp. NPDC096132,NZ_JBIWGA010000020.1,99659,122036,14.0320,0,1,0,1,1,1,1,0,1,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,415483,437864,17.1429,0,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000003.1,558189,580716,20.1848,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000011.1,179175,201556,17.1429,0,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000017.1,59514,81895,17.1429,0,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000019.1,81403,103784,17.1429,0,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000006.1,63094,85475,17.1415,0,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000014.1,59577,81958,17.1415,0,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000007.1,193404,215781,17.1430,0,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. NEAU-YJ-81,NZ_JAGFNO010000015.1,193449,215714,6.8165,0,1,0,1,0,0,0,1,0,1,1
Streptomyces sp. NPDC056479,NZ_JBHTRZ010000002.1,446531,469822,7.8793,0,1,0,1,0,1,0,1,0,1,1
Streptomyces rubrogriseus IPS92ro,NZ_JAPWHU010000009.1,717,21870,18.3441,0,0,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus IPS92ro,JAPWHU010000009.1,717,21870,18.3429,0,0,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000004.1,1112379,1135009,22.3899,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000313.1,5966,28563,22.3929,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,JAAGMQ010000313.1,5966,28563,22.3938,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000033.1,21186,43783,22.3901,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000017.1,122275,144904,22.3908,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000031.1,21149,43746,22.3917,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000027.1,53931,76511,22.3930,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000020.1,21148,43745,22.3917,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000023.1,23074,45705,22.3914,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000002.1,387679,410390,22.2661,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000002.1,266831,289542,22.2689,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000003.1,372182,394881,22.2698,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000002.1,221221,243920,22.2698,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000007.1,219563,242244,22.2713,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000007.1,44279,66953,22.2720,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048071,NZ_JBEZNE010000018.1,124,22805,22.2744,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC052220,NZ_JBFAVG010000006.1,57681,80381,22.2762,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000015.1,45539,68271,22.2666,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000006.1,44258,66928,22.2732,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC059843,NZ_JBHWJC010000001.1,201757,224450,22.2745,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000002.1,231790,254497,22.2765,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000002.1,361933,384649,22.2693,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000005.1,103374,126096,22.2684,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000001.1,436963,459677,22.2699,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000002.1,362119,384847,22.2715,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000013.1,72,22752,22.2714,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058749,NZ_JBHYQA010000005.1,166278,188958,22.2744,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000001.1,264026,286699,22.2711,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000004.1,285384,308095,22.2682,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003786,NZ_JBIANS010000005.1,414456,437149,22.2744,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000009.1,337330,360015,22.2647,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000004.1,425763,448454,22.2790,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC001029,NZ_JBIAYI010000001.1,295702,318401,22.2675,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC013796,NZ_JBICBD010000005.1,420989,443662,22.2722,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000008.1,127288,149958,22.2773,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000018.1,7812,30512,22.2754,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000004.1,28458,51131,22.2722,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000002.1,264359,287029,22.2712,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000002.1,429378,452051,22.2681,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000001.1,1043100,1065800,22.2767,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000006.1,324574,347300,22.2693,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000001.1,433316,456009,22.2675,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018039,NZ_JBIRFN010000005.1,266202,288922,22.2670,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000005.1,266004,288724,22.2670,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000004.1,300871,323591,22.2670,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000007.1,193158,215844,22.2784,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000001.1,252124,274826,22.2750,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000006.1,220989,243691,22.2750,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000001.1,1358766,1381482,22.2676,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000002.1,410497,433197,22.2693,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000006.1,189540,212240,22.2693,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000005.1,305097,327825,22.2709,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae JCM 4610,NZ_BMUY01000004.1,311049,333731,22.2779,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae JCM 4610,BMUY01000004.1,311049,333731,22.2806,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000025.1,45504,68215,22.2658,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000003.1,290041,312732,22.2662,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae,NZ_CANLXQ010000008.1,165315,187998,22.2727,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000014.1,182273,204996,22.2637,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048598,NZ_JBEZID010000016.1,127330,150077,22.2720,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058912,NZ_JBHYLJ010000005.1,66806,89529,22.2732,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058889,NZ_JBHYLW010000006.1,64873,87596,22.2732,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000003.1,267885,290614,22.2746,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000005.1,198523,221244,22.2697,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae SAI-227,NZ_JBIYET010000001.1,8131070,8153776,22.2748,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae SAI-227,JBIYET010000001.1,8131070,8153776,22.2755,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_BAABIV010000037.1,283472,306196,22.2499,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_JAIOJZ010000014.1,11228,33952,22.2499,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,BAABIV010000037.1,283472,306196,22.2553,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceorubidus NPDC001615,NZ_JBEOZY010000015.1,124061,146781,19.1903,1,1,1,1,1,1,1,1,0,1,1
Streptomyces lienomycini JCM 6925,NZ_BAAATN010000003.1,582105,604763,22.2343,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lienomycini JCM 6925,NZ_JBHSJO010000001.1,355834,378492,22.2343,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lienomycini JCM 6925,BAAATN010000003.1,582105,604763,22.2274,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lienomycini DSM 41475,NZ_CP116257.1,3612449,3635107,22.2343,1,1,1,1,1,1,1,1,1,1,1
Streptomyces olivaceus N11-26,NZ_BNEG01000002.1,1033196,1056284,10.8755,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus N11-26,BNEG01000002.1,1033196,1056284,10.8754,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus KLBMP 1036,NZ_JAHSTH010000012.1,18639,41718,12.9736,1,1,1,1,1,0,0,0,0,1,1
Streptomyces olivaceus KLBMP 1036,JAHSTH010000012.1,18639,41718,12.9736,1,1,1,1,1,0,0,0,0,1,1
Streptomyces olivaceus NPDC056357,NZ_JBHJQK010000069.1,31,23128,15.0402,1,1,1,1,1,1,0,0,0,1,1
Streptomyces olivaceus NPDC101122,NZ_JBIVZD010000007.1,170345,193434,15.0403,1,1,1,1,1,1,0,0,0,1,1
Streptomyces olivaceus FXJ1.045,NZ_JAHSSQ010000017.1,18676,41764,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ1.045,JAHSSQ010000017.1,18676,41764,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ1.066,NZ_JAHSSR010000018.1,18678,41766,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ1.066,JAHSSR010000018.1,18678,41766,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ1.268,NZ_JAHSSS010000017.1,18676,41764,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ1.268,JAHSSS010000017.1,18676,41764,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.410,NZ_JAHSSU010000010.1,126119,149223,10.8766,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.410,JAHSSU010000010.1,126119,149223,10.8766,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.411,NZ_JAHSSV010000010.1,194384,217488,10.8766,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.411,JAHSSV010000010.1,194384,217488,10.8766,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.417,NZ_JAHSSW010000017.1,13864,36968,10.8749,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.417,JAHSSW010000017.1,13864,36968,10.8749,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.418,NZ_JAHSSX010000019.1,192454,215558,10.8749,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.418,JAHSSX010000019.1,192454,215558,10.8749,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.420,NZ_JAHSSY010000015.1,193931,217025,12.9736,1,1,1,1,1,0,0,0,0,1,1
Streptomyces olivaceus FXJ2.420,JAHSSY010000015.1,193931,217025,12.9736,1,1,1,1,1,0,0,0,0,1,1
Streptomyces olivaceus FXJ3.001,NZ_JAHSSZ010000022.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ3.001,JAHSSZ010000022.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus MM5-2,NZ_JAHSTD010000017.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus MM5-2,JAHSTD010000017.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus xian7,NZ_JAHSTF010000001.1,149014,172109,10.8758,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus xian7,JAHSTF010000001.1,149014,172109,10.8758,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus xian20,NZ_JAHSTG010000016.1,192390,215478,10.8752,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus xian20,JAHSTG010000016.1,192390,215478,10.8753,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ6.020,NZ_JAHSTI010000018.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ6.020,JAHSTI010000018.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ6.027,NZ_JAHSTJ010000015.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ6.027,JAHSTJ010000015.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ7.023,NZ_JAHSTK010000021.1,148936,172024,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ7.023,JAHSTK010000021.1,148936,172024,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ7.105,NZ_JAHSTL010000019.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ7.105,JAHSTL010000019.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ7.129,NZ_JAHSTM010000020.1,18676,41764,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ7.129,JAHSTM010000020.1,18676,41764,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ7-4,NZ_JAHSTN010000015.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ7-4,JAHSTN010000015.1,148937,172025,10.8756,1,1,1,1,0,0,0,0,0,1,1
Streptomyces olivaceus FXJ8.006,NZ_JAHSTO010000020.1,20000,43088,10.8756,1,1,1,1,0,0,0,0,0,1,1
