Organism,Scaffold,Start,End,Score,CAB39692.1,CAB39693.1,CAB39694.1,CAB39695.1,CAB39696.1,CAB39697.1,CAB39698.1,CAB39699.1,CAB39700.1,CAB39701.1,CAB39702.1,CAB39703.1,CAB39704.1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000007.1,202560,216299,25.8652,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000001.1,1154701,1168440,25.8665,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000004.1,461141,474880,25.8662,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR25,NZ_CP172447.1,7468469,7482199,25.8631,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000010.1,266117,279856,25.8657,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000008.1,176800,190539,25.8648,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ICN988,NZ_JAOVZD010000026.1,16577,30298,25.8671,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ICN988,JAOVZD010000026.1,16577,30298,25.8659,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000001.1,869944,883683,25.8684,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048110,NZ_JBEZNB010000080.1,390,8793,15.5278,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC005897,NZ_JBEXWD010000014.1,201926,210333,15.5266,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000030.1,66992,80491,22.7798,1,1,1,1,1,1,1,1,0,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000032.1,111311,119711,15.5179,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC088935,NZ_JBIVII010000009.1,256953,270697,25.8669,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC091046,NZ_JBIVWM010000003.1,919910,933654,25.8669,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005930,NZ_JBIAIH010000016.1,146873,155281,15.5149,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC058737,NZ_JBHYQL010000005.1,67679,81400,25.8651,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059402,NZ_JBHYWM010000001.1,799743,813348,23.8575,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC059402,JBHYWM010000001.1,162768,176489,25.8649,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059402,JBHYWM010000001.1,799627,813348,25.8649,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048187,NZ_JBIDAM010000008.1,261,8669,15.5138,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC048224,NZ_JBEZMG010000001.1,140711,154449,25.8519,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000015.1,2364,16085,25.8636,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBRC 110030,NZ_BBOK01000011.1,418408,432121,25.8535,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000031.1,111524,119924,15.5155,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NRRL F-4711,NZ_LGCX01000217.1,322,8722,15.5155,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NRRL F-4711,LGCX01000217.1,322,8722,9.4376,1,1,0,1,0,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC085944,NZ_JBFBJX010000004.1,345232,358971,25.8625,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000152.1,610,9010,15.5152,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NRRL F-7442,LGEH01000152.1,610,9010,9.4375,1,1,0,1,0,1,1,1,0,0,0,0,0
Streptomyces sp. BK208,NZ_SOAV01000001.1,914399,928146,25.8537,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BK208,SOAV01000001.1,914399,928146,25.8590,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000031.1,24613,38326,25.8474,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000024.1,72299,86012,25.8523,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4707,LGEF01000024.1,72299,86012,19.7729,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. HO565,NZ_BPRK01000015.1,270040,282433,19.6545,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces sp. HO565,BPRK01000015.1,270040,282427,16.6487,1,1,0,1,1,1,1,1,1,0,1,0,1
Streptomyces sp. CL12-4,NZ_JAFETE010000001.1,1718965,1732687,22.7762,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. CL12-4,JAFETE010000001.1,1718965,1732687,19.7711,1,1,0,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. BBFR51,NZ_CP172448.1,7364938,7378688,25.8438,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000026.1,27960,41533,22.7748,1,1,1,1,1,1,1,1,0,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,6810817,6824514,25.8403,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000023.1,30523,44220,25.8367,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000012.1,266612,275037,15.4919,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. SCL15-6,NZ_JAOBTR010000001.1,3699189,3711582,19.6540,1,1,1,1,1,1,1,1,1,0,1,0,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000005.1,13291,26240,21.7764,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058818,NZ_JBHYNW010000002.1,527013,539984,21.7735,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC096094,NZ_JBIWGE010000002.1,246,8670,15.4922,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC096048,NZ_JBIWGG010000008.1,336,8760,15.4903,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000052.1,19996,33804,25.8405,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000006.1,311292,324243,18.6545,1,1,1,1,1,1,1,1,1,0,1,0,0
Streptomyces sp. NPDC017259,NZ_JBIRMO010000006.1,311292,324243,18.6545,1,1,1,1,1,1,1,1,1,0,1,0,0
Streptomyces sp. NPDC017225,NZ_JBIRNE010000007.1,311292,324243,18.6545,1,1,1,1,1,1,1,1,1,0,1,0,0
Streptomyces sp. NPDC048188,NZ_JBEZMP010000046.1,47432,55849,15.5121,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC048225,NZ_JBIDAA010000002.1,520690,534428,25.8508,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000015.1,141034,149451,15.5120,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC051136,NZ_JBITFE010000001.1,140914,154652,25.8508,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,1106739,1119722,21.7745,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000009.1,19359,32327,21.7719,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000010.1,166125,179093,21.7719,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000012.1,210195,218620,15.4885,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000001.1,184957,197925,21.7721,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC057781,NZ_JBHVKR010000053.1,19295,32263,21.7721,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC056296,NZ_JBHJRX010000012.1,298,8723,15.4923,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000139.1,356,8780,15.4915,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC058812,NZ_JBHYOB010000007.1,424668,433092,15.4915,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC000351,NZ_JBEPDW010000015.1,15689,28652,21.7698,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CB09030,NZ_CP094676.1,3172343,3186138,22.7673,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. CB09030,CP094676.1,3172343,3186138,19.7611,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000072.1,16509,24965,15.4914,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. MA25(2023),NZ_JAUEPC010000003.1,530644,539100,15.4910,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. alain-838,NQNW01000190.1,456,10070,14.4896,1,1,1,0,1,1,1,1,1,0,0,0,0
Streptomyces sp. NPDC033538,NZ_JBEZVH010000037.1,14021,26966,21.7766,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. DH41,NZ_JARVKY010000003.1,112070,125027,21.7759,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC057363,NZ_JBHVAP010000009.1,26477,39434,21.7753,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC017454,NZ_JBIRLK010000001.1,953434,966389,21.7748,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC017230,NZ_JBIRNC010000008.1,11890,24847,21.7749,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC017227,NZ_JBIRND010000011.1,214452,227409,21.7749,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. DH17,JARVKX010000001.1,1007141,1020086,21.7742,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. Alain-F2R5,NQOS01000136.1,11423,19879,15.4968,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC017890,NZ_JBIRHU010000003.1,402680,411105,15.4886,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC048219,NZ_JBIDAB010000002.1,483793,497511,22.7699,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. FXJ7.023,NZ_APIV01000039.1,282,8732,12.4345,1,1,1,1,0,1,1,1,0,0,0,0,0
Streptomyces sp. VN1,NZ_CP036534.1,7157718,7171528,22.7670,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. VN1,CP036534.1,7157718,7171528,22.8319,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000026.1,22874,36684,22.7681,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. CT1-17,JAJEJZ010000026.1,22874,36684,19.7610,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000009.1,84634,98450,22.7648,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. STCH 565 A,JAMSHC010000009.1,84634,98450,22.7637,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. A13(2022),NZ_JANFMQ010000028.1,33139,46955,22.7678,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. A13(2022),JANFMQ010000028.1,33139,46955,19.7604,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048193,NZ_JBEZMN010000004.1,324129,332510,15.4809,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. NPDC048185,NZ_JBIDAN010000002.1,626748,640466,22.7693,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. A108,NZ_JACBYP010000024.1,31303,45160,25.8320,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057245,NZ_JBHUXO010000011.1,65949,79821,25.8321,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. B146,NZ_CP102359.1,7105695,7119511,22.7659,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. B146,CP102359.1,7105695,7119511,19.7597,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000004.1,172825,185718,18.6925,1,1,1,1,1,1,1,1,0,1,1,0,0
Streptomyces sp. NBUA17,NZ_CP172414.1,7120686,7134493,22.7673,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. CC302I,NZ_JBHOFE010000008.1,90087,102967,21.7659,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CC71,NZ_LOSR01000149.1,84027,96906,18.6928,1,1,1,1,1,1,1,1,0,1,1,0,0
Streptomyces sp. CC71,LOSR01000149.1,84027,96906,15.6853,1,1,0,1,1,1,1,1,0,1,1,0,0
Streptomyces sp. NPDC093586,NZ_JBIWJA010000031.1,87110,95485,15.4797,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. VITNK9,NZ_JACWAA010000001.1,1052189,1065068,21.7657,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,6747908,6760787,21.7657,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. Osf17,JADBJP010000001.1,6747908,6760787,18.7582,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,6748614,6761493,21.7657,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. Babs14,JADBJQ010000002.1,6748614,6761493,18.7582,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. RM99,NZ_JAGPYI010000002.1,259768,272648,21.7659,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. RM99,JAGPYI010000002.1,259768,272648,18.7584,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. DH1,NZ_JAHWGV010000008.1,112638,125517,21.7657,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC04189,NZ_RPRT01000005.1,150723,163603,21.7660,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC04189,RPRT01000005.1,150723,163603,18.7628,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC05458,NZ_RPRU01000004.1,156243,169122,21.7654,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC05458,RPRU01000004.1,156243,169122,18.7623,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC08452,NZ_RPRW01000015.1,154503,167382,21.7653,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC08452,RPRW01000015.1,154503,167382,18.7622,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC06273,NZ_RPSD01000003.1,161930,174809,21.7657,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC06273,RPSD01000003.1,161930,174809,18.7626,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. SS52,NZ_CP039123.1,7005612,7018491,21.7660,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. SS52,CP039123.1,7005612,7018491,18.7629,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. SGAir0924,NZ_CP027297.1,6922964,6935844,21.7657,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. SGAir0924,CP027297.1,6922964,6935844,18.7626,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. A144,NZ_CP083267.2,6856213,6869092,21.7656,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. KAI 90,NZ_JAANNZ010000007.1,162239,175118,18.6494,1,1,1,1,1,1,1,1,1,0,1,0,0
Streptomyces sp. KAI 90,JAANNZ010000007.1,162239,175118,15.6419,1,1,0,1,1,1,1,1,1,0,1,0,0
Streptomyces sp. CRB46,NZ_JACTMC010000044.1,18166,31045,21.7652,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. RT42,NZ_JAGPYJ010000005.1,229711,242590,21.7653,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. RT42,JAGPYJ010000005.1,229711,242590,18.7582,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CS207,NZ_KZ819185.1,109316,122195,21.7653,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CS207,KZ819185.1,109316,122195,18.7622,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC08401,NZ_RPRV01000001.1,196922,209801,21.7668,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC08401,RPRV01000001.1,196922,209801,18.7636,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC06128,NZ_RPSC01000002.1,935812,948691,21.7656,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC06128,RPSC01000002.1,935812,948691,18.7625,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. DHE17-7,NZ_JACJDL010000001.1,7053260,7060623,10.3500,1,1,1,1,0,1,1,0,0,0,0,0,0
Streptomyces sp. NPDC018322,NZ_JBIREU010000003.1,529332,542243,21.7650,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC018321,NZ_JBIREV010000004.1,57777,70688,21.7650,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000112.1,162853,175746,21.7673,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. 030-HV,NZ_JAJPVU010000004.1,150322,163201,18.6492,1,1,1,1,1,1,1,1,1,0,1,0,0
Streptomyces sp. AN-3,NZ_JASBOE010000004.1,94340,107219,21.7645,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC02707,NZ_RPSB01000008.1,111892,124771,21.7653,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. WAC02707,RPSB01000008.1,111892,124771,18.7622,1,1,0,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC001315,NZ_JBIAWZ010000005.1,170771,184386,12.4766,1,1,0,0,1,1,0,1,1,0,0,1,1
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000001.1,114438,127346,21.7679,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058847,NZ_JBHYNA010000001.1,146352,159260,21.7671,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058832,NZ_JBHYNL010000098.1,66,6815,11.3818,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces sp. NPDC058830,NZ_JBHYNN010000033.1,47722,60630,21.7679,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058829,NZ_JBHYNO010000054.1,20505,33413,21.7679,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058828,NZ_JBHYNP010000002.1,498837,511745,21.7679,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058826,NZ_JBHYNR010000002.1,202680,215588,21.7679,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058825,NZ_JBHYNS010000055.1,20494,33402,21.7679,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058807,NZ_JBHYOG010000004.1,147107,160015,21.7675,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058796,NZ_JBHYOP010000005.1,113882,126790,21.7675,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058794,NZ_JBHYOR010000003.1,20457,33365,21.7671,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058793,NZ_JBHYOS010000003.1,378474,391382,21.7675,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NBC_00287,NZ_CP108053.1,8039771,8053297,9.2696,1,1,1,0,0,1,1,0,0,0,0,0,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000024.1,243,8708,15.5011,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. M92,NZ_CP101137.1,4710423,4723331,18.6908,1,1,1,1,1,1,1,1,0,1,1,0,0
Streptomyces sp. NPDC057336,NZ_JBHVAC010000002.1,38685,51593,15.6210,1,1,1,1,0,1,1,1,0,1,1,0,0
Streptomyces sp. NPDC057381,NZ_JBHVBF010000001.1,38700,51608,15.6203,1,1,1,1,0,1,1,1,0,1,1,0,0
Streptomyces sp. LKA04,NZ_JBLUUE010000029.1,72009,80424,15.4867,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. SID5606,WWIE01000142.1,390,8805,12.4806,1,1,0,1,1,1,1,1,0,0,0,0,0
Streptomyces sp. VNUA74,NZ_CP133215.1,6351200,6364921,25.8096,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,7494820,7508576,25.8898,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,CM001889.1,7494820,7508576,25.8904,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,1016185,1029941,25.8887,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,1016301,1029941,23.8823,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces lividans TK24,GG657756.1,985890,999646,22.8770,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,7287749,7301505,25.8874,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,1023261,1036901,23.8823,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces lividans TK24-YQS040,CP071800.1,1021953,1035593,23.8823,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces rubrogriseus IPS92ro,NZ_JAPWHU010000019.1,22080,30501,15.5421,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces rubrogriseus IPS92ro,JAPWHU010000019.1,22080,30501,15.5410,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000001.1,505632,519371,25.8811,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_CP116256.1,5363593,5377332,25.8811,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000354.1,7477,21225,25.8805,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,JAAGMQ010000354.1,7477,21225,22.8696,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000003.1,14266,28014,25.8812,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000032.1,29456,43204,25.8813,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000012.1,82028,95776,25.8806,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000007.1,264414,278162,25.8806,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000007.1,321090,334847,25.8810,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000013.1,118622,132370,25.8807,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000040.1,16571,30346,25.8885,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000040.1,16571,30346,25.8872,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,972828,986603,25.8888,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,CP137734.1,972828,986603,25.8877,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000062.1,28674,37104,15.5417,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces violaceoruber JCM 4423,BAABGV010000185.1,251,8681,15.5376,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces tendae JCM 4610,NZ_BMUY01000011.1,118254,132058,25.8665,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae JCM 4610,BMUY01000011.1,118254,132058,25.8669,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000013.1,209759,218169,15.5298,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces tendae NPDC052220,NZ_JBFAVG010000022.1,121831,130241,15.5296,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces tendae NPDC003786,NZ_JBIANS010000001.1,387723,401542,25.8676,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000010.1,295561,309379,25.8670,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000001.1,374940,388757,25.8677,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000006.1,379818,388228,15.5308,1,1,1,1,1,1,1,1,0,0,0,0,0
Streptomyces tendae NPDC018039,NZ_JBIRFN010000003.1,356968,370742,25.8644,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000003.1,374287,388061,25.8644,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000007.1,374287,388061,25.8644,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000002.1,384881,398700,25.8676,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000005.1,592962,606785,25.8651,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000003.1,170425,184248,25.8663,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000001.1,635667,649441,25.8640,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae VITAKN,JAAIFS010000001.1,635667,649441,22.8554,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000012.1,280171,293990,25.8657,1,1,1,1,1,1,1,1,1,1,1,1,1
