Organism,Scaffold,Start,End,Score,CAA16486.1,CAA16487.1,CAA16488.1,CAA16489.1,CAD55237.1,CAA16173.1,CAA16174.1,CAA16175.1,CAA16176.1,CAA16177.1,CAA16178.1,CAA16179.1,CAA16180.1,CAA16181.1,CAA16182.1,CAA16183.1,CAA16184.1,CAA16185.1,CAA16186.1,CAD55238.1,CAA16434.1,CAA16435.1
Streptomyces sp. MNU76,NZ_JAJKLK010000024.1,89475,119238,39.0263,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. 11x1,NZ_CP122458.1,1352470,1382433,39.0663,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC008159,NZ_JBIBHH010000001.1,846386,876228,39.0788,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC101112,NZ_JBIVZL010000011.1,30533,60207,39.0753,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces sp. NPDC050439,NZ_JBFAJT010000002.1,298002,328141,44.1985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC050395,NZ_JBFAKD010000002.1,133799,163938,44.1985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,VNIC01000007.1,135222,166835,44.9985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-14,NZ_VNIC01000007.1,135222,166616,44.9811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,VNIG01000008.1,134513,166127,44.9985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-17,NZ_VNIG01000008.1,134513,165923,44.9821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,VNIF01000007.1,157568,189182,44.9985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-15,NZ_VNIF01000007.1,157772,189182,44.9821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,VNIH01000007.1,135154,166768,44.9985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor A3(2) R4-mCherry-18,NZ_VNIH01000007.1,135154,166549,44.9811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor M22,CP133590.1,6434001,6465411,44.9821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicolor,CP133591.1,6023632,6055027,41.7910,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,2081757,2113363,44.9918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,2081757,2113159,44.9750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,6204328,6235934,41.9154,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,2088717,2120323,44.9918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,2087409,2119015,44.9918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,6424852,6456269,44.8587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,CM001889.1,6424867,6456269,44.8705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,2110601,2141987,44.9740,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000008.1,0,22333,32.3679,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces anthocyanicus JCM 3037,BMPR01000015.1,157578,189202,44.9891,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000015.1,157797,189202,44.9731,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,BMWI01000015.1,131729,163347,44.9909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000015.1,131729,163143,44.9758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000004.1,429074,460695,44.9920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000004.1,429074,460491,44.9752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,6289437,6320829,44.8874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,2208213,2239623,44.9755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,2267323,2298736,44.9760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,1960141,1991558,44.9718,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000012.1,0,22464,32.3789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000008.1,62591,93996,44.9757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000050.1,1969,33382,44.9805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000018.1,134427,165837,44.9821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000056.1,25441,56827,44.9794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000018.1,2001,33411,44.9770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000005.1,173452,204865,44.9732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000130.1,0,22213,32.3598,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000014.1,1933,33337,44.9734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000017.1,134608,166012,44.9734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000013.1,1935,33324,44.9720,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000016.1,137287,168707,44.9737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000115.1,0,22116,32.3565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000098.1,0,22116,32.3565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces anthocyanicus NPDC060102,NZ_JBHWXJ010000044.1,1903,33323,44.9737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000009.1,1943,33363,44.9737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000008.1,137288,168708,44.9737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000015.1,150608,182004,44.9732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000016.1,137296,168716,44.9735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000045.1,2039,33459,44.9741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000002.1,157864,189269,44.9742,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000012.1,158053,189467,44.9753,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000009.1,157717,189131,44.9744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000012.1,157921,189336,44.9749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000003.1,158044,189431,44.9760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000016.1,6038,37401,44.9726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,2000262,2031648,44.9721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,2317703,2349098,44.9730,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000016.1,2027,33422,44.9811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000017.1,113825,145191,44.9724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000004.1,157847,189252,44.9727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000009.1,159359,190729,44.9684,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000011.1,157852,189218,44.9724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000004.1,157955,189341,44.9706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000003.1,429677,461067,44.9732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,6422366,6453798,44.9707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000003.1,424634,456257,44.9905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000003.1,424634,456038,44.9727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000008.1,155225,186582,44.9156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000012.1,47553,78861,44.9270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000027.1,62818,94141,44.9283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000010.1,171653,202966,44.9272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000029.1,46438,77768,44.9144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000003.1,432222,463557,44.9133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000004.1,157703,189032,44.9123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000001.1,598111,629414,44.9097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000045.1,0,22021,32.3048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces tendae NPDC057734,NZ_JBHVJS010000011.1,290213,321503,44.9061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000002.1,624333,655623,44.9061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC059843,NZ_JBHWJC010000014.1,110816,142654,44.7325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000014.1,7422,38746,44.9069,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003786,NZ_JBIANS010000003.1,159136,190445,44.9218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000003.1,595277,626598,44.9180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000004.1,471511,502835,44.9186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae,NZ_CANLXQ010000001.1,134059,165524,44.7852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048598,NZ_JBEZID010000004.1,433550,465240,44.7876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000002.1,1194711,1226343,44.7896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000015.1,142967,174504,44.7845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00357,NZ_CP107977.1,5940011,5971609,41.5082,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00357,CP107977.1,5940026,5971609,41.5072,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,1986590,2018207,41.5040,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059661,NZ_JBHWEE010000013.1,241768,273453,41.5838,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC058541,NZ_JBHXOB010000014.1,74098,105667,41.5820,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059677,NZ_JBHWEQ010000010.1,1897,33573,41.5054,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059415,NZ_JBHYWE010000015.1,82503,114252,41.5062,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000001.1,166765,198648,41.5047,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000006.1,313236,345053,41.4982,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000016.1,86199,118016,41.5084,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC057274,NZ_JBHUYM010000079.1,1922,33532,41.5034,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059674,NZ_JBHWEO010000079.1,1233,28782,40.4521,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060156,NZ_JBHWYF010000022.1,1922,33739,41.5084,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000005.1,502219,534036,41.5084,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC001050,NZ_JBEPBG010000009.1,7616,39002,41.5819,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056535,NZ_JBHTTY010000038.1,1904,33348,41.5750,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBRC 15399,NZ_BEWB01000004.1,112767,144153,41.5817,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056610,NZ_JBHTVU010000018.1,140329,171676,44.7133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC089661,NZ_JBIVHO010000005.1,301225,332742,41.5764,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC003954,NZ_JBIANE010000015.1,15441,46780,44.7212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus LM32,NZ_JBAGKW010000001.1,99459,131046,41.5836,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056964,NZ_JBHURH010000075.1,47,31367,41.4963,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces salinarius VRMG2420,NZ_JBITPR010000064.1,2031,33313,44.7141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces salinarius VRMG2420,JBITPR010000064.1,2100,33313,44.7099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces salinarius CS29,NZ_JAVCWJ010000001.1,419316,451201,41.5726,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces salinarius Lnu-12,NZ_JAXLNW010000021.1,1998,33657,41.5739,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces naganishii JCM 4654,BMVF01000006.1,156404,188772,41.2516,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces naganishii JCM 4654,NZ_BMVF01000006.1,156425,188772,41.2515,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces naganishii NPDC059407,NZ_JBHYWJ010000029.1,7549,39896,41.2515,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces telluris AA8,JANIID010000004.1,31162,60906,39.1123,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces telluris AA8,NZ_JANIID010000004.1,31162,60825,39.1093,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces lasiicapitis CGMCC 4.7349,BMNG01000002.1,460474,491836,33.9768,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces lasiicapitis CGMCC 4.7349,NZ_BMNG01000002.1,460474,491755,33.9739,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces lasiicapitis NPDC127075,NZ_JBHXET010000031.1,0,27320,25.7191,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
Streptomyces lasiicapitis NPDC002850,NZ_JBEOVE010000044.1,40889,72252,33.9770,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces flavofungini JCM 4753,NZ_BMVR01000010.1,174641,206037,36.9854,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0
Streptomyces flavofungini JCM 4753,NZ_JAEKOZ010000004.1,228842,260238,36.9854,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0
Streptomyces flavofungini JCM 4753,BMVR01000010.1,174641,206037,36.9851,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0
Streptomyces flavofungini JCM 4753,JAEKOZ010000004.1,228842,260238,33.8594,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,0,1,0
Streptomyces flavofungini TRM90047,NZ_CP128846.1,1370026,1400821,33.9231,1,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,0
Streptomyces gamaensis CGMCC 4.7304,NZ_JBHSPB010000001.1,106494,136407,39.0972,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptosporangium nondiastaticum TBG75A20,NZ_PXWG01000098.1,162,21552,24.8329,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptosporangium nondiastaticum TBG75A20,PXWG01000098.1,162,21552,24.8339,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces silvensis ATCC 53525,NZ_LOCL01000030.1,56846,89901,37.0090,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces silvensis ATCC 53525,LOCL01000030.1,56846,89901,30.9066,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces typhae p1417,NZ_WPNZ01000004.1,419475,452226,33.9588,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces alboflavus NPDC017745,NZ_JBIRIP010000016.1,248989,279285,30.9486,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces alboflavus NRRL B-2373,NZ_JNXT01000038.1,191541,221765,30.9486,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces alboflavus MDJK44,NZ_CP021748.1,8124247,8154213,30.9494,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces alboflavus MDJK44,CP021748.1,8124247,8154213,30.9493,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces alboflavus NPDC057816,NZ_JBHVLL010000001.1,705818,736148,30.9527,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces alboflavus NPDC059034,NZ_JBHYII010000006.1,146133,176436,30.9517,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces alboflavus 313,NZ_RHGC01000006.1,63130,93426,30.9562,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces aureoverticillatus HN6,CP048641.1,1258199,1289537,30.9435,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces aureoverticillatus HN6,NZ_CP048641.1,1258280,1289537,33.9747,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces aureoverticillatus JCM 4347,BMSY01000016.1,69187,100601,33.9554,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces aureocirculatus NRRL ISP-5386,NZ_JOAP01000037.1,19692,51512,33.9546,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces aureocirculatus NRRL ISP-5401,NZ_JOAR01000002.1,28509,60329,33.9546,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces griseoaurantiacus M045,NZ_AEYX01000041.1,257127,289074,38.9748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces griseoaurantiacus M045,AEYX01000041.1,257208,289074,38.9708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces griseoaurantiacus JCM 4763,NZ_BNBP01000046.1,20926,52905,38.9754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces griseoaurantiacus JCM 4763,BNBP01000046.1,20926,52905,38.9747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Streptomyces griseoaurantiacus NBC_01366,NZ_CP109581.1,2563973,2595965,38.9848,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
