Organism,Scaffold,Start,End,Score,CAB87217.1,CAB87218.1,CAB87219.1,CAB87220.1,CAB87221.1,CAB87222.1
Streptomyces sp. NPDC058812,NZ_JBHYOB010000001.1,626797,633952,11.4205,1,1,1,1,1,1
Streptomyces sp. NPDC057336,NZ_JBHVAC010000010.1,85810,92971,11.4231,1,1,1,1,1,1
Streptomyces sp. NPDC057381,NZ_JBHVBF010000007.1,167123,174284,11.4232,1,1,1,1,1,1
Streptomyces sp. RT42,NZ_JAGPYJ010000002.1,241145,248289,11.4238,1,1,1,1,1,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000011.1,240923,248070,11.4234,1,1,1,1,1,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000026.1,87732,94875,11.4217,1,1,1,1,1,1
Streptomyces sp. MA25(2023),NZ_JAUEPC010000001.1,261707,268850,11.4222,1,1,1,1,1,1
Streptomyces sp. DSM 42143,NZ_JAUSVD010000001.1,5002562,5009705,11.4224,1,1,1,1,1,1
Streptomyces sp. DH17,JARVKX010000003.1,322039,329185,11.4219,1,1,1,1,1,1
Streptomyces sp. 4F,NACY01000097.1,3245,10391,11.4210,1,1,1,1,1,1
Streptomyces sp. alain-838,NQNW01000125.1,10929,18072,11.4219,1,1,1,1,1,1
Streptomyces sp. Alain-F2R5,NQOS01000068.1,20605,27748,11.4220,1,1,1,1,1,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000030.1,17731,24925,11.4169,1,1,1,1,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000001.1,73057,80203,11.4200,1,1,1,1,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000001.1,1085010,1092156,11.4200,1,1,1,1,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000001.1,273833,280979,11.4200,1,1,1,1,1,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000007.1,177062,184208,11.4201,1,1,1,1,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000016.1,76807,83953,11.4201,1,1,1,1,1,1
Streptomyces sp. NPDC045251,NZ_JBEZAS010000002.1,62339,69493,11.4220,1,1,1,1,1,1
Streptomyces sp. NPDC029519,NZ_JBEZWF010000012.1,148376,155530,11.4220,1,1,1,1,1,1
Streptomyces sp. NPDC033538,NZ_JBEZVH010000001.1,262103,269251,8.3873,1,1,1,1,0,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000005.1,248698,255842,8.3863,1,1,1,1,0,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000005.1,248698,255842,8.3863,1,1,1,1,0,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000017.1,113203,120345,11.4279,1,1,1,1,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,5565746,5572892,11.4196,1,1,1,1,1,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000002.1,269142,276274,8.3864,1,1,1,1,0,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000003.1,79644,86806,11.4196,1,1,1,1,1,1
Streptomyces sp. NPDC127164,NZ_JBHXUL010000001.1,53311,60473,11.4196,1,1,1,1,1,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000001.1,169414,176570,11.4191,1,1,1,1,1,1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000010.1,258759,265913,11.4187,1,1,1,1,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000071.1,20106,27238,8.3871,1,1,1,1,0,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,2873284,2880417,11.4156,1,1,1,1,1,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,2670240,2677373,11.4147,1,1,1,1,1,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000001.1,263266,270399,11.4147,1,1,1,1,1,1
Streptomyces sp. NPDC018322,NZ_JBIREU010000001.1,206339,213499,11.4217,1,1,1,1,1,1
Streptomyces sp. NPDC018321,NZ_JBIREV010000001.1,776111,783271,11.4217,1,1,1,1,1,1
Streptomyces sp. NPDC056568,NZ_JBHTUU010000005.1,260452,267614,11.4152,1,1,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000011.1,83354,90496,11.4276,1,1,1,1,1,1
Streptomyces sp. NPDC057387,NZ_JBHVBK010000049.1,24783,31925,11.4273,1,1,1,1,1,1
Streptomyces sp. DH41,NZ_JARVKY010000001.1,452738,459882,8.3869,1,1,1,1,0,1
Streptomyces sp. NPDC059459,NZ_JBHYUX010000001.1,426073,433231,11.4151,1,1,1,1,1,1
Streptomyces sp. HMX87,NZ_JBKKQY010000001.1,4825416,4832580,11.4068,1,1,1,1,1,1
Streptomyces sp. WAC 04229,NZ_QHJH01000129.1,9965,17098,11.4132,1,1,1,1,1,1
Streptomyces sp. WAC 04229,QHJH01000129.1,9965,17098,11.4134,1,1,1,1,1,1
Streptomyces sp. CS159,NZ_KZ195577.1,5342525,5349647,11.4238,1,1,1,1,1,1
Streptomyces sp. CS159,KZ195577.1,5342525,5349647,11.4239,1,1,1,1,1,1
Streptomyces sp. NPDC057376,NZ_JBHVBB010000011.1,157957,165117,11.4221,1,1,1,1,1,1
Streptomyces sp. CB02414,NZ_LIPF01000001.1,1061044,1068204,11.4218,1,1,1,1,1,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000045.1,9560,16693,11.4160,1,1,1,1,1,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000045.1,8611,15744,11.4160,1,1,1,1,1,1
Streptomyces sp. NPDC015408,NZ_JBIBTQ010000002.1,661852,668985,11.4164,1,1,1,1,1,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000011.1,278661,285794,11.4158,1,1,1,1,1,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000001.1,273376,280509,11.4166,1,1,1,1,1,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000091.1,8552,15745,11.4172,1,1,1,1,1,1
Streptomyces sp. NPDC016675,NZ_JBIBQW010000001.1,871452,878614,11.4161,1,1,1,1,1,1
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000012.1,43401,50561,11.4230,1,1,1,1,1,1
Streptomyces sp. NPDC047725,NZ_JBIDCV010000004.1,225520,232681,8.3177,1,1,0,1,1,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000001.1,261324,268457,11.4151,1,1,1,1,1,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000002.1,651712,658831,11.4150,1,1,1,1,1,1
Streptomyces sp. NPDC047829,NZ_JBEYRU010000003.1,56908,64048,11.4164,1,1,1,1,1,1
Streptomyces sp. 049-1,NZ_JAJPVW010000019.1,14360,21493,11.4152,1,1,1,1,1,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000028.1,9523,16656,11.4151,1,1,1,1,1,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000002.1,271902,279040,11.4153,1,1,1,1,1,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000005.1,157385,164523,11.4159,1,1,1,1,1,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000006.1,281697,288830,11.4154,1,1,1,1,1,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000006.1,281707,288840,11.4154,1,1,1,1,1,1
Streptomyces sp. NPDC057296,NZ_JBHUZD010000024.1,8523,15656,11.4154,1,1,1,1,1,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000030.1,8565,15698,11.4154,1,1,1,1,1,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000001.1,286277,293410,11.4154,1,1,1,1,1,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000001.1,461368,468501,11.4154,1,1,1,1,1,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000009.1,8537,15669,11.4158,1,1,1,1,1,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000009.1,162747,169880,11.4150,1,1,1,1,1,1
Streptomyces sp. Tu 4128,NZ_QTSY01000081.1,245126,252259,11.4154,1,1,1,1,1,1
Streptomyces sp. NPDC046988,NZ_JBEYWH010000002.1,287015,294148,11.4157,1,1,1,1,1,1
Streptomyces sp. BK79,NZ_JBHVOC010000002.1,163535,170687,11.4167,1,1,1,1,1,1
Streptomyces sp. LKA04,NZ_JBLUUE010000001.1,163898,171033,8.3220,1,1,0,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,2752067,2759193,11.4240,1,1,1,1,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000126.1,5932,13058,11.4229,1,1,1,1,1,1
Streptomyces sp. NPDC044948,NZ_JBEZBI010000012.1,4874,12000,11.4224,1,1,1,1,1,1
Streptomyces sp. NPDC006284,NZ_JBEXRY010000002.1,445844,452992,11.4156,1,1,1,1,1,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000002.1,273909,281041,11.4137,1,1,1,1,1,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000015.1,171360,178505,11.4140,1,1,1,1,1,1
Streptomyces sp. NPDC052309,NZ_JBFAUL010000028.1,55883,62992,8.3773,1,1,1,1,0,1
Streptomyces sp. NPDC048193,NZ_JBEZMN010000013.1,9057,16252,8.3203,1,1,0,1,1,1
Streptomyces sp. NPDC048185,NZ_JBIDAN010000001.1,1065493,1072688,8.3203,1,1,0,1,1,1
Streptomyces sp. M92,NZ_CP101137.1,1073686,1080852,11.4207,1,1,1,1,1,1
Streptomyces sp. NPDC057367,NZ_JBHVAT010000030.1,47967,55134,11.4208,1,1,1,1,1,1
Streptomyces sp. NPDC047868,NZ_JBEYRL010000013.1,120504,127644,11.4161,1,1,1,1,1,1
Streptomyces sp. NPDC047853,NZ_JBIDCI010000006.1,89886,97026,11.4161,1,1,1,1,1,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000010.1,68930,76058,8.3848,1,1,1,1,0,1
Streptomyces sp. NPDC017259,NZ_JBIRMO010000010.1,69428,76556,8.3848,1,1,1,1,0,1
Streptomyces sp. NPDC017225,NZ_JBIRNE010000010.1,213071,220199,8.3848,1,1,1,1,0,1
Streptomyces sp. CL12-4,NZ_JAFETE010000003.1,855618,862764,11.4100,1,1,1,1,1,1
Streptomyces sp. BPPL-273,NZ_CP124542.1,5185832,5192967,8.3222,1,1,0,1,1,1
Streptomyces sp. VNUA74,NZ_CP133215.1,2586567,2593702,8.3222,1,1,0,1,1,1
Streptomyces sp. SID5606,NZ_WWIE01000053.1,7472,14604,8.3216,1,1,0,1,1,1
Streptomyces sp. SID5606,WWIE01000053.1,7472,14604,8.3218,1,1,0,1,1,1
Streptomyces sp. CoH17,NZ_JAPELJ010000001.1,627485,634587,11.4233,1,1,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000005.1,510529,517632,11.4234,1,1,1,1,1,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000259.1,127437,134540,11.4234,1,1,1,1,1,1
Streptomyces sp. NPDC093065,NZ_JBIVPJ010000001.1,372366,379475,11.4229,1,1,1,1,1,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000002.1,493904,501056,11.4176,1,1,1,1,1,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000006.1,256856,264008,11.4181,1,1,1,1,1,1
Streptomyces sp. HO565,NZ_BPRK01000002.1,414071,421217,11.4124,1,1,1,1,1,1
Streptomyces sp. SCL15-6,NZ_JAOBTR010000007.1,32449,39594,8.3214,1,1,0,1,1,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000015.1,26246,33359,11.4214,1,1,1,1,1,1
Streptomyces sp. E2N166,NZ_RAIF01000012.1,1165473,1172627,11.4183,1,1,1,1,1,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000117.1,26127,33229,11.4228,1,1,1,1,1,1
Streptomyces sp. NPDC000351,NZ_JBEPDW010000018.1,61446,68574,8.3848,1,1,1,1,0,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000094.1,11676,18853,11.4139,1,1,1,1,1,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000126.1,34902,42054,11.4191,1,1,1,1,1,1
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000002.1,52315,59451,11.4146,1,1,1,1,1,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000029.1,47026,54162,11.4146,1,1,1,1,1,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000001.1,9528,16661,11.4142,1,1,1,1,1,1
Streptomyces sp. VN1,NZ_CP036534.1,2756992,2763407,8.3721,1,0,1,1,1,1
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000010.1,46584,53744,11.4197,1,1,1,1,1,1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000002.1,78146,85306,11.4199,1,1,1,1,1,1
Streptomyces sp. NPDC058832,NZ_JBHYNL010000011.1,46646,53806,11.4197,1,1,1,1,1,1
Streptomyces sp. NPDC058830,NZ_JBHYNN010000019.1,46600,53760,11.4197,1,1,1,1,1,1
Streptomyces sp. NPDC058829,NZ_JBHYNO010000027.1,46618,53778,11.4197,1,1,1,1,1,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000012.1,126758,133918,11.4197,1,1,1,1,1,1
Streptomyces sp. NPDC058826,NZ_JBHYNR010000010.1,46578,53738,11.4197,1,1,1,1,1,1
Streptomyces sp. NPDC058825,NZ_JBHYNS010000003.1,133579,140739,11.4197,1,1,1,1,1,1
Streptomyces sp. NPDC058807,NZ_JBHYOG010000001.1,262763,269924,11.4193,1,1,1,1,1,1
Streptomyces sp. NPDC058796,NZ_JBHYOP010000001.1,891009,898170,11.4193,1,1,1,1,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000022.1,40471,47632,11.4197,1,1,1,1,1,1
Streptomyces sp. NPDC058793,NZ_JBHYOS010000001.1,890818,897979,11.4193,1,1,1,1,1,1
Streptomyces sp. FXJ7.023,NZ_APIV01000010.1,230459,236873,8.3714,1,0,1,1,1,1
Streptomyces sp. NPDC004783,NZ_JBEXJM010000001.1,210207,217373,8.3152,1,1,0,1,1,1
Streptomyces sp. NPDC018947,NZ_JBIRZD010000001.1,1007468,1014634,8.3155,1,1,0,1,1,1
Streptomyces sp. NPDC087512,NZ_JBFBJG010000001.1,576104,583265,8.3157,1,1,0,1,1,1
Streptomyces sp. SID5910,NZ_WWHX01000399.1,8311,15447,11.4092,1,1,1,1,1,1
Streptomyces sp. SID5910,WWHX01000399.1,8311,15447,11.4093,1,1,1,1,1,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000011.1,30623,37034,8.3711,1,0,1,1,1,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000004.1,289602,296061,8.3692,1,0,1,1,1,1
Streptomyces sp. NPDC006367,NZ_JBEXQL010000016.1,125690,132872,8.3663,1,0,1,1,1,1
Streptomyces sp. NPDC006384,NZ_JBIAHR010000008.1,232627,239809,8.3663,1,0,1,1,1,1
Streptomyces sp. NPDC093586,NZ_JBIWJA010000001.1,344329,351551,8.3664,1,0,1,1,1,1
Streptomyces sp. NPDC000134,NZ_JBIAZN010000001.1,6971,14102,8.3675,1,1,1,1,0,1
Streptomyces sp. CC71,NZ_LOSR01000251.1,11872,17946,9.3641,0,1,1,1,1,1
Streptomyces sp. NPDC006134,NZ_JBEXTV010000086.1,15073,21349,9.3462,0,1,1,1,1,1
Streptomyces sp. NPDC052020,NZ_JBFAWY010000003.1,93210,99309,9.3482,0,1,1,1,1,1
Streptomyces rubrogriseus IPS92ro,NZ_JAPWHU010000069.1,5727,13054,11.4627,1,1,1,1,1,1
Streptomyces rubrogriseus IPS92ro,JAPWHU010000069.1,5727,13054,11.4625,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000001.1,261075,268219,11.4465,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000007.1,260879,268020,11.4463,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000716.1,7492,14651,11.4464,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000003.1,392495,399654,11.4461,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000013.1,100845,108004,11.4459,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000001.1,262853,270012,11.4461,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000006.1,210354,217513,11.4461,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000007.1,271566,278709,11.4457,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_BAABIV010000032.1,105075,112163,8.4009,1,1,1,1,0,1
Streptomyces hyderabadensis JCM 17657,NZ_JAIOJZ010000002.1,25661,32749,8.4009,1,1,1,1,0,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000019.1,4038,11194,11.4466,1,1,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000006.1,188186,195335,11.4433,1,1,1,1,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000006.1,315837,322988,11.4465,1,1,1,1,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000031.1,37440,44588,11.4461,1,1,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000008.1,262295,269443,11.4436,1,1,1,1,1,1
Streptomyces tendae NPDC013796,NZ_JBICBD010000009.1,204253,211402,11.4436,1,1,1,1,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000008.1,106870,114019,11.4436,1,1,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000005.1,244839,251987,11.4461,1,1,1,1,1,1
Streptomyces tendae JCM 4610,NZ_BMUY01000003.1,481336,488491,11.4448,1,1,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000009.1,260823,267976,11.4459,1,1,1,1,1,1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000011.1,65481,72634,11.4459,1,1,1,1,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000008.1,116035,123188,11.4437,1,1,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000001.1,274286,281439,11.4457,1,1,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000008.1,271676,278829,11.4464,1,1,1,1,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000002.1,474970,482124,11.4473,1,1,1,1,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000012.1,48468,55641,11.4460,1,1,1,1,1,1
Streptomyces tendae NPDC058749,NZ_JBHYQA010000007.1,103164,110317,11.4462,1,1,1,1,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000002.1,262298,269467,11.4431,1,1,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000004.1,280703,287859,11.4428,1,1,1,1,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000097.1,8574,15743,11.4432,1,1,1,1,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000039.1,16923,24092,11.4444,1,1,1,1,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000013.1,48414,55574,11.4434,1,1,1,1,1,1
Streptomyces tendae NPDC001029,NZ_JBIAYI010000002.1,1119713,1126869,11.4429,1,1,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000002.1,260523,267692,11.4429,1,1,1,1,1,1
Streptomyces tendae NPDC018039,NZ_JBIRFN010000001.1,139204,146365,11.4444,1,1,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000002.1,139331,146492,11.4444,1,1,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000002.1,779295,786456,11.4444,1,1,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000005.1,261554,268706,11.4459,1,1,1,1,1,1
Streptomyces tendae,NZ_CANLXQ010000002.1,643961,651093,11.4449,1,1,1,1,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000014.1,73656,80809,11.4456,1,1,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000012.1,191172,198325,11.4456,1,1,1,1,1,1
Streptomyces tendae NPDC048071,NZ_JBEZNE010000005.1,205571,212724,11.4429,1,1,1,1,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000002.1,10406,17562,11.4466,1,1,1,1,1,1
Streptomyces tendae NPDC052220,NZ_JBFAVG010000001.1,716128,723470,11.4503,1,1,1,1,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000004.1,295403,302556,11.4463,1,1,1,1,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000006.1,82461,89614,11.4466,1,1,1,1,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000003.1,288617,295770,11.4464,1,1,1,1,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000004.1,297844,304997,11.4472,1,1,1,1,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000008.1,37984,45326,11.4500,1,1,1,1,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000020.1,48396,55565,11.4443,1,1,1,1,1,1
Streptomyces tendae NPDC048598,NZ_JBEZID010000040.1,26801,33973,11.4467,1,1,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000002.1,286710,293881,11.4450,1,1,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000003.1,282031,289165,11.4444,1,1,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000001.1,218542,225695,11.4461,1,1,1,1,1,1
Streptomyces tendae NPDC059843,NZ_JBHWJC010000043.1,9375,16528,11.4460,1,1,1,1,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000015.1,94231,101387,11.4452,1,1,1,1,1,1
Streptomyces tendae NPDC003786,NZ_JBIANS010000008.1,135591,142744,11.4455,1,1,1,1,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000006.1,330972,338130,11.4448,1,1,1,1,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000005.1,168150,175305,11.4471,1,1,1,1,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000004.1,295794,302964,11.4464,1,1,1,1,1,1
Streptomyces tendae NPDC058912,NZ_JBHYLJ010000011.1,17235,24389,11.4478,1,1,1,1,1,1
Streptomyces tendae NPDC058889,NZ_JBHYLW010000001.1,17286,24440,11.4478,1,1,1,1,1,1
Streptomyces tendae SAI-227,NZ_JBIYET010000001.1,2911310,2918456,8.3649,1,1,1,0,1,1
Streptomyces tendae SAI-227,JBIYET010000001.1,2911310,2918456,8.3650,1,1,1,0,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000008.1,63019,70175,11.4325,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056610,NZ_JBHTVU010000001.1,637718,644848,11.4350,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056964,NZ_JBHURH010000052.1,15155,22291,11.4325,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00357,NZ_CP107977.1,2667748,2674901,11.4374,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056535,NZ_JBHTTY010000013.1,78934,86070,11.4342,1,1,1,1,1,1
Streptomyces coelicoflavus DBR11,NZ_JAMOLO010000051.1,7354,14464,8.4003,1,1,1,1,0,1
Streptomyces coelicoflavus NPDC059661,NZ_JBHWEE010000001.1,1047303,1054420,11.4324,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059674,NZ_JBHWEO010000053.1,7683,14803,11.4331,1,1,1,1,1,1
Streptomyces coelicoflavus LM32,NZ_JBAGKW010000048.1,24412,31554,11.4363,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,5358265,5365382,11.4321,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000002.1,56030,63147,11.4348,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC057274,NZ_JBHUYM010000063.1,35307,42424,11.4341,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060156,NZ_JBHWYF010000001.1,683693,690810,11.4348,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000002.1,37952,45069,11.4348,1,1,1,1,1,1
Streptomyces coelicoflavus NBRC 15399,NZ_BEWB01000002.1,196378,203495,11.4334,1,1,1,1,1,1
Streptomyces coelicoflavus SID14163,NZ_JAAGMA010000630.1,5674,12798,11.4316,1,1,1,1,1,1
Streptomyces coelicoflavus SID14172,NZ_JAAGMB010000784.1,5693,12811,11.4330,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC001050,NZ_JBEPBG010000004.1,59560,66679,11.4332,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC003954,NZ_JBIANE010000005.1,307956,315262,11.4359,1,1,1,1,1,1
Streptomyces coelicoflavus ZG0656,AHGS01001488.1,5673,12790,11.4328,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059677,NZ_JBHWEQ010000001.1,19222,26339,11.4324,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059415,NZ_JBHYWE010000012.1,279288,286405,11.4323,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC089661,NZ_JBIVHO010000006.1,303707,310824,11.4325,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC058541,NZ_JBHXOB010000016.1,58431,65548,11.4321,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000001.1,3459695,3466812,11.4342,1,1,1,1,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000007.1,301347,308464,11.4323,1,1,1,1,1,1
Streptomyces salinarius VRMG2420,NZ_JBITPR010000051.1,217019,224121,8.4020,1,1,1,1,0,1
Streptomyces salinarius SS06011,NZ_JACLZH010000005.1,235969,243105,11.4380,1,1,1,1,1,1
Streptomyces salinarius CS29,NZ_JAVCWJ010000006.1,71452,78554,8.3996,1,1,1,1,0,1
Streptomyces salinarius Lnu-12,NZ_JAXLNW010000018.1,23650,30752,8.3996,1,1,1,1,0,1
Streptomyces flaveolus NPDC052172,NZ_JBFAVR010000002.1,140590,147735,11.4156,1,1,1,1,1,1
Streptomyces flaveolus NPDC059703,NZ_JBHWFN010000007.1,57483,64628,11.4141,1,1,1,1,1,1
Streptomyces flaveolus NPDC052248,NZ_JBFAUY010000092.1,14062,21207,11.4136,1,1,1,1,1,1
Streptomyces flaveolus NPDC047111,NZ_JBEYUO010000007.1,66114,73260,11.4113,1,1,1,1,1,1
Streptomyces flaveolus NPDC086842,NZ_JBIVAR010000001.1,684506,691652,8.3688,1,0,1,1,1,1
Streptomyces flaveolus NPDC014719,NZ_JBIBYT010000001.1,250983,258128,11.4101,1,1,1,1,1,1
Streptomyces flaveolus NPDC000675,NZ_JBEPCO010000009.1,13712,20858,11.4127,1,1,1,1,1,1
Streptomyces flaveolus NPDC000632,NZ_JBEPCV010000015.1,44290,51436,11.4127,1,1,1,1,1,1
Streptomyces flaveolus NPDC044998,NZ_JBEZBB010000007.1,165484,172630,11.4127,1,1,1,1,1,1
Streptomyces flaveolus NPDC015091,NZ_JBIBVL010000001.1,906184,913330,11.4114,1,1,1,1,1,1
Streptomyces flaveolus NPDC014714,NZ_JBIBYU010000001.1,1056265,1063410,11.4107,1,1,1,1,1,1
Streptomyces flaveolus NPDC052219,NZ_JBFAVH010000005.1,300059,307204,11.4119,1,1,1,1,1,1
Streptomyces flaveolus NPDC102396,NZ_JBIWKU010000001.1,889275,896420,11.4118,1,1,1,1,1,1
Streptomyces flaveolus NPDC005559,NZ_JBEXDF010000004.1,256304,263450,11.4074,1,1,1,1,1,1
Streptomyces flaveolus NPDC005910,NZ_JBEXVU010000031.1,74936,82082,11.4078,1,1,1,1,1,1
