Organism,Scaffold,Start,End,Score,CAC37459.1,CAC37460.1,CAC37461.1,CAC37462.1,CAD55222.1,CAC44189.1,CAC44190.1,CAC44191.1,CAC44192.1,CAC44193.1,CAC44194.1,CAC44195.1,CAC44196.1,CAC44197.1,CAC44198.1,CAC44199.1,CAC44200.1,CAC44201.1,CAC44202.1,CAC44203.1,CAC44204.1,CAC44205.1
Streptomyces termitum JCM 4518,BMUL01000004.1,408795,426056,16.3424,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
Streptomyces termitum NPDC017906,NZ_JBIRHP010000002.1,565965,583239,16.3439,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
Micromonospora sediminicola DSM 45794,NZ_FLRH01000003.1,3251161,3275443,17.3908,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Micromonospora sediminicola DSM 45794,FLRH01000003.1,3251161,3275443,17.3907,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Micromonospora sediminicola NPDC049895,NZ_JBITKN010000003.1,250731,275011,17.3915,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Micromonospora maritima JCM 17013,NZ_BAABCL010000004.1,200920,225248,17.3909,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Micromonospora maritima JCM 17013,BAABCL010000004.1,200920,225248,17.3907,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Micromonospora maritima NPDC049859,NZ_JBITLA010000003.1,221808,246134,17.3902,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Micromonospora maritima NPDC049845,NZ_JBITLE010000003.1,427076,451402,17.3902,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Micromonospora maritima NPDC049858,NZ_JBITLB010000010.1,13042,37368,17.3905,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
Micromonospora marina DSM 45555,NZ_FMCV01000021.1,40671,68147,21.4347,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Micromonospora marina DSM 45555,FMCV01000021.1,40671,68147,21.4364,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Micromonospora marina PCU 269,NZ_JBHLYH010000022.1,53926,81402,21.4347,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Micromonospora marina PCU 269,JBHLYH010000022.1,53926,81402,21.4347,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Micromonospora cabrerizensis LAH09,NZ_JAKKFI010000046.1,109879,137166,20.4318,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Micromonospora cabrerizensis LAH09,JAKKFI010000046.1,109879,137166,20.4317,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
