Organism,Scaffold,Start,End,Score,CAC01488.1,CAC01489.1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000031.1,13530,15893,3.1429,1,1
Streptomyces sp. NPDC058832,NZ_JBHYNL010000013.1,11245,13608,3.1429,1,1
Streptomyces sp. NPDC058830,NZ_JBHYNN010000036.1,11351,13714,3.1429,1,1
Streptomyces sp. NPDC058829,NZ_JBHYNO010000003.1,151384,153747,3.1429,1,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000011.1,151309,153672,3.1429,1,1
Streptomyces sp. NPDC058826,NZ_JBHYNR010000037.1,64431,66794,3.1429,1,1
Streptomyces sp. NPDC058825,NZ_JBHYNS010000029.1,64427,66790,3.1429,1,1
Streptomyces sp. NPDC058807,NZ_JBHYOG010000010.1,136410,138773,3.1426,1,1
Streptomyces sp. NPDC058796,NZ_JBHYOP010000011.1,159571,161934,3.1426,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000011.1,83311,85674,3.1426,1,1
Streptomyces sp. NPDC058793,NZ_JBHYOS010000008.1,159571,161934,3.1426,1,1
Streptomyces sp. NBUA17,NZ_CP172414.1,1254015,1256417,3.1426,1,1
Streptomyces sp. STCH 565 A,JAMSHC010000040.1,21723,24047,3.1431,1,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000040.1,21645,24047,3.1431,1,1
Streptomyces sp. A13(2022),JANFMQ010000174.1,546,2870,3.1428,1,1
Streptomyces sp. A13(2022),NZ_JANFMQ010000174.1,546,2948,3.1428,1,1
Streptomyces sp. CB09030,CP094676.1,5407877,5410201,3.1426,1,1
Streptomyces sp. CB09030,NZ_CP094676.1,5407799,5410201,3.1426,1,1
Streptomyces sp. B146,NZ_CP102359.1,1133858,1136260,3.1431,1,1
Streptomyces sp. ISL-12,JAGGOO010000067.1,19813,22101,3.1386,1,1
Streptomyces sp. NPDC023723,NZ_JBFAAP010000039.1,20107,22509,3.1386,1,1
Streptomyces sp. XY006,NOKT01000012.1,117675,119953,3.1366,1,1
Streptomyces sp. SX92,NZ_CP132593.1,8461433,8463787,3.1354,1,1
Streptomyces sp. NPDC005526,NZ_JBEXDN010000001.1,219713,222031,3.1365,1,1
Streptomyces sp. Go-475,CP026121.1,1030926,1033204,3.1355,1,1
Streptomyces sp. NBRC 14336,NZ_BSRW01000018.1,6778,9078,3.1349,1,1
Streptomyces sp. NBRC 14336,BSRW01000018.1,6802,9078,3.1348,1,1
Streptomyces sp. NPDC046759,NZ_JBEYYJ010000022.1,144410,146697,3.1360,1,1
Streptomyces sp. NPDC051207,NZ_JBFBAX010000013.1,149733,152020,3.1368,1,1
Streptomyces sp. IBSBF 2390,NZ_JAJSYU010000189.1,462,2741,3.1353,1,1
Streptomyces sp. NPDC056626,NZ_JBHTWE010000030.1,48544,50823,3.1351,1,1
Streptomyces sp. NPDC059688,NZ_JBHWEY010000028.1,15740,18019,3.1354,1,1
Streptomyces sp. NPDC001621,NZ_JBIAUX010000006.1,244453,246732,3.1354,1,1
Streptomyces sp. NPDC096032,NZ_JBIWGJ010000007.1,219298,221577,3.1353,1,1
Streptomyces sp. CB01883,NZ_LIWA01000004.1,618222,620501,3.1351,1,1
Streptomyces sp. PanSC9,NZ_RJKP01000001.1,4649335,4651614,3.1353,1,1
Streptomyces sp. NPDC015139,NZ_JBIBUW010000006.1,459093,461372,3.1351,1,1
Streptomyces sp. NPDC015684,NZ_JBIBSQ010000009.1,181281,183560,3.1350,1,1
Streptomyces sp. NPDC014846,NZ_JBIBWX010000008.1,134169,136448,3.1352,1,1
Streptomyces sp. NPDC090073,NZ_JBIVEI010000007.1,181740,184019,3.1348,1,1
Streptomyces sp. NPDC007856,NZ_JBIAEC010000015.1,181881,184169,3.1350,1,1
Streptomyces sp. NPDC048304,NZ_JBEZLJ010000005.1,127434,129718,3.1348,1,1
Streptomyces sp. NPDC048192,NZ_JBIDAL010000002.1,410243,412527,3.1349,1,1
Streptomyces sp. VMFN-G11Ma,NZ_PZZX01000004.1,386491,388778,3.1345,1,1
Streptomyces sp. NPDC050211,NZ_JBFALC010000020.1,45548,47887,3.1367,1,1
Streptomyces sp. NPDC014991,NZ_JBIBVY010000018.1,23974,26250,3.1347,1,1
Streptomyces sp. MUM 16J,NZ_JADWYN010000006.1,214294,216581,3.1352,1,1
Streptomyces sp. MUSC 125,NZ_JUIG01000025.1,46960,49247,3.1352,1,1
Streptomyces sp. NBC_00343,NZ_CP107998.1,8690316,8692600,3.1352,1,1
Streptomyces sp. NBC_01261,NZ_CP108463.1,9507947,9510231,3.1349,1,1
Streptomyces sp. NBC_01515,NZ_CP109416.1,2122953,2125237,3.1353,1,1
Streptomyces sp. NPDC101455,NZ_JBIWNK010000014.1,214773,217057,3.1351,1,1
Streptomyces sp. NPDC002779,NZ_JBIAQC010000005.1,152749,155046,3.1351,1,1
Streptomyces sp. NPDC002088,NZ_JBEOXO010000016.1,123905,126232,3.1350,1,1
Streptomyces sp. NBC_00457,NZ_CP107905.1,9128845,9131184,3.1363,1,1
Streptomyces sp. NBC_00445,NZ_CP107914.1,9301273,9303612,3.1363,1,1
Streptomyces sp. NBC_00444,NZ_CP107916.1,9341786,9344125,3.1363,1,1
Streptomyces sp. GESEQ-4,NZ_JAFFSU010000002.1,192348,194687,3.1363,1,1
Streptomyces sp. 1222.5,NZ_FNSZ01000001.1,7334237,7336513,3.1349,1,1
Streptomyces sp. 2231.1,NZ_FNTO01000001.1,1559289,1561565,3.1348,1,1
Streptomyces sp. 5112.2,NZ_PJNA01000001.1,1486389,1488665,3.1349,1,1
Streptomyces sp. P17,NZ_JAVRBF010000066.1,27103,29403,3.1356,1,1
Streptomyces sp. NPDC091280,NZ_JBIVUZ010000015.1,225440,227727,3.1346,1,1
Streptomyces sp. NPDC101175,NZ_JBIWPB010000013.1,75914,78201,3.1347,1,1
Streptomyces sp. NPDC058145,NZ_JBHVUH010000003.1,504632,506908,3.1346,1,1
Streptomyces sp. NPDC006314,NZ_JBEXRL010000008.1,182131,184407,3.1355,1,1
Streptomyces sp. NPDC002928,NZ_JBEXNX010000016.1,94807,97134,3.1347,1,1
Streptomyces sp. NPDC052107,NZ_JBFAWG010000009.1,217276,219560,3.1346,1,1
Streptomyces sp. NPDC001093,NZ_JBEPBF010000028.1,45047,47383,3.1349,1,1
Streptomyces sp. NPDC006610,NZ_JBEXOP010000016.1,35732,38040,3.1350,1,1
Streptomyces sp. B93,NZ_JAGPXL010000004.1,169239,171550,3.1347,1,1
Streptomyces sp. B93,JAGPXL010000004.1,169272,171550,3.1347,1,1
Streptomyces sp. YS415,NZ_JAMJFL010000010.1,144390,146687,3.1351,1,1
Streptomyces sp. YS415,JAMJFL010000010.1,144390,146663,3.1351,1,1
Streptomyces sp. NPDC126514,NZ_JBEORQ010000003.1,237279,239576,3.1351,1,1
Streptomyces sp. NPDC001852,NZ_JBIATN010000006.1,178098,180386,3.1343,1,1
Streptomyces sp. NK08204,NZ_JAINVF010000027.1,26173,28518,3.1352,1,1
Streptomyces sp. NPDC127064,NZ_JBHXEJ010000013.1,151875,154154,3.1342,1,1
Streptomyces sp. NPDC127190,NZ_JBHXVE010000013.1,151906,154185,3.1342,1,1
Streptomyces sp. NPDC004546,NZ_JBEXLO010000007.1,192126,194410,3.1349,1,1
Streptomyces sp. NPDC051917,NZ_JBFAXW010000013.1,38090,40374,3.1349,1,1
Streptomyces sp. NPDC051896,NZ_JBFAYD010000009.1,177659,179943,3.1350,1,1
Streptomyces sp. NPDC001835,NZ_JBEOYS010000002.1,2881,5157,3.1359,1,1
Streptomyces sp. NPDC002250,NZ_JBIARS010000007.1,239736,242012,3.1361,1,1
Streptomyces sp. NPDC048720,NZ_JBICVF010000005.1,448834,451110,3.1362,1,1
Streptomyces sp. NPDC090057,NZ_JBIVEQ010000004.1,921845,924121,3.1358,1,1
Streptomyces sp. NPDC101171,NZ_JBIWPD010000027.1,12699,14975,3.1357,1,1
Streptomyces sp. NPDC101169,NZ_JBIWPE010000010.1,208129,210405,3.1356,1,1
Streptomyces sp. NPDC088789,NZ_JBIVKF010000008.1,328157,330489,3.1347,1,1
Streptomyces sp. NPDC091377,NZ_JBIVUE010000002.1,124351,126683,3.1349,1,1
Streptomyces sp. NPDC051954,NZ_JBFAXO010000001.1,868486,870825,3.1353,1,1
Streptomyces sp. NPDC051963,NZ_JBIUCC010000001.1,1264594,1266933,3.1355,1,1
Streptomyces sp. L2,NZ_QBDT01000001.1,6913917,6916193,3.1342,1,1
Streptomyces sp. NPDC096012,NZ_JBEOTD010000013.1,100951,103227,3.1351,1,1
Streptomyces sp. NPDC005925,NZ_JBEXVL010000012.1,134900,137188,3.1341,1,1
Streptomyces sp. NPDC001792,NZ_JBEOZD010000033.1,10638,12922,3.1351,1,1
Streptomyces sp. NPDC001307,NZ_JBIAXD010000017.1,178750,181034,3.1351,1,1
Streptomyces coelicolor A3(2) ICSSB 1010,NZ_VNID01000006.1,188905,191241,3.1571,1,1
Streptomyces coelicolor A3(2),AL645882.2,1277624,1279960,3.1571,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,CP042324.1,1277625,1279961,3.1571,1,1
Streptomyces coelicolor A3(2) CFB_NBC_0001,NZ_CP042324.1,1277547,1279961,3.1571,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,7220551,7222887,3.1569,1,1
Streptomyces violaceoruber CGMCC 4.1801,CP137734.1,7220551,7222965,3.1569,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000037.1,37451,39865,3.1569,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000012.1,204334,206670,3.1567,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000001.1,874082,876496,3.1567,1,1
Streptomyces rubrogriseus IPS92ro,JAPWHU010000003.1,21711,24125,3.1565,1,1
Streptomyces rubrogriseus IPS92ro,NZ_JAPWHU010000003.1,21711,24047,3.1565,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000004.1,265165,267579,3.1540,1,1
Streptomyces rubrogriseus SID7739,JAAGMQ010000102.1,20871,23207,3.1539,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000102.1,20871,23285,3.1539,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000004.1,284078,286492,3.1539,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000006.1,181836,184250,3.1539,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000002.1,483717,486131,3.1537,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000005.1,284614,287028,3.1539,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000005.1,284371,286800,3.1537,1,1
Streptomyces lividans TK24,CP009124.1,7060530,7062866,3.1565,1,1
Streptomyces lividans TK24,NZ_CP009124.1,7060530,7062944,3.1565,1,1
Streptomyces lividans TK24,GG657756.1,7033285,7035597,3.1546,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,7096018,7098354,3.1565,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,7075881,7078217,3.1565,1,1
Streptomyces lividans 1326,NZ_CM001889.1,1500671,1503085,3.1565,1,1
Streptomyces lividans 1326,CM001889.1,1500773,1503085,3.1546,1,1
Streptomyces lividans TK23,AP025539.1,1264479,1266893,3.1565,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000001.1,181544,183880,3.1520,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000016.1,226296,228632,3.1520,1,1
Streptomyces tendae VITAKN,JAAIFS010000007.1,292955,295291,3.1520,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000007.1,292895,295291,3.1520,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000005.1,195582,197978,3.1520,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000070.1,15275,17671,3.1518,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000006.1,188578,190974,3.1519,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000006.1,193136,195472,3.1522,1,1
Streptomyces tendae NPDC001029,NZ_JBIAYI010000007.1,195620,197956,3.1518,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000005.1,295966,298302,3.1518,1,1
Streptomyces tendae NPDC018039,NZ_JBIRFN010000008.1,392967,395303,3.1518,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000009.1,54412,56748,3.1518,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000009.1,377780,380116,3.1518,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000007.1,306276,308612,3.1518,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000010.1,17476,19812,3.1516,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000001.1,188161,190497,3.1517,1,1
Streptomyces tendae NPDC048598,NZ_JBEZID010000007.1,129897,132293,3.1513,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000006.1,185380,187716,3.1515,1,1
Streptomyces tendae JCM 4610,NZ_BMUY01000005.1,342042,344378,3.1515,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000003.1,187565,189901,3.1515,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000013.1,220403,222739,3.1515,1,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000013.1,67003,69339,3.1515,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000014.1,66987,69323,3.1513,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000006.1,187404,189740,3.1515,1,1
Streptomyces tendae,NZ_CANLXQ010000003.1,620554,622950,3.1519,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000025.1,41895,44291,3.1512,1,1
Streptomyces tendae NPDC052220,NZ_JBFAVG010000008.1,284628,287024,3.1514,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000004.1,283567,285975,3.1518,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000004.1,187394,189730,3.1513,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000010.1,187433,189829,3.1517,1,1
Streptomyces tendae NPDC003786,NZ_JBIANS010000004.1,585145,587481,3.1513,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000008.1,8014,10350,3.1512,1,1
Streptomyces tendae NPDC058749,NZ_JBHYQA010000003.1,178282,180618,3.1506,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000144.1,8016,10352,3.1513,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000003.1,416693,419029,3.1515,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000018.1,15300,17636,3.1513,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000007.1,330402,332738,3.1511,1,1
Streptomyces tendae NPDC048071,NZ_JBEZNE010000002.1,177050,179479,3.1513,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000002.1,186969,189305,3.1511,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000003.1,250794,253223,3.1511,1,1
Streptomyces tendae NPDC013796,NZ_JBICBD010000006.1,276591,278927,3.1511,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000005.1,428539,430875,3.1511,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000015.1,67145,69541,3.1510,1,1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000033.1,21081,23477,3.1510,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000028.1,42166,44562,3.1510,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000003.1,576923,579319,3.1510,1,1
Streptomyces tendae NPDC059843,NZ_JBHWJC010000047.1,33383,35779,3.1510,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000026.1,58914,61310,3.1510,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000010.1,298478,300874,3.1510,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000003.1,321608,324004,3.1510,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000003.1,75730,78159,3.1509,1,1
Streptomyces tendae NPDC058912,NZ_JBHYLJ010000004.1,173709,176105,3.1512,1,1
Streptomyces tendae NPDC058889,NZ_JBHYLW010000037.1,6708,9104,3.1512,1,1
Streptomyces tendae SAI-227,NZ_JBIYET010000001.1,1107525,1109921,3.1510,1,1
Streptomyces tendae SAI-227,JBIYET010000001.1,1107585,1109921,3.1510,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000003.1,177891,180227,3.1492,1,1
Streptomyces coelicoflavus NPDC056610,NZ_JBHTVU010000014.1,30322,32718,3.1514,1,1
Streptomyces coelicoflavus NBC_00357,NZ_CP107977.1,851794,854223,3.1504,1,1
Streptomyces coelicoflavus LM32,NZ_JBAGKW010000013.1,36093,38429,3.1512,1,1
Streptomyces coelicoflavus NPDC056535,NZ_JBHTTY010000019.1,8032,10371,3.1518,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,7125825,7128161,3.1521,1,1
Streptomyces coelicoflavus NBC_00099,CP108218.1,7125825,7128221,3.1520,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000001.1,5198098,5200434,3.1521,1,1
Streptomyces coelicoflavus NBC_00465,JAPENQ010000001.1,5198098,5200494,3.1520,1,1
Streptomyces coelicoflavus NPDC057274,NZ_JBHUYM010000072.1,8011,10347,3.1521,1,1
Streptomyces coelicoflavus NPDC059661,NZ_JBHWEE010000015.1,27562,29898,3.1521,1,1
Streptomyces coelicoflavus NPDC059674,NZ_JBHWEO010000131.1,8017,10353,3.1522,1,1
Streptomyces coelicoflavus NPDC059677,NZ_JBHWEQ010000008.1,126127,128463,3.1521,1,1
Streptomyces coelicoflavus NPDC060156,NZ_JBHWYF010000013.1,8074,10410,3.1520,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000008.1,168874,171210,3.1520,1,1
Streptomyces coelicoflavus NPDC059415,NZ_JBHYWE010000006.1,66292,68628,3.1521,1,1
Streptomyces coelicoflavus SID14163,NZ_JAAGMA010000594.1,10204,12600,3.1513,1,1
Streptomyces coelicoflavus SID14163,JAAGMA010000594.1,10204,12540,3.1513,1,1
Streptomyces coelicoflavus NBRC 15399,NZ_BEWB01000005.1,161362,163758,3.1515,1,1
Streptomyces coelicoflavus SID14172,NZ_JAAGMB010000604.1,10219,12615,3.1515,1,1
Streptomyces coelicoflavus SID14172,JAAGMB010000604.1,10219,12555,3.1514,1,1
Streptomyces coelicoflavus NPDC001050,NZ_JBEPBG010000006.1,155111,157507,3.1515,1,1
Streptomyces coelicoflavus NPDC003954,NZ_JBIANE010000004.1,469329,471725,3.1515,1,1
Streptomyces coelicoflavus NPDC089661,NZ_JBIVHO010000011.1,157615,160011,3.1515,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000002.1,453263,455659,3.1520,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000017.1,15934,18330,3.1519,1,1
Streptomyces coelicoflavus ZG0656,AHGS01000037.1,18184,20520,3.1514,1,1
Streptomyces coelicoflavus NPDC058541,NZ_JBHXOB010000001.1,442564,444900,3.1518,1,1
Streptomyces coelicoflavus NPDC056964,NZ_JBHURH010000120.1,8037,10433,3.1506,1,1
Streptomyces coelicoflavus DBR11,JAMOLO010000009.1,19252,21588,3.1502,1,1
Streptomyces coelicoflavus DBR11,NZ_JAMOLO010000009.1,19252,21666,3.1502,1,1
Streptomyces hyderabadensis JCM 17657,NZ_BAABIV010000028.1,215585,217999,3.1506,1,1
Streptomyces hyderabadensis JCM 17657,NZ_JAIOJZ010000016.1,126170,128584,3.1497,1,1
Streptomyces hyderabadensis JCM 17657,BAABIV010000028.1,215585,217897,3.1479,1,1
Streptomyces salinarius CS29,NZ_JAVCWJ010000002.1,188103,190517,3.1513,1,1
Streptomyces salinarius Lnu-12,NZ_JAXLNW010000014.1,191081,193495,3.1509,1,1
Streptomyces salinarius SS06011,NZ_JACLZH010000006.1,228810,231224,3.1508,1,1
Streptomyces salinarius VRMG2420,NZ_JBITPR010000045.1,214262,216676,3.1508,1,1
Streptomyces lienomycini JCM 6925,NZ_BAAATN010000008.1,146786,149188,3.1480,1,1
Streptomyces lienomycini JCM 6925,NZ_JBHUEU010000002.1,1078068,1080470,3.1480,1,1
Streptomyces lienomycini JCM 6925,BAAATN010000008.1,146786,149110,3.1479,1,1
Streptomyces lienomycini DSM 41475,NZ_CP116257.1,5061353,5063755,3.1480,1,1
Streptomyces ardesiacus NBRC 15402,NZ_BEWC01000008.1,147301,149697,3.1489,1,1
Streptomyces ardesiacus NPDC094450,NZ_JBEOTR010000017.1,67636,70032,3.1487,1,1
Streptomyces ardesiacus NPDC006376,NZ_JBEXQH010000004.1,133422,135818,3.1486,1,1
Streptomyces ardesiacus NPDC006166,NZ_JBEXTN010000001.1,218912,221308,3.1486,1,1
Streptomyces ardesiacus NPDC007026,NZ_JBEYGW010000014.1,147515,149911,3.1488,1,1
Streptomyces ardesiacus IBSBF 3360,NZ_JAJSZE010000009.1,61413,63749,3.1489,1,1
Streptomyces ardesiacus 6G-OA-21,NZ_JAMHJP010000001.1,147345,149681,3.1489,1,1
Streptomyces ardesiacus NPDC057174,NZ_JBHUVW010000161.1,10829,13165,3.1489,1,1
Streptomyces ardesiacus NPDC059588,NZ_JBHWCG010000004.1,31788,34124,3.1489,1,1
Streptomyces ardesiacus NPDC012537,NZ_JBIBEH010000003.1,533942,536278,3.1489,1,1
Streptomyces ardesiacus NPDC093086,NZ_JBIVPC010000017.1,70994,73330,3.1487,1,1
Streptomyces ardesiacus NPDC093553,NZ_JBIWJE010000004.1,474975,477311,3.1484,1,1
Streptomyces ardesiacus NPDC127099,NZ_JBHXFK010000050.1,19794,22130,3.1487,1,1
Streptomyces ardesiacus NPDC059739,NZ_JBHWGO010000010.1,129451,131847,3.1487,1,1
Streptomyces ardesiacus NPDC093072,NZ_JBIVPG010000013.1,67731,70067,3.1483,1,1
Streptomyces diastaticus SID7513,JAAGMO010000473.1,21452,23788,3.1487,1,1
Streptomyces olivaceus FXJ2.409,NZ_JAHSST010000016.1,41868,44270,3.1445,1,1
Streptomyces olivaceus FXJ2.409,JAHSST010000016.1,41946,44270,3.1444,1,1
Streptomyces olivaceus MM1-13,NZ_JAHSTB010000015.1,41868,44270,3.1445,1,1
Streptomyces olivaceus MM1-13,JAHSTB010000015.1,41946,44270,3.1444,1,1
Streptomyces olivaceus MM1-7,NZ_JAHSTC010000014.1,159265,161667,3.1445,1,1
Streptomyces olivaceus MM1-7,JAHSTC010000014.1,159265,161589,3.1444,1,1
Streptomyces olivaceus FXJ8.012,NZ_JAHSTP010000015.1,159265,161667,3.1445,1,1
Streptomyces olivaceus FXJ8.012,JAHSTP010000015.1,159265,161589,3.1444,1,1
Streptomyces olivaceus FXJ8.101,NZ_JAHSTR010000015.1,159265,161667,3.1445,1,1
Streptomyces olivaceus FXJ8.101,JAHSTR010000015.1,159265,161589,3.1444,1,1
Streptomyces olivaceus N11-26,NZ_BNEG01000005.1,2641414,2643816,3.1429,1,1
Streptomyces olivaceus N11-26,BNEG01000005.1,2641414,2643738,3.1427,1,1
Streptomyces olivaceus FXJ1.045,NZ_JAHSSQ010000005.1,213186,215588,3.1429,1,1
Streptomyces olivaceus FXJ1.045,JAHSSQ010000005.1,213264,215588,3.1427,1,1
Streptomyces olivaceus FXJ1.066,NZ_JAHSSR010000006.1,213191,215593,3.1429,1,1
Streptomyces olivaceus FXJ1.066,JAHSSR010000006.1,213269,215593,3.1427,1,1
Streptomyces olivaceus FXJ1.268,NZ_JAHSSS010000006.1,397282,399684,3.1429,1,1
Streptomyces olivaceus FXJ1.268,JAHSSS010000006.1,397360,399684,3.1427,1,1
Streptomyces olivaceus FXJ2.410,NZ_JAHSSU010000023.1,158715,161117,3.1430,1,1
Streptomyces olivaceus FXJ2.410,JAHSSU010000023.1,158715,161039,3.1428,1,1
Streptomyces olivaceus FXJ2.411,NZ_JAHSSV010000019.1,158715,161117,3.1430,1,1
Streptomyces olivaceus FXJ2.411,JAHSSV010000019.1,158715,161039,3.1428,1,1
Streptomyces olivaceus FXJ2.417,NZ_JAHSSW010000018.1,41824,44226,3.1427,1,1
Streptomyces olivaceus FXJ2.417,JAHSSW010000018.1,41902,44226,3.1425,1,1
Streptomyces olivaceus FXJ2.418,NZ_JAHSSX010000020.1,159188,161590,3.1427,1,1
Streptomyces olivaceus FXJ2.418,JAHSSX010000020.1,159188,161512,3.1425,1,1
Streptomyces olivaceus FXJ3.001,NZ_JAHSSZ010000006.1,159169,161571,3.1429,1,1
Streptomyces olivaceus FXJ3.001,JAHSSZ010000006.1,159169,161493,3.1427,1,1
Streptomyces olivaceus TRM81-6,NZ_JAHSTA010000022.1,44803,47205,3.1427,1,1
Streptomyces olivaceus TRM81-6,JAHSTA010000022.1,44881,47205,3.1425,1,1
Streptomyces olivaceus MM5-2,NZ_JAHSTD010000004.1,159169,161571,3.1429,1,1
Streptomyces olivaceus MM5-2,JAHSTD010000004.1,159169,161493,3.1427,1,1
Streptomyces olivaceus CGMCC 4.1369,NZ_JAHSTE010000003.1,485293,487695,3.1426,1,1
Streptomyces olivaceus CGMCC 4.1369,JAHSTE010000003.1,485371,487695,3.1424,1,1
Streptomyces olivaceus xian7,NZ_JAHSTF010000017.1,41875,44277,3.1429,1,1
Streptomyces olivaceus xian7,JAHSTF010000017.1,41953,44277,3.1427,1,1
Streptomyces olivaceus xian20,NZ_JAHSTG010000017.1,159159,161561,3.1429,1,1
Streptomyces olivaceus xian20,JAHSTG010000017.1,159159,161483,3.1427,1,1
Streptomyces olivaceus KLBMP 1036,NZ_JAHSTH010000014.1,181224,183626,3.1429,1,1
Streptomyces olivaceus KLBMP 1036,JAHSTH010000014.1,181302,183626,3.1427,1,1
Streptomyces olivaceus FXJ6.020,NZ_JAHSTI010000006.1,213154,215556,3.1429,1,1
Streptomyces olivaceus FXJ6.020,JAHSTI010000006.1,213232,215556,3.1427,1,1
Streptomyces olivaceus FXJ6.027,NZ_JAHSTJ010000005.1,397283,399685,3.1429,1,1
Streptomyces olivaceus FXJ6.027,JAHSTJ010000005.1,397361,399685,3.1427,1,1
Streptomyces olivaceus FXJ7.023,NZ_JAHSTK010000006.1,213186,215588,3.1429,1,1
Streptomyces olivaceus FXJ7.023,JAHSTK010000006.1,213264,215588,3.1427,1,1
Streptomyces olivaceus FXJ7.105,NZ_JAHSTL010000005.1,159169,161571,3.1429,1,1
Streptomyces olivaceus FXJ7.105,JAHSTL010000005.1,159169,161493,3.1427,1,1
Streptomyces olivaceus FXJ7.129,NZ_JAHSTM010000005.1,213207,215609,3.1429,1,1
Streptomyces olivaceus FXJ7.129,JAHSTM010000005.1,213285,215609,3.1427,1,1
Streptomyces olivaceus FXJ7-4,NZ_JAHSTN010000010.1,213147,215549,3.1429,1,1
Streptomyces olivaceus FXJ7-4,JAHSTN010000010.1,213225,215549,3.1427,1,1
Streptomyces olivaceus FXJ8.006,NZ_JAHSTO010000007.1,213204,215606,3.1429,1,1
Streptomyces olivaceus FXJ8.006,JAHSTO010000007.1,213282,215606,3.1427,1,1
Streptomyces olivaceus FXJ8.063,NZ_JAHSTQ010000005.1,397282,399684,3.1429,1,1
Streptomyces olivaceus FXJ8.063,JAHSTQ010000005.1,397360,399684,3.1427,1,1
Streptomyces olivaceus NPDC000398,NZ_JBEPDQ010000015.1,47007,49409,3.1425,1,1
Streptomyces olivaceus NPDC029509,NZ_JBEZWG010000009.1,158954,161356,3.1425,1,1
Streptomyces olivaceus NPDC057263,NZ_JBHUYC010000017.1,159115,161517,3.1429,1,1
Streptomyces olivaceus NPDC059449,NZ_JBHYVG010000016.1,41846,44248,3.1429,1,1
