Organism,Scaffold,Start,End,Score,NP_626681.1,NP_626682.1,NP_626683.1,NP_626684.1,NP_626685.1,NP_626686.1,NP_626687.1,NP_626688.1,NP_626689.1,NP_626690.1,NP_626691.1,NP_626692.1,NP_626693.1,NP_626694.1
Streptomyces sp. NPDC085944,NZ_JBFBJX010000009.1,248766,261446,13.6553,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000002.1,72862,87996,18.7812,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC057245,NZ_JBHUXO010000002.1,29581,48743,18.7391,1,1,0,1,1,0,1,1,0,1,1,1,1,1
Streptomyces sp. E2N166,NZ_RAIF01000012.1,705925,729357,24.9998,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. A108,NZ_JACBYP010000160.1,125,14026,11.5152,0,0,0,0,1,0,1,1,0,1,1,1,1,0
Streptomyces sp. NPDC005549,NZ_JBEXKJ010000062.1,28529,44911,23.8986,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. DH17,JARVKX010000003.1,673889,696151,25.0247,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Alain-F2R5,NQOS01000063.1,1323,17400,15.5316,1,1,0,1,1,1,1,1,0,1,1,0,0,0
Streptomyces sp. NPDC058818,NZ_JBHYNW010000001.1,522825,545962,28.0781,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000001.1,437279,459886,28.0653,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000001.1,705327,727934,28.0653,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000001.1,638055,660662,28.0653,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000003.1,185498,208097,28.0620,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000010.1,75218,97817,28.0620,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. alain-838,NQNW01000205.1,22,14558,13.5975,0,1,1,1,0,1,1,0,1,1,1,0,0,0
Streptomyces sp. VN1,NZ_CP036534.1,2300024,2318992,22.7844,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Streptomyces sp. VN1,CP036534.1,2300024,2318992,19.6248,1,1,1,1,1,1,1,0,0,1,1,1,0,1
Streptomyces sp. BBFR25,NZ_CP172447.1,2791807,2814200,28.1368,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005897,NZ_JBEXWD010000002.1,301066,323235,28.1341,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. x-45,NZ_JAJPWL010000001.1,712034,734207,28.1305,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048376,NZ_JBEZKV010000001.1,476273,498420,28.1230,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MA25(2023),NZ_JAUEPC010000001.1,617560,639763,28.0696,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000057.1,1368,23589,28.0736,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,5949849,5972272,28.0738,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RM72,NZ_JAGPYH010000015.1,117963,140148,28.1374,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RM72,JAGPYH010000015.1,117963,140148,28.1376,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 42143,NZ_JAUSVD010000001.1,5347556,5369759,28.0742,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 42143,JAUSVD010000001.1,5347556,5369759,28.0756,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09030,NZ_CP094676.1,6708474,6727734,20.7666,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Streptomyces sp. CB09030,CP094676.1,6708474,6727734,22.7825,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Streptomyces sp. A13(2022),NZ_JANFMQ010000053.1,9570,28312,22.7866,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Streptomyces sp. FXJ7.023,NZ_APIV01000007.1,137481,156477,20.7672,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000009.1,69624,88609,20.7677,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000033.1,53581,72620,20.7648,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Streptomyces sp. STCH 565 A,JAMSHC010000033.1,53581,72620,17.6070,1,1,1,1,1,1,1,0,0,0,1,1,0,1
Streptomyces sp. B146,NZ_CP102359.1,2417183,2436397,20.7686,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Streptomyces sp. B146,CP102359.1,2417183,2436397,17.6086,1,1,1,1,1,1,1,0,0,0,1,1,0,1
Streptomyces sp. M1013,NZ_MQUH01000007.1,224223,246575,28.1351,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. M1013,MQUH01000007.1,224223,246575,24.9543,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. E5N298,NZ_RAIG01000596.1,170,16443,23.8870,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000002.1,634410,656841,28.0596,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000001.1,528228,550659,28.0596,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000002.1,274632,297141,28.0540,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MH60,NZ_MULI01000065.1,571,8289,13.4295,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces sp. MH60,MULI01000065.1,571,8289,13.4295,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces sp. NBUA17,NZ_CP172414.1,2570043,2589044,20.7424,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000007.1,280562,303066,28.0550,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,2473170,2495663,28.0559,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,2292647,2315115,28.0523,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DSM 40167,JAUSUS010000001.1,2292647,2315115,28.0548,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000002.1,152448,174916,28.0523,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000001.1,629926,652425,28.0513,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021139,NZ_JBFADF010000012.1,132971,155153,28.1350,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC021140,NZ_JBIRQE010000001.1,218959,241141,28.1350,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000002.1,668200,690805,28.0563,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000001.1,404908,427485,28.0536,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000001.1,666312,688988,28.0518,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000003.1,276302,298813,28.0545,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000002.1,664785,687317,28.0589,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000006.1,221233,243810,28.0577,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC046988,NZ_JBEYWH010000002.1,689290,711905,28.0579,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000037.1,69886,78973,15.4622,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces sp. NPDC058985,NZ_JBHYJX010000002.1,212085,234716,28.0499,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. STD 3.1,JAKFGY010000001.1,754598,777228,28.0502,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BK79,NZ_JBHVOC010000004.1,183539,206916,28.0512,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5635,NZ_JOGJ01000002.1,603320,617707,18.7519,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. 049-1,NZ_JAJPVW010000012.1,176691,199219,28.0545,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000012.1,269462,285868,15.7395,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000015.1,316,16722,15.7395,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000003.1,300465,322993,28.0536,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000003.1,174571,197102,28.0539,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Tu 4128,NZ_QTSY01000081.1,638014,660865,24.7948,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Streptomyces sp. NPDC019793,NZ_JBEYAX010000002.1,106502,128666,28.1184,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC020947,NZ_JBFADN010000003.1,166986,189150,28.1184,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-4711,LGCX01000270.1,93450,107777,15.6742,1,1,1,1,1,1,0,1,1,0,0,0,0,1
Streptomyces sp. NRRL F-4711,NZ_LGCX01000270.1,93450,107819,18.7551,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NRRL F-4707,LGEF01000149.1,44263,58608,15.6718,1,1,1,1,1,1,0,1,1,0,0,0,0,1
Streptomyces sp. NRRL F-4707,NZ_LGEF01000149.1,44221,58608,18.7528,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NRRL F-7442,LGEH01000001.1,149866,164211,15.6740,1,1,1,1,1,1,0,1,1,0,0,0,0,1
Streptomyces sp. NRRL F-7442,NZ_LGEH01000001.1,149824,164211,18.7547,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC017890,NZ_JBIRHU010000001.1,78563,101018,28.0718,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL S-1831,NZ_JOGT01000002.1,163086,177455,18.7562,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000005.1,272516,295035,28.0488,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000004.1,191961,214480,28.0488,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057296,NZ_JBHUZD010000013.1,211,9196,15.4658,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces sp. NPDC057299,NZ_JBHUZG010000002.1,191898,214417,28.0488,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000001.1,662628,685147,28.0488,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000001.1,69844,92363,28.0488,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL F-5555,NZ_JOHJ01000005.1,149207,163576,18.7551,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. CoH17,NZ_JAPELJ010000001.1,261916,276303,18.7513,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000001.1,701153,724585,28.0557,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. VNUA74,NZ_CP133215.1,2222104,2238030,13.6232,1,0,0,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000019.1,69875,92394,28.0529,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BPPL-273,NZ_CP124542.1,5551685,5567611,15.6699,1,1,0,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. LKA04,NZ_JBLUUE010000001.1,520427,536363,15.6690,1,1,0,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000005.1,186904,209470,24.8925,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Streptomyces sp. NRRL F-5650,NZ_JOGV01000070.1,7817,20863,16.6683,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000011.1,1500,24047,28.0538,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000013.1,70924,93471,28.0538,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000001.1,644932,667490,28.0567,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC015408,NZ_JBIBTQ010000002.1,273211,295758,28.0552,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000031.1,46590,69880,28.0589,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. TOR3209,NZ_AGNH01000185.1,2139,11997,15.4524,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Streptomyces sp. SS52,NZ_CP039123.1,2617492,2639645,28.0208,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NRRL WC-3795,NZ_JOCG01000001.1,441612,456644,15.7176,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. WAC08452,NZ_RPRW01000006.1,412886,435009,28.0214,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BBFR51,NZ_CP172448.1,2721769,2745922,28.1015,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056568,NZ_JBHTUU010000007.1,116971,140165,24.9774,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Streptomyces sp. AC627_RSS907,NZ_JAGMUE010000183.1,102045,118282,15.7235,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. VITNK9,NZ_JACWAA010000002.1,618061,640211,28.0254,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DH1,NZ_JAHWGV010000002.1,427927,450071,28.0216,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC05458,NZ_RPRU01000045.1,1333,23477,28.0205,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RT42,NZ_JAGPYJ010000002.1,616667,631690,15.7166,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. DHE17-7,NZ_JACJDL010000001.1,2569564,2591669,28.0230,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DHE17-7,JACJDL010000001.1,2569564,2591669,28.0229,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. A144,NZ_CP083267.2,2636469,2658632,28.0226,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC08401,NZ_RPRV01000009.1,1426,23592,28.0217,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,2374864,2396738,28.0966,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,2691350,2713482,28.0210,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,2611818,2633932,28.0216,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Osf17,JADBJP010000001.1,2611818,2633932,28.0216,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,2612063,2634177,28.0216,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Babs14,JADBJQ010000002.1,2612063,2634177,28.0216,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC04189,NZ_RPRT01000009.1,232969,255125,28.0188,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KAI 90,NZ_JAANNZ010000013.1,139054,161156,28.0276,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KAI 90,JAANNZ010000013.1,139054,161156,28.0275,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000003.1,520082,542223,28.0231,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AN-3,NZ_JASBOE010000001.1,700581,722722,28.0231,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC06273,NZ_RPSD01000001.1,680506,702632,28.0237,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CS207,NZ_KZ819184.1,1817232,1839365,24.9733,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC06128,NZ_RPSC01000006.1,500404,522526,28.0206,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000087.1,502,8295,13.4098,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces sp. NPDC044948,NZ_JBEZBI010000053.1,7740,29599,28.0967,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC02707,NZ_RPSB01000090.1,1394,18522,23.8222,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. CC302I,NZ_JBHOFE010000045.1,1275,23407,28.0248,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CC71,NZ_LOSR01000236.1,1135,23501,21.7287,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Streptomyces sp. CC71,LOSR01000236.1,1177,23501,21.6988,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Streptomyces sp. RM99,NZ_JAGPYI010000003.1,108706,130823,28.0222,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. RM99,JAGPYI010000003.1,108706,130823,28.0221,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059459,NZ_JBHYUX010000001.1,61777,84906,24.9795,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC053750,NZ_JBITXB010000001.1,655070,680304,21.9108,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Streptomyces sp. 111WW2,NZ_MUYY01000077.1,33760,41220,13.4387,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces sp. NPDC016675,NZ_JBIBQW010000001.1,514180,537264,22.9036,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC047829,NZ_JBEYRU010000012.1,147476,170559,22.9174,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC047868,NZ_JBEYRL010000005.1,56958,80049,22.9164,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC047853,NZ_JBIDCI010000005.1,205718,228809,22.9164,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Streptomyces sp. NPDC006284,NZ_JBEXRY010000002.1,56364,79469,22.9160,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Streptomyces sp. UNC401CLCol,NZ_JMLN01000011.1,13899,26989,11.3647,1,1,1,0,0,1,0,0,0,1,1,1,0,0
Streptomyces sp. FxanaD5,NZ_KB891518.1,28144,41234,11.3646,1,1,1,0,0,1,0,0,0,1,1,1,0,0
Streptomyces sp. SID8376,NZ_WWGF01000093.1,28144,41234,11.3646,1,1,1,0,0,1,0,0,0,1,1,1,0,0
Streptomyces sp. NPDC020731,NZ_JBIRTN010000001.1,228112,252269,10.4269,1,0,1,0,0,1,0,0,0,1,1,1,1,0
Streptomyces sp. WAC 01438,NZ_CP029601.1,5739876,5770620,13.4368,1,1,1,0,1,0,0,0,0,1,1,1,1,0
Streptomyces sp. NPDC087226,NZ_JBIUYX010000002.1,309100,336797,11.4247,1,0,0,0,1,1,0,0,0,1,1,1,1,0
Streptomyces sp. NPDC090114,NZ_JBIVDM010000006.1,76131,103816,11.4241,1,0,0,0,1,1,0,0,0,1,1,1,1,0
Streptomyces sp. NPDC047860,NZ_JBEYRN010000002.1,115597,130540,10.3308,1,1,1,0,1,1,0,0,0,1,0,1,0,0
Streptomyces sp. NRRL WC-3626,NZ_JOCA01000006.1,456951,484562,11.4258,1,0,0,0,1,1,0,0,0,1,1,1,1,0
Streptomyces sp. NPDC048584,NZ_JBICWF010000004.1,293752,321433,11.4235,1,0,0,0,1,1,0,0,0,1,1,1,1,0
Streptomyces sp. SID5914,WWHW01001093.1,684,8178,13.4084,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Streptomyces sp. ME02-6987-2C,NZ_JARAXU010000201.1,395,15396,21.8979,0,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. ISBFB 2968,NZ_JAJSYZ010000164.1,1015,16026,21.8998,0,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. RS2,NZ_JAPCIE010000001.1,1603573,1623910,26.0955,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MMCC 100,NZ_JBGORK010000004.1,58549,72177,16.7236,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC033538,NZ_JBEZVH010000001.1,649029,670742,18.6851,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000001.1,262112,280509,20.9154,0,1,1,1,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. IBSBF 2394,NZ_JAJSYV010000188.1,51,15070,21.8296,0,1,1,1,1,1,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC000351,NZ_JBEPDW010000002.1,246149,267037,18.6759,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. NPDC018322,NZ_JBIREU010000001.1,582221,602983,25.9779,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018321,NZ_JBIREV010000001.1,386293,407055,25.9779,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000009.1,102239,123140,18.6767,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. NPDC017259,NZ_JBIRMO010000001.1,183061,203962,18.6767,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. NPDC017225,NZ_JBIRNE010000003.1,547362,568263,18.6767,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. NPDC057336,NZ_JBHVAC010000008.1,17606,38489,25.9864,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057381,NZ_JBHVBF010000008.1,17616,38498,25.9858,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. M92,NZ_CP101137.1,692755,713645,25.9716,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057376,NZ_JBHVBB010000032.1,1256,16474,15.7415,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Streptomyces sp. CB02414,NZ_LIPF01000001.1,685670,706458,25.9807,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB02414,LIPF01000001.1,685670,706458,25.9806,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057367,NZ_JBHVAT010000003.1,71758,92639,25.9728,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000090.1,346631,367493,25.9851,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC045251,NZ_JBEZAS010000008.1,230130,246200,16.6658,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC029519,NZ_JBEZWF010000025.1,2053,18123,16.6658,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000003.1,120948,141756,25.9957,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000006.1,86055,107051,25.9961,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058832,NZ_JBHYNL010000002.1,64395,85203,25.9957,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058830,NZ_JBHYNN010000015.1,64557,85365,25.9957,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058829,NZ_JBHYNO010000028.1,2133,22941,25.9957,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000003.1,259915,280723,25.9957,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058826,NZ_JBHYNR010000009.1,86026,106834,25.9957,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058825,NZ_JBHYNS010000002.1,64566,85374,25.9957,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000004.1,120822,141630,25.9955,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058807,NZ_JBHYOG010000001.1,658272,679086,25.9954,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058796,NZ_JBHYOP010000001.1,481847,502661,25.9954,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058793,NZ_JBHYOS010000001.1,481656,502470,25.9954,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000001.1,219388,240068,22.9376,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127164,NZ_JBHXUL010000017.1,34224,54904,22.9376,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000003.1,21114,42823,18.6806,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. DH41,NZ_JARVKY010000001.1,56046,77755,18.6817,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000001.1,125343,147049,18.6765,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000001.1,125530,147236,18.6765,0,1,1,1,1,1,1,1,1,1,0,0,0,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000002.1,652420,674130,18.6738,0,1,1,1,1,1,1,1,1,1,0,0,0,1
