Organism,Scaffold,Start,End,Score,CAB87219.1,CAB87220.1,CAB87221.1,CAB87222.1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000001.1,1217844,1222883,7.3388,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000002.1,533435,538474,7.3386,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000002.1,485663,490705,7.3392,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,5346571,5351610,7.3384,1,1,1,1
Streptomyces anthocyanicus NPDC000080,NZ_JBEPFK010000134.1,4797,9839,7.3392,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000033.1,74000,79042,7.3393,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000002.1,611856,616898,7.3392,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000034.1,8706,13745,7.3385,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000011.1,186759,191801,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000010.1,15484,20526,7.3396,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000005.1,219412,224451,7.3380,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000006.1,192155,197197,7.3382,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,5468922,5473961,7.3379,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,5231770,5236809,7.3384,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000006.1,181542,186581,7.3378,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000002.1,261250,266289,7.3381,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000003.1,15488,20527,7.3379,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000001.1,260868,265907,7.3379,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000001.1,185652,190691,7.3376,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000003.1,585584,590623,7.3376,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000001.1,312949,317988,7.3380,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000001.1,594738,599777,7.3379,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,3247570,3252609,7.3386,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,5295106,5300145,7.3386,1,1,1,1
Streptomyces lividans TK24,GG657756.1,5267727,5272766,7.3388,1,1,1,1
Streptomyces lividans TK23,AP025539.1,3027086,3032125,7.3386,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,5330734,5335773,7.3386,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,5310597,5315636,7.3386,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,5427259,5432298,7.3384,1,1,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000022.1,39902,44941,7.3384,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000014.1,99764,104803,7.3379,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000006.1,133729,138768,7.3384,1,1,1,1
Streptomyces rubrogriseus IPS92ro,NZ_JAPWHU010000069.1,8015,13054,7.3378,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000007.1,260879,265918,7.3314,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000716.1,7492,12534,7.3305,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000003.1,394612,399654,7.3302,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000013.1,100845,105887,7.3300,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000001.1,262853,267895,7.3302,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000006.1,210354,215396,7.3302,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000001.1,261075,266117,7.3307,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000007.1,271566,276608,7.3300,1,1,1,1
Streptomyces tendae NPDC058912,NZ_JBHYLJ010000011.1,17235,22295,7.3308,1,1,1,1
Streptomyces tendae NPDC058889,NZ_JBHYLW010000001.1,17286,22346,7.3308,1,1,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000005.1,170266,175305,7.3297,1,1,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000008.1,63019,68058,7.3292,1,1,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000006.1,333088,338130,7.3299,1,1,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000008.1,37984,43023,7.3295,1,1,1,1
Streptomyces tendae NPDC018039,NZ_JBIRFN010000001.1,139204,144237,7.3294,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000002.1,139331,144364,7.3294,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000002.1,781423,786456,7.3294,1,1,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000006.1,84578,89614,7.3291,1,1,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000004.1,295403,300439,7.3292,1,1,1,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000019.1,4038,9077,7.3288,1,1,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000006.1,317955,322988,7.3293,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000001.1,220662,225695,7.3292,1,1,1,1
Streptomyces tendae NPDC058749,NZ_JBHYQA010000007.1,103164,108197,7.3291,1,1,1,1
Streptomyces tendae NPDC013796,NZ_JBICBD010000009.1,204253,209286,7.3293,1,1,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000008.1,108986,114019,7.3293,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000008.1,262295,267328,7.3296,1,1,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000002.1,477085,482124,7.3298,1,1,1,1
Streptomyces tendae NPDC048071,NZ_JBEZNE010000005.1,207691,212724,7.3287,1,1,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000004.1,297844,302880,7.3297,1,1,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000014.1,75773,80809,7.3284,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000012.1,191172,196208,7.3284,1,1,1,1
Streptomyces tendae NPDC059843,NZ_JBHWJC010000043.1,9375,14411,7.3289,1,1,1,1
Streptomyces tendae NPDC003786,NZ_JBIANS010000008.1,137708,142744,7.3288,1,1,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000015.1,94231,99270,7.3281,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000002.1,286710,291752,7.3310,1,1,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000031.1,39555,44588,7.3290,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000005.1,246954,251987,7.3290,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000001.1,274286,279322,7.3284,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000008.1,271676,276712,7.3289,1,1,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000003.1,288617,293653,7.3289,1,1,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000008.1,116035,121071,7.3287,1,1,1,1
Streptomyces tendae JCM 4610,NZ_BMUY01000003.1,483452,488491,7.3295,1,1,1,1
Streptomyces tendae NPDC052220,NZ_JBFAVG010000001.1,718431,723470,7.3297,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000009.1,262940,267976,7.3286,1,1,1,1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000011.1,65481,70517,7.3286,1,1,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000002.1,10406,15445,7.3295,1,1,1,1
Streptomyces tendae NPDC048598,NZ_JBEZID010000040.1,28931,33973,7.3307,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000005.1,261554,266590,7.3284,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000006.1,188186,193219,7.3290,1,1,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000004.1,295794,300833,7.3291,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000003.1,282031,287073,7.3303,1,1,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000020.1,50532,55565,7.3291,1,1,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000002.1,262298,267331,7.3279,1,1,1,1
Streptomyces tendae NPDC001029,NZ_JBIAYI010000002.1,1121836,1126869,7.3278,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000002.1,260523,265556,7.3278,1,1,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000012.1,50608,55641,7.3285,1,1,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000039.1,16923,21956,7.3290,1,1,1,1
Streptomyces tendae,NZ_CANLXQ010000002.1,646054,651093,7.3305,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000004.1,280703,285736,7.3277,1,1,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000097.1,10710,15743,7.3282,1,1,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000013.1,50541,55574,7.3282,1,1,1,1
Streptomyces mutabilis JCM 4400,NZ_BMTT01000001.1,702472,707499,7.3189,1,1,1,1
Streptomyces mutabilis JCM 4400,NZ_JBHLVD010000001.1,68335,73362,7.3189,1,1,1,1
Streptomyces mutabilis MPB24,NZ_CP176874.1,2860874,2865901,7.3198,1,1,1,1
Streptomyces mutabilis PU_KB6-10,NZ_JASHLU010000017.1,88290,93317,7.3196,1,1,1,1
Streptomyces mutabilis NPDC006342,NZ_JBEXQT010000002.1,423789,428816,7.3194,1,1,1,1
Streptomyces mutabilis NPDC058354,NZ_JBHXIP010000010.1,3241,8268,7.3192,1,1,1,1
Streptomyces mutabilis NPDC058363,NZ_JBHXIX010000031.1,76375,81402,7.3192,1,1,1,1
Streptomyces mutabilis NPDC058827,NZ_JBHYNQ010000048.1,3229,8256,7.3193,1,1,1,1
Streptomyces mutabilis NPDC058841,NZ_JBHYNE010000021.1,3279,8306,7.3192,1,1,1,1
Streptomyces mutabilis NPDC058835,NZ_JBHYNI010000014.1,89816,94843,7.3199,1,1,1,1
Streptomyces mutabilis NPDC058831,NZ_JBHYNM010000023.1,9242,14269,7.3199,1,1,1,1
Streptomyces mutabilis NPDC007820,NZ_JBIAEN010000002.1,209658,214685,7.3195,1,1,1,1
Streptomyces mutabilis NPDC008028,NZ_JBIBIS010000003.1,1073408,1078435,7.3195,1,1,1,1
Streptomyces mutabilis NPDC008027,NZ_JBIBIT010000002.1,301279,306306,7.3195,1,1,1,1
Streptomyces mutabilis TRM 76172,NZ_JAMYEN010000212.1,27756,32783,7.3183,1,1,1,1
Streptomyces mutabilis TRM76172,JAMYEN010000212.1,27756,32783,7.3183,1,1,1,1
Streptomyces mutabilis NPDC058836,NZ_JBHYNH010000028.1,89719,94746,7.3198,1,1,1,1
Streptomyces mutabilis NPDC058833,NZ_JBHYNK010000060.1,3217,8244,7.3196,1,1,1,1
Streptomyces mutabilis NPDC058824,NZ_JBHYNT010000022.1,3250,8277,7.3198,1,1,1,1
Streptomyces mutabilis NPDC058816,NZ_JBHYNX010000017.1,3233,8260,7.3198,1,1,1,1
Streptomyces mutabilis NPDC058347,NZ_JBHXII010000014.1,214251,219278,7.3189,1,1,1,1
Streptomyces mutabilis NPDC017130,NZ_JBIROJ010000001.1,282771,287798,7.3193,1,1,1,1
Streptomyces mutabilis NPDC052167,NZ_JBFAVS010000009.1,413755,418782,7.3193,1,1,1,1
Streptomyces mutabilis TRM 45540,NZ_KN039946.1,959645,964672,7.3182,1,1,1,1
Streptomyces coelicoflavus NPDC001050,NZ_JBEPBG010000004.1,59560,64587,7.3232,1,1,1,1
Streptomyces coelicoflavus NPDC089661,NZ_JBIVHO010000006.1,303707,308734,7.3232,1,1,1,1
Streptomyces coelicoflavus ZG0656,AHGS01001488.1,7763,12790,7.3230,1,1,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000007.1,303437,308464,7.3231,1,1,1,1
Streptomyces coelicoflavus NPDC059677,NZ_JBHWEQ010000001.1,19222,24249,7.3229,1,1,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,5358265,5363292,7.3224,1,1,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000001.1,3459695,3464722,7.3218,1,1,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000002.1,56030,61057,7.3222,1,1,1,1
Streptomyces coelicoflavus NPDC060156,NZ_JBHWYF010000001.1,685783,690810,7.3222,1,1,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000002.1,37952,42979,7.3222,1,1,1,1
Streptomyces coelicoflavus NPDC058541,NZ_JBHXOB010000016.1,58431,63458,7.3228,1,1,1,1
Streptomyces coelicoflavus NPDC059415,NZ_JBHYWE010000012.1,279288,284315,7.3231,1,1,1,1
Streptomyces coelicoflavus NBRC 15399,NZ_BEWB01000002.1,196378,201405,7.3231,1,1,1,1
Streptomyces coelicoflavus SID14172,NZ_JAAGMB010000784.1,7784,12811,7.3232,1,1,1,1
Streptomyces coelicoflavus NPDC003954,NZ_JBIANE010000005.1,310235,315262,7.3227,1,1,1,1
Streptomyces coelicoflavus NPDC059674,NZ_JBHWEO010000053.1,7683,12713,7.3228,1,1,1,1
Streptomyces coelicoflavus NPDC056535,NZ_JBHTTY010000013.1,78934,83976,7.3240,1,1,1,1
Streptomyces coelicoflavus NPDC057274,NZ_JBHUYM010000063.1,37397,42424,7.3218,1,1,1,1
Streptomyces coelicoflavus SID14163,NZ_JAAGMA010000630.1,7768,12798,7.3215,1,1,1,1
Streptomyces coelicoflavus NPDC056610,NZ_JBHTVU010000001.1,639806,644848,7.3237,1,1,1,1
Streptomyces coelicoflavus NPDC056964,NZ_JBHURH010000052.1,15155,20197,7.3230,1,1,1,1
Streptomyces coelicoflavus LM32,NZ_JBAGKW010000048.1,26512,31554,7.3239,1,1,1,1
Streptomyces coelicoflavus NPDC059661,NZ_JBHWEE010000001.1,1049393,1054420,7.3221,1,1,1,1
Streptomyces coelicoflavus NBC_00357,NZ_CP107977.1,2669838,2674901,7.3247,1,1,1,1
Streptomyces rochei NPDC006395,NZ_JBEXQE010000002.1,517772,522802,7.3203,1,1,1,1
Streptomyces rochei NPDC093592,NZ_JBIWIX010000002.1,245739,250769,7.3203,1,1,1,1
Streptomyces rochei SID8161,NZ_JAAGMZ010000935.1,7564,12594,7.3202,1,1,1,1
Streptomyces rochei NS1,NZ_JAJIRV010000002.1,75595,80625,7.3199,1,1,1,1
Streptomyces rochei NPDC000158,NZ_JBEPFA010000002.1,241505,246535,7.3204,1,1,1,1
Streptomyces rochei NPDC004652,NZ_JBEXKT010000056.1,43311,48341,7.3203,1,1,1,1
Streptomyces rochei NPDC006340,NZ_JBEXQV010000043.1,46639,51669,7.3204,1,1,1,1
Streptomyces rochei NPDC057129,NZ_JBHUUQ010000021.1,91410,96440,7.3200,1,1,1,1
Streptomyces rochei NPDC058849,NZ_JBHYMY010000042.1,2351,7381,7.3205,1,1,1,1
Streptomyces rochei NPDC058846,NZ_JBHYNB010000019.1,4900,9930,7.3205,1,1,1,1
Streptomyces rochei NPDC058810,NZ_JBHYOD010000004.1,510669,515699,7.3204,1,1,1,1
Streptomyces rochei NPDC058809,NZ_JBHYOE010000002.1,65564,70594,7.3204,1,1,1,1
Streptomyces rochei NPDC058716,NZ_JBHYRC010000011.1,198691,203721,7.3200,1,1,1,1
Streptomyces rochei NPDC007838,NZ_JBIAEI010000004.1,65608,70638,7.3201,1,1,1,1
Streptomyces rochei NPDC017484,NZ_JBIRKU010000005.1,436107,441137,7.3203,1,1,1,1
Streptomyces rochei ACT-15,JBIENZ020000015.1,5053,10083,7.3196,1,1,1,1
Streptomyces rochei NPDC018887,NZ_JBIRZG010000001.1,244697,249727,7.3201,1,1,1,1
Streptomyces rochei NPDC018789,NZ_JBIRZP010000002.1,244904,249934,7.3201,1,1,1,1
Streptomyces rochei NPDC018683,NZ_JBISAA010000001.1,1024330,1029360,7.3201,1,1,1,1
Streptomyces rochei NPDC018673,NZ_JBISAB010000008.1,244774,249804,7.3201,1,1,1,1
Streptomyces rochei NPDC057828,NZ_JBHVLV010000001.1,517114,522144,7.3204,1,1,1,1
Streptomyces rochei NPDC085455,NZ_JBITTQ010000001.1,260345,265375,7.3201,1,1,1,1
Streptomyces rochei NPDC057785,NZ_JBHVKV010000010.1,65353,70383,7.3197,1,1,1,1
Streptomyces rochei NPDC055197,NZ_JBFASA010000006.1,435498,440528,7.3202,1,1,1,1
Streptomyces rochei NPDC056125,NZ_JBHJVS010000004.1,634329,639359,7.3202,1,1,1,1
Streptomyces rochei NPDC055948,NZ_JBHJYW010000003.1,435251,440281,7.3202,1,1,1,1
Streptomyces rochei NPDC055944,NZ_JBHJYY010000011.1,65694,70724,7.3202,1,1,1,1
Streptomyces rochei NPDC055934,NZ_JBHJZC010000016.1,65572,70602,7.3202,1,1,1,1
Streptomyces rochei NPDC055932,NZ_JBHJZD010000037.1,4925,9955,7.3202,1,1,1,1
Streptomyces rochei NPDC055931,NZ_JBHJZE010000046.1,4925,9955,7.3202,1,1,1,1
Streptomyces rochei NPDC057042,NZ_JBHUSS010000013.1,161688,166718,7.3202,1,1,1,1
Streptomyces rochei NPDC057068,NZ_JBHUTE010000028.1,49400,54430,7.3202,1,1,1,1
Streptomyces rochei NPDC057073,NZ_JBHUTH010000067.1,43240,48270,7.3202,1,1,1,1
Streptomyces rochei NPDC057824,NZ_JBHVLS010000037.1,4904,9934,7.3203,1,1,1,1
Streptomyces rochei NPDC060231,NZ_JBHXAF010000004.1,65599,70629,7.3202,1,1,1,1
Streptomyces rochei NPDC060314,NZ_JBHXCB010000005.1,65572,70602,7.3202,1,1,1,1
Streptomyces rochei NPDC060315,NZ_JBHXCC010000016.1,65599,70629,7.3202,1,1,1,1
Streptomyces rochei NPDC060316,NZ_JBHXCD010000005.1,65572,70602,7.3202,1,1,1,1
Streptomyces rochei NPDC127125,NZ_JBHXTT010000009.1,133132,138162,7.3202,1,1,1,1
Streptomyces rochei NPDC127549,NZ_JBHXVU010000004.1,241582,246612,7.3202,1,1,1,1
Streptomyces rochei NPDC127562,NZ_JBHXVW010000004.1,634249,639279,7.3202,1,1,1,1
Streptomyces rochei NPDC058344,NZ_JBHXIF010000002.1,445288,450315,7.3192,1,1,1,1
Streptomyces rochei NPDC058823,NZ_JBHYNU010000014.1,65575,70605,7.3200,1,1,1,1
Streptomyces rochei NPDC058814,NZ_JBHYNZ010000005.1,65651,70681,7.3201,1,1,1,1
Streptomyces rochei NPDC058805,NZ_JBHYOI010000010.1,65719,70749,7.3201,1,1,1,1
Streptomyces rochei NPDC058804,NZ_JBHYOJ010000003.1,629149,634179,7.3201,1,1,1,1
Streptomyces rochei NPDC024586,NZ_JBEZYQ010000003.1,628812,633842,7.3198,1,1,1,1
Streptomyces rochei 8ER183,NZ_JBGMQM010000001.1,243243,248273,7.3202,1,1,1,1
Streptomyces rochei NPDC057799,NZ_JBHVLE010000004.1,517228,522258,7.3198,1,1,1,1
Streptomyces rochei NPDC058327,NZ_JBHVZP010000017.1,74311,79341,7.3198,1,1,1,1
Streptomyces rochei NPDC058349,NZ_JBHXIK010000024.1,4899,9929,7.3198,1,1,1,1
Streptomyces rochei NPDC058856,NZ_JBHYMU010000038.1,65615,70645,7.3200,1,1,1,1
Streptomyces rochei NPDC058815,NZ_JBHYNY010000014.1,2374,7404,7.3204,1,1,1,1
Streptomyces rochei NPDC058813,NZ_JBHYOA010000002.1,553104,558134,7.3201,1,1,1,1
Streptomyces rochei NPDC058811,NZ_JBHYOC010000012.1,2349,7379,7.3204,1,1,1,1
Streptomyces rochei NPDC058808,NZ_JBHYOF010000023.1,117161,122191,7.3204,1,1,1,1
Streptomyces rochei NPDC058802,NZ_JBHYOL010000012.1,257593,262623,7.3204,1,1,1,1
Streptomyces rochei NPDC058801,NZ_JBHYOM010000030.1,2351,7381,7.3201,1,1,1,1
Streptomyces rochei NPDC007933,NZ_JBIBKB010000003.1,260129,265159,7.3200,1,1,1,1
Streptomyces rochei NPDC014778,NZ_JBIBXQ010000004.1,319640,324670,7.3198,1,1,1,1
Streptomyces rochei MTOC-St3,NZ_JBIENY010000104.1,65554,70584,7.3198,1,1,1,1
Streptomyces rochei NPDC017502,NZ_JBIRKM010000003.1,65639,70669,7.3201,1,1,1,1
Streptomyces rochei NPDC020943,NZ_JBIRRJ010000001.1,261166,266196,7.3202,1,1,1,1
Streptomyces rochei NPDC053546,NZ_JBITXK010000001.1,240646,245676,7.3198,1,1,1,1
Streptomyces rochei NPDC046706,NZ_JBEYYX010000022.1,66909,71939,7.3198,1,1,1,1
Streptomyces rochei NPDC057769,NZ_JBHVKL010000018.1,43259,48289,7.3201,1,1,1,1
Streptomyces rochei NPDC048184,NZ_JBIDAO010000002.1,258962,263992,7.3197,1,1,1,1
Streptomyces rochei NPDC057869,NZ_JBFBNI010000001.1,65734,70761,7.3196,1,1,1,1
Streptomyces rochei NPDC057770,NZ_JBFBNJ010000033.1,76924,81951,7.3196,1,1,1,1
Streptomyces rochei NPDC057084,NZ_JBHUTM010000054.1,49494,54521,7.3196,1,1,1,1
Streptomyces rochei NPDC057762,NZ_JBHVKF010000039.1,4916,9943,7.3196,1,1,1,1
Streptomyces rochei NPDC057773,NZ_JBHVKO010000041.1,43243,48270,7.3196,1,1,1,1
Streptomyces rochei NPDC057782,NZ_JBHVKS010000021.1,91424,96451,7.3196,1,1,1,1
Streptomyces rochei S32,CP133098.1,4978417,4983444,7.3196,1,1,1,1
Streptomyces rochei NPDC047745,NZ_JBEYSN010000003.1,65542,70572,7.3200,1,1,1,1
Streptomyces rochei NPDC057766,NZ_JBHVKI010000034.1,4890,9920,7.3200,1,1,1,1
Streptomyces rochei NPDC057803,NZ_JBHVLG010000004.1,56460,61490,7.3200,1,1,1,1
Streptomyces rochei NPDC058791,NZ_JBHYOU010000002.1,46732,51762,7.3200,1,1,1,1
Streptomyces rochei SR1102,NZ_CP161948.1,4969654,4974684,7.3200,1,1,1,1
Streptomyces rochei NPDC006330,NZ_JBEXRB010000026.1,65566,70596,7.3197,1,1,1,1
Streptomyces rochei NPDC057109,NZ_JBHUUG010000025.1,4926,9956,7.3194,1,1,1,1
Streptomyces rochei NPDC058790,NZ_JBHYOV010000004.1,65663,70693,7.3194,1,1,1,1
Streptomyces rochei D21E05,NZ_CP139824.1,3291460,3296490,7.3194,1,1,1,1
Streptomyces rochei NPDC057771,NZ_JBHVKM010000045.1,4879,9906,7.3193,1,1,1,1
Streptomyces rochei NPDC057778,NZ_JBHVKP010000034.1,4864,9891,7.3193,1,1,1,1
Streptomyces rochei NPDC057790,NZ_JBHVKZ010000017.1,4909,9939,7.3196,1,1,1,1
Streptomyces rochei NPDC014780,NZ_JBIBXO010000002.1,241167,246197,7.3196,1,1,1,1
Streptomyces rochei NPDC017750,NZ_JBIRIM010000009.1,123138,128168,7.3196,1,1,1,1
Streptomyces rochei NRRL B-2410,NZ_MUMD01000067.1,13348,18378,7.3196,1,1,1,1
Streptomyces rochei NPDC057149,NZ_JBHUVG010000105.1,2355,7385,7.3194,1,1,1,1
Streptomyces rochei NPDC000783,NZ_JBEPCB010000043.1,49564,54594,7.3198,1,1,1,1
Streptomyces rochei JK1,NZ_CP121271.1,3057828,3062858,7.3195,1,1,1,1
Streptomyces rochei NPDC000411,NZ_JBEPDL010000016.1,60835,65865,7.3200,1,1,1,1
Streptomyces rochei NPDC057760,NZ_JBFBNK010000003.1,65756,70786,7.3201,1,1,1,1
Streptomyces rochei NPDC057343,NZ_JBHVAG010000006.1,432732,437762,7.3197,1,1,1,1
Streptomyces rochei NPDC057768,NZ_JBHVKK010000033.1,43309,48339,7.3201,1,1,1,1
Streptomyces rochei NPDC058803,NZ_JBHYOK010000002.1,534327,539357,7.3199,1,1,1,1
Streptomyces rochei NPDC013977,NZ_JBICAN010000002.1,65580,70610,7.3197,1,1,1,1
Streptomyces rochei NPDC017466,NZ_JBIRLE010000002.1,515911,520938,7.3194,1,1,1,1
Streptomyces rochei NPDC087318,NZ_JBIUYB010000001.1,65701,70731,7.3199,1,1,1,1
Streptomyces rochei NPDC101106,NZ_JBIVZN010000001.1,931799,936829,7.3197,1,1,1,1
Streptomyces rochei CC36,NZ_JASCXS010000030.1,121533,126563,7.3190,1,1,1,1
Streptomyces plicatus JCM 4504,NZ_BMUJ01000002.1,599599,604629,7.3204,1,1,1,1
Streptomyces vinaceusdrappus JCM 4529,NZ_BMUN01000007.1,131896,136926,7.3200,1,1,1,1
Streptomyces parvulus NPDC026661,NZ_JBEZXX010000010.1,137904,142928,7.3133,1,1,1,1
Streptomyces parvulus NPDC059405,NZ_JBHYWK010000005.1,194222,199246,7.3133,1,1,1,1
Streptomyces parvulus NPDC014887,NZ_JBIBWI010000001.1,1058819,1063843,7.3138,1,1,1,1
Streptomyces parvulus NPDC088544,NZ_JBIVML010000007.1,179041,184068,7.3138,1,1,1,1
Streptomyces parvulus 2297,NZ_QQBH01000013.1,159745,164772,7.3139,1,1,1,1
Streptomyces parvulus 2297,QQBH01000013.1,159745,164772,7.3140,1,1,1,1
Streptomyces parvulus NPDC008063,NZ_JBIBID010000002.1,1078778,1083802,7.3135,1,1,1,1
Streptomyces parvulus NPDC051472,NZ_JBITEA010000002.1,270731,275755,7.3133,1,1,1,1
Streptomyces parvulus NPDC059529,NZ_JBHYTH010000023.1,72200,77227,7.3127,1,1,1,1
Streptomyces parvulus NPDC048620,NZ_JBEZHW010000001.1,245812,250836,7.3119,1,1,1,1
Streptomyces parvulus NPDC059536,NZ_JBHWAS010000012.1,52078,57102,7.3121,1,1,1,1
Streptomyces salinarius SS06011,NZ_JACLZH010000005.1,238063,243105,7.3250,1,1,1,1
Streptomyces geysiriensis S19,NZ_JAIFOQ010000024.1,24559,29589,7.3198,1,1,1,1
Streptomyces geysiriensis JCM 4962,BMWF01000007.1,244970,250000,7.3198,1,1,1,1
Streptomyces sp. SudanB135_2055,NZ_OZ186791.1,3111974,3117004,7.3198,1,1,1,1
Streptomyces sp. SudanB91_2054,NZ_OZ186793.1,2897171,2902201,7.3199,1,1,1,1
Streptomyces enissocaesilis NBF 715,CP118027.1,3077478,3082508,7.3196,1,1,1,1
Streptomyces sp. SudanB5_2050,NZ_OZ186760.1,2969045,2974075,7.3197,1,1,1,1
Streptomyces thinghirensis JCM 18306,NZ_BAABJR010000001.1,164218,169248,7.3173,1,1,1,1
Streptomyces sp. b94 B94,NZ_JAGPXM010000031.1,9830,14860,7.3166,1,1,1,1
Streptomyces pactum ACT12,NZ_CP019724.1,5495638,5500665,7.3141,1,1,1,1
Streptomyces pactum ACT12,NZ_LIQD01000001.1,1601644,1606671,7.3141,1,1,1,1
Streptomyces pactum ACT12,CP019724.1,5495638,5500665,7.3142,1,1,1,1
Streptomyces ambofaciens ATCC 23877,NZ_CP012382.1,2981977,2987004,7.3146,1,1,1,1
Streptomyces ambofaciens DSM 40697,NZ_CP012949.1,2932388,2937415,7.3140,1,1,1,1
