Organism,Scaffold,Start,End,Score,CAB53319.1,CAB53320.1,CAB53322.1,CAB53328.1,CAB53329.1
Streptomyces olivaceus NPDC029509,NZ_JBEZWG010000023.1,97795,120871,9.7816,1,1,1,1,1
Streptomyces olivaceus NPDC057263,NZ_JBHUYC010000015.1,192575,215679,9.7825,1,1,1,1,1
Streptomyces olivaceus NPDC001386,NZ_JBIAWN010000014.1,148786,171883,9.7828,1,1,1,1,1
Streptomyces olivaceus KLBMP 5084,CP016795.1,7778658,7801761,9.7822,1,1,1,1,1
Streptomyces olivaceus NPDC008051,NZ_JBIBII010000010.1,100560,123678,9.7873,1,1,1,1,1
Streptomyces olivaceus CGMCC 4.1369,NZ_JAHSTE010000016.1,18728,41807,9.7865,1,1,1,1,1
Streptomyces olivaceus NPDC017221,NZ_JBIRNF010000010.1,150436,173744,9.7878,1,1,1,1,1
Streptomyces olivaceus NPDC017216,NZ_JBIRNJ010000008.1,194011,217090,9.7878,1,1,1,1,1
Streptomyces olivaceus NPDC017211,NZ_JBIRNM010000008.1,150437,173516,9.7878,1,1,1,1,1
Streptomyces olivaceus NPDC017205,NZ_JBIRNO010000008.1,237964,261043,9.7878,1,1,1,1,1
Streptomyces olivaceus NPDC017136,NZ_JBIROH010000008.1,150437,173729,9.7878,1,1,1,1,1
Streptomyces olivaceus NRRL B-3009,NZ_JOFH01000005.1,18698,41777,9.7865,1,1,1,1,1
Streptomyces olivaceus NRRL B-3009,NZ_JADOEJ010000003.1,34899,58014,9.7830,1,1,1,1,1
Streptomyces olivaceus B-81,NZ_CP098608.1,2816418,2839538,9.7838,1,1,1,1,1
Streptomyces olivaceus CR2,NZ_JAHSSI010000001.1,197958,221080,9.7869,1,1,1,1,1
Streptomyces olivaceus CR3,NZ_JAHSSJ010000001.1,910657,933761,9.7905,1,1,1,1,1
Streptomyces olivaceus CR12,NZ_JAHSSL010000001.1,527150,550272,9.7869,1,1,1,1,1
Streptomyces olivaceus CR18,NZ_JAHSSM010000002.1,135083,158265,9.7861,1,1,1,1,1
Streptomyces olivaceus CR22,NZ_JAHSSN010000001.1,198666,221848,9.7861,1,1,1,1,1
Streptomyces olivaceus CR24,NZ_JAHSSO010000008.1,210681,233786,9.7860,1,1,1,1,1
Streptomyces olivaceus CR27,NZ_JAHSSP010000001.1,178804,201918,9.7902,1,1,1,1,1
Streptomyces olivaceus NPDC057337,NZ_JBHVAD010000013.1,197689,220802,9.7871,1,1,1,1,1
Streptomyces olivaceus NPDC048725,NZ_JBICVD010000010.1,65655,88810,9.7858,1,1,1,1,1
Streptomyces olivaceus SCSIO T05,NZ_CP043317.1,250154,273257,9.7890,1,1,1,1,1
Streptomyces olivaceus NPDC058982,NZ_JBHYJY010000004.1,2262,25565,9.7890,1,1,1,1,1
Streptomyces olivaceus NPDC058709,NZ_JBHYRJ010000009.1,197806,220910,9.7890,1,1,1,1,1
Streptomyces olivaceus NPDC059288,NZ_JBHYYS010000001.1,197816,220920,9.7890,1,1,1,1,1
Streptomyces olivaceus NPDC059287,NZ_JBHYYT010000017.1,141674,164778,9.7890,1,1,1,1,1
Streptomyces olivaceus NPDC059286,NZ_JBHYYU010000001.1,197816,220920,9.7890,1,1,1,1,1
Streptomyces olivaceus NPDC007996,NZ_JBIBJB010000001.1,96296,119425,9.7857,1,1,1,1,1
Streptomyces olivaceus NPDC088797,NZ_JBIVJZ010000004.1,96299,119428,9.7857,1,1,1,1,1
Streptomyces olivaceus CR8,NZ_JAHSSK010000003.1,177563,200664,9.7886,1,1,1,1,1
Streptomyces olivaceus DC10-5,NZ_BNEF01000003.1,249617,272762,9.7866,1,1,1,1,1
Streptomyces olivaceus DC10-5,BNEF01000003.1,249617,272762,9.7865,1,1,1,1,1
Streptomyces olivaceus NPDC020953,NZ_JBIRRG010000004.1,197081,220201,9.7870,1,1,1,1,1
Streptomyces olivaceus NPDC020867,NZ_JBIRSB010000001.1,1112727,1135847,9.7870,1,1,1,1,1
Streptomyces olivaceus NPDC020865,NZ_JBIRSC010000002.1,197081,220201,9.7870,1,1,1,1,1
Streptomyces olivaceus NPDC020860,NZ_JBIRSE010000004.1,629576,652696,9.7870,1,1,1,1,1
Streptomyces olivaceus NPDC020859,NZ_JBIRSF010000001.1,197081,220201,9.7870,1,1,1,1,1
Streptomyces olivaceus NPDC003520,NZ_JBEXMZ010000009.1,145085,168198,9.7871,1,1,1,1,1
Streptomyces olivaceus NPDC057215,NZ_JBHUWR010000018.1,34,23141,9.7864,1,1,1,1,1
Streptomyces olivaceus NPDC057216,NZ_JBHUWS010000009.1,32976,56083,9.7864,1,1,1,1,1
Streptomyces olivaceus NPDC057224,NZ_JBHUWX010000009.1,224043,247150,9.7864,1,1,1,1,1
Streptomyces olivaceus NPDC057233,NZ_JBHUXF010000010.1,32973,56080,9.7864,1,1,1,1,1
Streptomyces olivaceus NPDC003414,NZ_JBIAOO010000001.1,178677,201790,9.7871,1,1,1,1,1
Streptomyces ardesiacus NPDC006376,NZ_JBEXQH010000002.1,365115,387973,9.8103,1,1,1,1,1
Streptomyces ardesiacus NPDC006166,NZ_JBEXTN010000008.1,117482,140340,9.8106,1,1,1,1,1
Streptomyces ardesiacus NPDC059739,NZ_JBHWGO010000006.1,128765,151623,9.8140,1,1,1,1,1
Streptomyces ardesiacus NPDC093553,NZ_JBIWJE010000001.1,1398459,1421317,9.8105,1,1,1,1,1
Streptomyces ardesiacus NBRC 15402,NZ_BEWC01000001.1,1264797,1287655,9.8104,1,1,1,1,1
Streptomyces ardesiacus IBSBF 3360,NZ_JAJSZE010000053.1,15409,38267,9.8121,1,1,1,1,1
Streptomyces ardesiacus NPDC094450,NZ_JBEOTR010000006.1,237929,260787,9.8104,1,1,1,1,1
Streptomyces ardesiacus NPDC007026,NZ_JBEYGW010000006.1,288685,311543,9.8101,1,1,1,1,1
Streptomyces ardesiacus NPDC059588,NZ_JBHWCG010000025.1,82442,105300,9.8109,1,1,1,1,1
Streptomyces ardesiacus NPDC127099,NZ_JBHXFK010000012.1,9884,32742,9.8116,1,1,1,1,1
Streptomyces ardesiacus NPDC012537,NZ_JBIBEH010000001.1,1160492,1183350,9.8098,1,1,1,1,1
Streptomyces ardesiacus NPDC093086,NZ_JBIVPC010000010.1,237929,260787,9.8104,1,1,1,1,1
Streptomyces ardesiacus NPDC093072,NZ_JBIVPG010000008.1,273598,296456,9.8106,1,1,1,1,1
Streptomyces lancefieldiae DSM 40712,NZ_JAVRFH010000002.1,162262,184941,9.7859,1,1,1,1,1
Streptomyces coeruleorubidus NPDC002993,NZ_JBEXNR010000004.1,160383,183165,9.7859,1,1,1,1,1
Streptomyces coeruleorubidus NPDC046585,NZ_JBEYZE010000002.1,336218,359000,9.7864,1,1,1,1,1
Streptomyces coeruleorubidus JCM 4292,NZ_BMSO01000018.1,167709,190543,9.7845,1,1,1,1,1
Streptomyces coeruleorubidus DM,NZ_CP118527.1,8565821,8588631,9.7827,1,1,1,1,1
Streptomyces coeruleorubidus NPDC017947,NZ_JBIRHF010000004.1,505965,528777,9.7866,1,1,1,1,1
Streptomyces coeruleorubidus JCM 4359,NZ_BMTB01000005.1,397869,423978,9.7870,1,1,1,1,1
Streptomyces coeruleorubidus ATCC 13740,NZ_CP023694.1,8185225,8211334,9.7870,1,1,1,1,1
Streptomyces coeruleorubidus NPDC019882,NZ_JBEYAS010000005.1,150313,176373,9.7875,1,1,1,1,1
Streptomyces coeruleorubidus NPDC020515,NZ_JBFAEK010000003.1,109572,135681,9.7870,1,1,1,1,1
Streptomyces coeruleorubidus NPDC019885,NZ_JBIRXL010000002.1,150313,176373,9.7875,1,1,1,1,1
Streptomyces coeruleorubidus NPDC088741,NZ_JBIVLC010000001.1,832582,855398,9.7820,1,1,1,1,1
Streptomyces coeruleorubidus NPDC012922,NZ_JBIBBD010000001.1,1281118,1304116,9.7855,1,1,1,1,1
Streptomyces coeruleorubidus NPDC018020,NZ_JBIRGC010000005.1,524415,550512,9.7852,1,1,1,1,1
Streptomyces caelestis DSM 40084,NZ_JACHNE010000001.1,7827615,7850498,9.7772,1,1,1,1,1
Streptomyces caelestis DSM 40084,JACHNE010000001.1,7827615,7850498,9.7768,1,1,1,1,1
Streptomyces caelestis JCM 4566,NZ_JBHSYJ010000004.1,335212,358095,9.7772,1,1,1,1,1
Streptomyces caelestis JCM 4566,BMUR01000004.1,288555,311438,9.7772,1,1,1,1,1
Streptomyces caelestis NPDC088827,NZ_JBIVJI010000005.1,228745,251613,9.7770,1,1,1,1,1
Streptomyces afghaniensis NPDC018010,NZ_JBIRGJ010000001.1,1427557,1450332,9.7796,1,1,1,1,1
Streptomyces afghaniensis NPDC006242,NZ_JBEXSO010000033.1,12694,35441,9.7794,1,1,1,1,1
Streptomyces coelicoflavus NBRC 15399,NZ_BEWB01000007.1,369666,392580,9.8107,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,151049,173978,9.8228,1,1,1,1,1
Streptomyces coelicoflavus SID14172,NZ_JAAGMB010000227.1,23560,46488,9.8126,1,1,1,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000004.1,105603,128533,9.8196,1,1,1,1,1
Streptomyces coelicoflavus NPDC001050,NZ_JBEPBG010000003.1,138429,161359,9.8093,1,1,1,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000001.1,1356327,1379260,9.8214,1,1,1,1,1
Streptomyces coelicoflavus NPDC059661,NZ_JBHWEE010000009.1,189690,212614,9.8217,1,1,1,1,1
Streptomyces coelicoflavus NPDC059677,NZ_JBHWEQ010000011.1,105543,128473,9.8197,1,1,1,1,1
Streptomyces coelicoflavus NPDC060156,NZ_JBHWYF010000018.1,105618,128551,9.8214,1,1,1,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000004.1,538345,561278,9.8214,1,1,1,1,1
Streptomyces coelicoflavus NPDC058541,NZ_JBHXOB010000011.1,112005,134935,9.8175,1,1,1,1,1
Streptomyces coelicoflavus NPDC059415,NZ_JBHYWE010000003.1,129024,152066,9.8153,1,1,1,1,1
Streptomyces coelicoflavus NPDC003954,NZ_JBIANE010000001.1,138406,161350,9.8112,1,1,1,1,1
Streptomyces coelicoflavus NPDC089661,NZ_JBIVHO010000013.1,152881,175813,9.8082,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000002.1,1730374,1753304,9.8231,1,1,1,1,1
Streptomyces canus NPDC048437,NZ_JBICXO010000019.1,75863,101894,9.7883,1,1,1,1,1
Streptomyces hygroscopicus NPDC007149,NZ_JBEYFG010000053.1,15841,38527,9.7753,1,1,1,1,1
