Organism,Scaffold,Start,End,Score,CAC37460.1,CAC37461.1,CAD55222.1,CAC44193.1,CAC44197.1,CAC44199.1,CAC44200.1,CAC44201.1,CAC44202.1,CAC44203.1,CAC44204.1,CAC44205.1
Streptomyces tanashiensis NPDC047066,NZ_JBEYVF010000033.1,55951,67042,9.2946,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis JCM 4498,NZ_BMUH01000023.1,54850,65954,9.2961,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis JCM 4498,BMUH01000023.1,54850,65954,9.2958,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis Kala,NZ_CP084204.1,2126213,2137317,9.2961,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis NPDC044950,NZ_JBEZBH010000033.1,47264,58368,9.2961,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis NPDC026975,NZ_JBEZXN010000055.1,17214,28318,9.2961,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis NPDC025848,NZ_JBEZYO010000048.1,9948,21052,9.2961,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis DSM 40314,NZ_JBFNGR010000021.1,9934,21038,9.2961,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis NPDC012695,NZ_JBIBDC010000025.1,9886,20991,9.2961,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis NPDC089876,NZ_JBFBGP010000040.1,10213,21313,9.2963,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces tanashiensis NPDC007962,NZ_JBIBJP010000026.1,9957,21057,9.2961,1,1,0,1,0,1,1,1,0,0,1,0
Streptomyces gobiensis 1_25,NZ_CP086120.1,3334089,3363098,15.3285,1,1,1,1,0,0,1,1,1,1,1,0
Saccharopolyspora sp. NPDC000359,NZ_JBEPDU010000026.1,16307,45407,16.3125,1,1,0,0,0,1,1,1,1,1,1,1
Streptomyces olivoreticuli ZZ-21,CP129915.1,3849330,3863492,8.2298,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces olivoreticuli ZZ-21,NZ_CP129915.1,3849330,3863492,8.2297,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces termitum NPDC017906,NZ_JBIRHP010000002.1,565965,583239,12.2915,1,1,1,1,0,0,1,1,1,1,0,0
Streptomyces termitum JCM 4518,NZ_BMUL01000004.1,408795,426056,12.2902,1,1,1,1,0,0,1,1,1,1,0,0
Streptomyces termitum JCM 4518,BMUL01000004.1,408795,426056,12.2895,1,1,1,1,0,0,1,1,1,1,0,0
Streptomyces termitum NPDC090967,NZ_JBIVWU010000002.1,311921,329182,12.2902,1,1,1,1,0,0,1,1,1,1,0,0
Streptomyces blastmyceticus JCM 4565,NZ_BAAABW010000016.1,449617,462301,8.2298,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces tamarix TRM76323,NZ_JAWCTQ010000001.1,231472,243107,12.2876,2,1,1,0,0,0,1,1,1,1,0,0
Actinokineospora sp. PR83,NZ_JAJCXD010000035.1,117667,139000,9.2383,1,0,0,0,0,1,1,1,1,1,0,1
Pseudonocardia sp. DSM 110487,NZ_CP080521.1,7991705,8008220,11.2716,0,0,0,1,0,1,1,1,1,1,1,0
Pseudonocardia sp. DSM 110487,CP080521.1,7991705,8008220,11.2716,0,0,0,1,0,1,1,1,1,1,1,0
Streptomyces rubradiris NPDC012339,NZ_JBIBFB010000016.1,146445,169795,9.2207,1,0,0,0,0,1,1,1,1,1,0,0
Streptomyces cynarae HUAS 13-4,NZ_CP106793.1,2703371,2717097,9.2349,0,1,0,0,0,1,1,1,1,1,0,0
Nocardia sp. NBC_01388,NZ_CP109553.1,1920561,1935741,9.2482,0,1,0,0,0,1,1,1,0,0,1,1
Nocardia sp. CC227C,NZ_JASITE010000022.1,7383,30078,8.2511,0,0,0,1,0,1,1,1,0,1,1,0
Nocardia sp. NPDC004168,NZ_JBEXME010000014.1,174773,184130,10.2282,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. NPDC047038,NZ_JBEYVQ010000001.1,147618,157129,10.2281,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. NPDC051911,NZ_JBFAXY010000015.1,40347,49709,10.2279,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. NPDC059691,NZ_JBHWFB010000009.1,64197,73560,10.2282,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. NPDC051900,NZ_JBITBU010000014.1,92851,102214,10.2281,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. NPDC051929,NZ_JBIUCG010000006.1,116951,126388,10.2282,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. NPDC019219,NZ_JBEYCG010000004.1,109890,119415,10.2279,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. SC052,NZ_JBJZOK010000006.1,329906,339269,10.2281,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. NBC_00508,NZ_CP107852.1,5189208,5202166,10.2291,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sp. CY41,NZ_VUOS01000027.1,83871,93406,10.2280,0,0,0,0,0,1,1,1,1,1,1,0
Actinoplanes cyaneus JCM 9082,NZ_BAAAUC010000024.1,88308,102520,13.2856,0,0,1,1,0,0,1,1,1,1,1,1
Actinoplanes cyaneus NBRC 14990,NZ_BOMH01000068.1,87812,102024,13.2856,0,0,1,1,0,0,1,1,1,1,1,1
Actinoplanes cyaneus DSM 46137,NZ_JAODUN010000008.1,88326,102538,13.2856,0,0,1,1,0,0,1,1,1,1,1,1
Amycolatopsis azurea DSM 43854,NZ_ANMG01000035.1,83581,96165,10.2313,0,0,1,1,0,0,1,1,1,1,0,0
Umezawaea beigongshangensis REN6,NZ_JAEIOJ010000008.1,264627,276919,10.2645,0,0,1,1,0,1,1,1,1,1,0,0
Saccharothrix saharensis NPDC006247,NZ_JBIAIA010000003.1,466318,478576,10.2330,0,0,1,1,0,0,1,1,1,1,0,0
Saccharothrix saharensis DSM 45456,NZ_VFPP01000001.1,8195871,8208191,10.2652,0,0,1,1,0,1,1,1,1,1,0,0
Micromonospora cabrerizensis LAH09,NZ_JAKKFI010000046.1,116133,137166,13.3247,0,0,1,1,0,1,1,1,1,1,1,1
Micromonospora cabrerizensis LAH09,JAKKFI010000046.1,116133,137166,13.3246,0,0,1,1,0,1,1,1,1,1,1,1
Micromonospora marina DSM 45555,NZ_FMCV01000021.1,46918,68147,13.3203,0,0,1,1,0,1,1,1,1,1,1,1
Micromonospora marina PCU 269,NZ_JBHLYH010000022.1,53926,75155,13.3203,0,0,1,1,0,1,1,1,1,1,1,1
Micromonospora sediminicola DSM 45794,NZ_FLRH01000003.1,3251161,3271845,10.2838,0,0,1,1,0,1,1,1,1,0,1,1
Micromonospora sediminicola NPDC049895,NZ_JBITKN010000003.1,250731,271413,10.2843,0,0,1,1,0,1,1,1,1,0,1,1
Micromonospora maritima NPDC049859,NZ_JBITLA010000003.1,225452,246134,10.2831,0,0,1,1,0,1,1,1,1,0,1,1
Micromonospora maritima NPDC049858,NZ_JBITLB010000010.1,13042,33724,10.2832,0,0,1,1,0,1,1,1,1,0,1,1
Micromonospora maritima NPDC049845,NZ_JBITLE010000003.1,430720,451402,10.2831,0,0,1,1,0,1,1,1,1,0,1,1
Micromonospora maritima JCM 17013,NZ_BAABCL010000004.1,200920,221602,10.2839,0,0,1,1,0,1,1,1,1,0,1,1
Streptomyces griseocarneus KCC S-1010,NZ_CP071595.1,4105536,4118892,10.2647,0,0,0,1,0,1,1,1,1,1,1,0
Streptomyces griseocarneus 132,PENC01000010.1,188778,207777,14.2779,0,0,0,1,0,1,1,1,1,1,1,1
Streptomyces triculaminicus JCM 4242,NZ_JAFMOF010000001.1,675393,688743,10.2647,0,0,0,1,0,1,1,1,1,1,1,0
Streptomyces triculaminicus NPDC053077,NZ_JBITZK010000011.1,5860,19207,10.2645,0,0,0,1,0,1,1,1,1,1,1,0
Streptomyces humi MUSC 119,NZ_LBMU02000089.1,31035,53768,10.2618,0,0,0,1,0,1,1,1,1,1,1,0
Streptomyces arenae DSM 40737,NZ_JAKQYH010000014.1,102085,119339,9.2313,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces albireticuli NPDC059012,NZ_JBHYIY010000020.1,72711,90756,8.2369,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli NRRL B1670 type C,NZ_JAJQQQ010000001.1,209028,227073,8.2367,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli NRRL B1670 type C,JAJQQQ010000001.1,209028,227073,8.2362,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli NRRL B1670 type B,NZ_JAJQQR010000001.1,1164502,1182547,8.2367,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli NRRL B1670 type B,JAJQQR010000001.1,1164502,1182547,8.2361,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli NRRL B1670,NZ_JAJQQS010000003.1,821425,839470,8.2367,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli NRRL B1670,JAJQQS010000003.1,821425,839470,8.2362,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli NRRL B-1670,NZ_NSJV01000058.1,16592,34637,8.2367,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli NRRL B-1670,NSJV01000058.1,16592,34637,8.2361,0,0,0,1,0,1,1,1,0,1,0,1
Streptomyces albireticuli MDJK11,NZ_CP021744.1,757385,776341,11.2772,0,0,0,1,0,1,1,1,0,1,1,1
Streptomyces albireticuli MDJK11,CP021744.1,757385,776341,11.2772,0,0,0,1,0,1,1,1,0,1,1,1
Streptomyces parvus C05,NZ_VSZQ01000047.1,14113,29568,10.2252,0,0,0,1,0,1,1,1,1,1,0,0
Streptomyces eurocidicus CECT 3259,NZ_JACHJF010000005.1,260609,268180,10.2420,0,0,0,0,0,1,1,1,0,1,1,1
Streptomyces eurocidicus ATCC 27428,NZ_LGUI01000002.1,512282,519853,10.2420,0,0,0,0,0,1,1,1,0,1,1,1
Streptomyces eurocidicus ATCC 27428,LGUI01000002.1,512282,519853,10.2413,0,0,0,0,0,1,1,1,0,1,1,1
Streptomyces eurocidicus NRRL ISP-5604,NZ_WPBZ01000007.1,106767,114338,10.2420,0,0,0,0,0,1,1,1,0,1,1,1
Streptomyces eurocidicus NRRL ISP-5604,WPBZ01000007.1,106767,114338,10.2410,0,0,0,0,0,1,1,1,0,1,1,1
Micromonospora purpureochromogenes NPDC047757,NZ_JBEYSK010000008.1,148029,172823,13.2914,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora purpureochromogenes NPDC057205,NZ_JBHUWM010000018.1,43924,68913,13.2894,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora purpureochromogenes NPDC023703,NZ_JBFAAU010000178.1,1999,8519,11.2208,0,0,0,0,0,0,1,1,1,1,1,1
Micromonospora purpureochromogenes NPDC050303,NZ_JBFAKR010000010.1,44841,69641,13.2904,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora purpureochromogenes DSM 43821,NZ_LT607410.1,3333318,3358128,10.2809,0,0,0,1,0,1,1,1,0,1,1,1
Micromonospora purpureochromogenes DSM 43821,LT607410.1,3333300,3358128,10.2809,0,0,0,1,0,1,1,1,0,1,1,1
Micromonospora purpureochromogenes DSM 43814,NZ_JACCCQ010000001.1,5781135,5805931,13.2904,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora purpureochromogenes DSM 43814,JACCCQ010000001.1,5781135,5805931,13.2896,0,0,0,1,0,1,1,1,1,1,1,1
Krasilnikovia sp. MM14-A1259,NZ_BAAGAJ010000002.1,5368276,5391960,13.2870,0,0,0,1,0,1,1,1,1,1,1,1
Streptomyces luteolus B-S-A12,NZ_JASCIS010000039.1,43775,63485,14.2839,0,0,0,1,0,1,1,1,1,1,1,1
Nocardiopsis aegyptia DSM 44442,NZ_JACCFS010000001.1,4466685,4484568,13.2801,0,0,0,1,0,1,1,1,1,1,1,1
Nocardiopsis aegyptia DSM 44442,JACCFS010000001.1,4466685,4484568,13.2801,0,0,0,1,0,1,1,1,1,1,1,1
Nocardiopsis aegyptia NPDC059190,NZ_JBHZBL010000003.1,400595,419909,13.2802,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora palomenae DSM 102131,NZ_VIXA01000001.1,619634,644438,13.2901,0,0,0,1,0,1,1,1,1,1,1,1
Micromonospora palomenae DSM 102131,VIXA01000001.1,619616,644438,13.2900,0,0,0,1,0,1,1,1,1,1,1,1
Actinomadura decatromicini CYP1-5,NZ_VSRQ01000009.1,292918,299554,13.2626,0,0,0,0,0,1,1,1,1,1,1,1
Actinomadura decatromicini CYP1-5,VSRQ01000009.1,292918,299554,13.2623,0,0,0,0,0,1,1,1,1,1,1,1
Actinomadura syzygii TBRC 3957,NZ_JBHSBF010000009.1,223408,230017,13.2637,0,0,0,0,0,1,1,1,1,1,1,1
Actinomadura syzygii GKU157,NZ_VSFF01000004.1,323962,330571,13.2637,0,0,0,0,0,1,1,1,1,1,1,1
Actinomadura syzygii GKU157,VSFF01000004.1,323962,330571,13.2634,0,0,0,0,0,1,1,1,1,1,1,1
Actinokineospora spheciospongiae CECT 8578,NZ_QHCP01000004.1,190082,206313,8.2077,0,0,0,0,0,1,1,1,1,1,0,1
Actinokineospora spheciospongiae EG49,NZ_AYXG01000148.1,34809,51032,8.2075,0,0,0,0,0,1,1,1,1,1,0,1
Actinokineospora iranica IBRC-M 10403,NZ_FMZZ01000007.1,248436,264032,13.2537,0,0,0,0,0,1,1,1,1,1,1,1
Actinokineospora iranica IBRC-M 10403,FMZZ01000007.1,248436,264032,13.2528,0,0,0,0,0,1,1,1,1,1,1,1
Nocardia gamkensis NPDC007908,NZ_JBIBKQ010000021.1,54121,63407,10.2285,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia gamkensis NPDC052296,NZ_JBIUBF010000003.1,531456,540748,10.2290,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia gipuzkoensis FDAARGOS_1619,NZ_CP089225.1,5820345,5829827,10.2285,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia gipuzkoensis 234509,NZ_JACBNG010000049.1,33504,42989,10.2287,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia abscessus BJ06-0146,NZ_JADLQO010000002.1,23926,33424,10.2281,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia abscessus BJ06-0146,JADLQO010000002.1,23926,33424,10.2281,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia abscessus 760185009,NZ_JARWOU010000102.1,3115,12598,10.2293,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia beijingensis N-39,NZ_JADLRZ010000013.1,108892,118282,10.2281,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia beijingensis N-39,JADLRZ010000013.1,108892,118282,10.2281,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia beijingensis NPDC127515,NZ_JBEORE010000007.1,19285,28676,10.2287,0,0,0,0,0,1,1,1,1,1,1,0
Streptomyces syringium NPDC000386,NZ_JBIAZB010000008.1,222196,239948,8.2153,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC013434,NZ_JBEYCZ010000002.1,46846,64982,8.2134,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC006537,NZ_JBEXOY010000005.1,18890,37216,8.2153,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC006439,NZ_JBEXPX010000002.1,146980,165463,8.2153,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC007050,NZ_JBEYGO010000007.1,86627,104953,8.2150,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC053777,NZ_JBFASJ010000032.1,15757,33939,8.2146,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC053754,NZ_JBFASL010000045.1,18893,37219,8.2152,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC051212,NZ_JBFBAU010000047.1,3696,21119,8.2153,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC059887,NZ_JBHWKI010000024.1,45764,62421,8.2155,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC007986,NZ_JBIBJF010000005.1,86603,104929,8.2152,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces syringium NPDC053779,NZ_JBITWZ010000012.1,58773,76971,8.2146,0,0,0,0,0,1,1,1,1,1,0,1
Nocardia sputorum IFM12275,NZ_AP026976.1,6943945,6953470,10.2279,0,0,0,0,0,1,1,1,1,1,1,0
Nocardia sputorum IFM 12276,NZ_AP026978.1,1222866,1232390,10.2279,0,0,0,0,0,1,1,1,1,1,1,0
Streptomyces netropsis NPDC020778,NZ_JBIRTC010000012.1,98477,116653,8.2161,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces netropsis JCM 4063,NZ_BMRW01000002.1,737365,755541,8.2158,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces netropsis JCM 4063,BMRW01000002.1,737365,755541,8.2150,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces netropsis M-141,NZ_CP147867.1,1253503,1271670,8.2157,0,0,0,0,0,1,1,1,1,1,0,1
Streptomyces netropsis CECT 3265,NZ_JACHJG010000011.1,82846,101022,8.2158,0,0,0,0,0,1,1,1,1,1,0,1
