Organism,Scaffold,Start,End,Score,CAC36059.1,CAD55403.1,CAC44647.1,CAC44648.1,CAC44649.1,CAC44650.1,CAC44651.1,CAC44652.1,CAC44653.1
Streptomyces sp. NPDC058793,NZ_JBHYOS010000017.1,145174,153540,14.4023,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC08401,NZ_RPRV01000004.1,365411,373774,14.3957,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC08401,RPRV01000004.1,365411,373774,14.3960,1,1,1,1,0,1,1,1,1
Streptomyces sp. A108,NZ_JACBYP010000027.1,28577,37006,17.4626,1,1,1,1,1,1,1,1,1
Streptomyces sp. CRB46,NZ_JACTMC010000018.1,21744,30124,14.3946,1,1,1,1,0,1,1,1,1
Streptomyces sp. DH1,NZ_JAHWGV010000003.1,595100,603509,14.3950,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC05458,NZ_RPRU01000003.1,425532,433895,14.3950,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC05458,RPRU01000003.1,425532,433895,14.3954,1,1,1,1,0,1,1,1,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000001.1,758484,766847,14.3948,1,1,1,1,0,1,1,1,1
Streptomyces sp. AN-3,NZ_JASBOE010000006.1,374395,382758,14.3947,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC02707,NZ_RPSB01000014.1,84894,93280,14.3955,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC02707,RPSB01000014.1,84894,93280,14.3958,1,1,1,1,0,1,1,1,1
Streptomyces sp. SS52,NZ_CP039123.1,724837,733177,14.3949,1,1,1,1,0,1,1,1,1
Streptomyces sp. SS52,CP039123.1,724837,733177,14.3952,1,1,1,1,0,1,1,1,1
Streptomyces sp. KAI 90,NZ_JAANNZ010000001.1,115062,123404,14.3945,1,1,1,1,0,1,1,1,1
Streptomyces sp. VITNK9,NZ_JACWAA010000004.1,717128,725468,14.3947,1,1,1,1,0,1,1,1,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,716470,724840,14.3951,1,1,1,1,0,1,1,1,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,716703,725073,14.3951,1,1,1,1,0,1,1,1,1
Streptomyces sp. RT42,NZ_JAGPYJ010000001.1,336729,345115,14.3950,1,1,1,1,0,1,1,1,1
Streptomyces sp. CC302I,NZ_JBHOFE010000031.1,43716,52073,14.3948,1,1,1,1,0,1,1,1,1
Streptomyces sp. CS207,NZ_KZ819184.1,3686996,3695336,14.3948,1,1,1,1,0,1,1,1,1
Streptomyces sp. CS207,KZ819184.1,3686996,3695336,14.3952,1,1,1,1,0,1,1,1,1
Streptomyces sp. MBT28,NZ_LARV01000268.1,40906,49246,14.3951,1,1,1,1,0,1,1,1,1
Streptomyces sp. CC71,NZ_LOSR01000175.1,84629,92986,14.3945,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC06273,NZ_RPSD01000004.1,143490,151830,14.3949,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC06273,RPSD01000004.1,143490,151830,14.3952,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000028.1,42560,50926,14.4016,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058832,NZ_JBHYNL010000032.1,25001,33367,14.4016,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058830,NZ_JBHYNN010000007.1,75631,83997,14.4016,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058829,NZ_JBHYNO010000048.1,39878,48244,14.4016,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000008.1,276070,284436,14.4016,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058826,NZ_JBHYNR010000043.1,32194,40560,14.4016,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058825,NZ_JBHYNS010000011.1,91728,100094,14.4016,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000046.1,14970,23336,14.4012,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC06128,NZ_RPSC01000003.1,600790,609153,14.3954,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC06128,RPSC01000003.1,600790,609153,14.3957,1,1,1,1,0,1,1,1,1
Streptomyces sp. RM99,NZ_JAGPYI010000001.1,591100,599463,14.3950,1,1,1,1,0,1,1,1,1
Streptomyces sp. DHE17-7,NZ_JACJDL010000001.1,736914,744130,12.3306,1,1,1,1,0,1,1,1,0
Streptomyces sp. NRRL WC-3795,NZ_JOCG01000012.1,47917,56281,14.3954,1,1,1,1,0,1,1,1,1
Streptomyces sp. NBC_01723,NZ_CP109171.1,566890,575189,14.4340,1,1,1,1,1,1,1,0,1
Streptomyces sp. WAC04189,NZ_RPRT01000006.1,143102,151444,14.3951,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC04189,RPRT01000006.1,143102,151444,14.3954,1,1,1,1,0,1,1,1,1
Streptomyces sp. DSM 40167,NZ_JAUSUS010000001.1,441956,450255,14.4338,1,1,1,1,1,1,1,0,1
Streptomyces sp. DSM 40167,JAUSUS010000001.1,441956,450255,14.4313,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC000349,NZ_JBEPDY010000012.1,254374,262673,14.4338,1,1,1,1,1,1,1,0,1
Streptomyces sp. Tu 4128,NZ_QTSY01000068.1,274348,282720,11.3614,1,0,1,1,1,1,1,0,1
Streptomyces sp. NPDC056128,NZ_JBHJVQ010000004.1,495501,503806,14.4362,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC056127,NZ_JBHJVR010000002.1,22502,30807,14.4362,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC056337,NZ_JBHJQU010000046.1,19845,28144,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000002.1,147354,155693,14.4002,1,1,1,1,0,1,1,1,1
Streptomyces sp. MA25(2023),NZ_JAUEPC010000005.1,147372,155711,14.4002,1,1,1,1,0,1,1,1,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,802818,811181,14.3950,1,1,1,1,0,1,1,1,1
Streptomyces sp. SGAir0924,CP027297.1,802818,811181,14.3953,1,1,1,1,0,1,1,1,1
Streptomyces sp. A144,NZ_CP083267.2,755384,763746,14.3945,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC08452,NZ_RPRW01000007.1,365199,373539,14.3949,1,1,1,1,0,1,1,1,1
Streptomyces sp. WAC08452,RPRW01000007.1,365199,373539,14.3952,1,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC004538,NZ_JBEXLT010000036.1,32370,40669,14.4339,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC127139,NZ_JBHXUC010000018.1,21661,29978,14.4343,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC127168,NZ_JBHXUN010000047.1,19910,28227,14.4343,1,1,1,1,1,1,1,0,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000137.1,147618,155978,17.4618,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC046979,NZ_JBEYWM010000032.1,19901,28200,14.4331,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC015408,NZ_JBIBTQ010000004.1,118229,126544,17.4620,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057286,NZ_JBHUYU010000027.1,32243,40542,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC057293,NZ_JBHUZA010000013.1,32243,40542,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC057296,NZ_JBHUZD010000059.1,19873,28172,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC057299,NZ_JBHUZG010000060.1,21650,29949,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC057305,NZ_JBHUZL010000027.1,32243,40542,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC057315,NZ_JBHUZP010000033.1,32243,40542,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000011.1,125049,133506,17.4617,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096048,NZ_JBIWGG010000014.1,61009,69466,17.4619,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC046988,NZ_JBEYWH010000014.1,118060,126377,14.4343,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC059459,NZ_JBHYUX010000014.1,46013,54343,17.4588,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057074,NZ_JBHUTI010000008.1,21665,29964,14.4331,1,1,1,1,1,1,1,0,1
Streptomyces sp. BK79,NZ_JBHVOC010000005.1,38294,46658,11.3466,1,1,1,1,0,1,0,1,1
Streptomyces sp. NPDC004250,NZ_JBIAMO010000036.1,21745,30044,14.4339,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC056568,NZ_JBHTUU010000021.1,22629,30963,17.4580,1,1,1,1,1,1,1,1,1
Streptomyces sp. 049-1,NZ_JAJPVW010000004.1,32355,40654,14.4339,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC047065,NZ_JBEYVG010000004.1,538175,546474,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC015140,NZ_JBIBUV010000008.1,102386,110701,14.4340,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC047829,NZ_JBEYRU010000015.1,186164,194499,17.4583,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC015237,NZ_JBIBUH010000016.1,118024,126339,17.4613,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC127113,NZ_JBHXTI010000040.1,46266,54565,14.4337,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC016675,NZ_JBIBQW010000003.1,396036,404372,17.4595,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC047868,NZ_JBEYRL010000015.1,28717,37050,17.4586,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC047853,NZ_JBIDCI010000015.1,129851,138184,17.4586,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048594,NZ_JBICWB010000004.1,447632,455931,14.4331,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC006284,NZ_JBEXRY010000012.1,129418,137753,17.4576,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048568,NZ_JBICWJ010000006.1,399113,407377,14.4325,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC058534,NZ_JBHXNW010000099.1,16723,25022,14.4343,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC096191,NZ_JBEOSK010000023.1,114311,122574,14.4335,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC127020,NZ_JBHXDJ010000001.1,385809,394122,14.4341,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC053782,NZ_JBFASH010000003.1,364269,372565,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC053780,NZ_JBITWY010000005.1,79024,87320,14.4336,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC048232,NZ_JBICZU010000031.1,19925,28224,14.4332,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC049936,NZ_JBITKJ010000017.1,101507,109821,14.4331,1,1,1,1,1,1,1,0,1
Streptomyces sp. WAC 04229,NZ_QHJH01000003.1,76273,84587,14.4335,1,1,1,1,1,1,1,0,1
Streptomyces sp. WAC 04229,QHJH01000003.1,76273,84587,14.4337,1,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC058985,NZ_JBHYJX010000061.1,14914,23238,12.3824,1,1,1,1,1,1,0,0,1
Streptomyces sp. SID5606,NZ_WWIE01000054.1,25458,33834,14.4274,1,1,1,1,1,1,1,0,1
Streptomyces sp. SID5606,WWIE01000054.1,25458,33834,11.4028,1,1,1,0,1,1,1,0,1
Streptomyces sp. BPPL-273,NZ_CP124542.1,7467278,7475642,14.4280,1,1,1,1,1,1,1,0,1
Streptomyces sp. STD 3.1,JAKFGY010000016.1,105951,114275,12.3814,1,1,1,1,1,1,0,0,1
Streptomyces sp. LKA04,NZ_JBLUUE010000005.1,310563,318921,14.4275,1,1,1,1,1,1,1,0,1
Streptomyces sp. JHA26,NZ_BDJC01000009.1,34938,43311,17.4527,1,1,1,1,1,1,1,1,1
Streptomyces sp. VNUA74,NZ_CP133215.1,309239,317603,14.4275,1,1,1,1,1,1,1,0,1
Streptomyces sp. CL12-4,NZ_JAFETE010000010.1,93640,102057,17.4544,1,1,1,1,1,1,1,1,1
Streptomyces sp. CL12-4,JAFETE010000010.1,93640,102060,17.4543,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC032940,NZ_JBEZVJ010000011.1,61162,69544,17.4511,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC004783,NZ_JBEXJM010000009.1,100605,109036,14.3690,1,1,0,1,1,1,1,1,1
Streptomyces sp. NPDC018947,NZ_JBIRZD010000012.1,160794,169224,14.3690,1,1,0,1,1,1,1,1,1
Streptomyces sp. HO565,NZ_BPRK01000013.1,54618,63034,17.4542,1,1,1,1,1,1,1,1,1
Streptomyces sp. HO565,BPRK01000013.1,54618,63034,17.4546,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC087512,NZ_JBFBJG010000014.1,107120,115545,14.3696,1,1,0,1,1,1,1,1,1
Streptomyces sp. NPDC047725,NZ_JBIDCV010000015.1,108070,116513,14.3686,1,1,0,1,1,1,1,1,1
Streptomyces sp. NPDC048171,NZ_JBIDAU010000007.1,100957,109271,14.4334,1,1,1,1,1,1,1,0,1
Streptomyces sp. SCL15-6,NZ_JAOBTR010000002.1,641997,650412,17.4555,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093586,NZ_JBIWJA010000033.1,32540,40948,17.4480,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048219,NZ_JBIDAB010000014.1,57358,65985,14.3985,1,1,1,1,1,1,0,1,1
Streptomyces sp. NPDC127100,NZ_JBHXFL010000005.1,161748,170166,17.4501,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048193,NZ_JBEZMN010000034.1,31281,39692,17.4461,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048185,NZ_JBIDAN010000005.1,213384,221795,17.4461,1,1,1,1,1,1,1,1,1
Streptomyces sp. TP-A0875,NZ_BBZE01000016.1,143772,152209,8.2458,1,1,0,1,0,1,0,1,1
Streptomyces sp. SCSIO 75703,NZ_CP144555.1,6592313,6600750,8.2456,1,1,0,1,0,1,0,1,1
Streptomyces sp. NRRL F-5065,NZ_JOHV01000010.1,249352,257724,8.2454,1,1,0,1,0,1,0,1,1
Streptomyces sp. HUAS ZL42,NZ_CP160403.1,2082995,2114853,7.2413,1,1,1,1,0,0,0,1,0
Streptomyces anthocyanicus NPDC020086,NZ_JBEXZZ010000072.1,167,8574,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC020081,NZ_JBEYAA010000022.1,167,8574,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC096390,NZ_JBIWFA010000020.1,166,8573,17.5361,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_00116,NZ_CP108200.1,8076234,8084641,17.5344,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006946,NZ_JBEYIB010000075.1,12472,20879,17.5343,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048681,NZ_JBEZHC010000029.1,150,8557,17.5347,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006945,NZ_JBIAFY010000010.1,332237,340644,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005207,NZ_JBJDQS010000006.1,288545,296952,17.5343,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC006591,NZ_JBIAHH010000012.1,267635,276044,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC050019,NZ_JBITKF010000006.1,378057,386464,17.5349,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC005018,NZ_JBEXIZ010000067.1,12451,20858,17.5316,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,NZ_JAPFQR010000055.1,21791,30198,17.5349,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus IPS92w,JAPFQR010000055.1,21791,30198,17.5339,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC003196,NZ_JBEXNH010000023.1,84457,92864,17.5339,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC088223,NZ_JBIUSB010000006.1,267405,275812,17.5348,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 3037,NZ_BMPR01000009.1,59406,67813,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,NZ_BMVQ01000007.1,127992,136401,17.5355,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 4739,BMVQ01000007.1,127992,136401,17.5355,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057113,NZ_JBHUUJ010000074.1,117,8526,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057145,NZ_JBHUVC010000006.1,12412,20821,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060051,NZ_JBHWVX010000037.1,12430,20839,17.5348,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060099,NZ_JBHWXH010000121.1,162,8571,17.5348,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060100,NZ_JBHWXI010000105.1,12424,20833,17.5348,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060103,NZ_JBHWXK010000034.1,74494,82903,17.5348,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060105,NZ_JBHWXL010000095.1,12401,20810,17.5348,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC060106,NZ_JBHWXM010000027.1,74493,82902,17.5348,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC000667,NZ_JBIAYQ010000008.1,341094,349501,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012316,NZ_JBIBFD010000006.1,377403,385812,17.5354,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC012293,NZ_JBIBFF010000005.1,387536,395945,17.5354,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,NZ_CP109102.1,419159,427566,17.5347,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01777,CP109102.1,419159,427566,17.5337,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,NZ_CP109242.1,398868,407275,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01662,CP109242.1,398868,407275,17.5335,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC048675,NZ_JBEZHF010000006.1,288157,296564,17.5343,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01668,CP109228.1,8136971,8145378,17.5333,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01687,NZ_CP109205.1,396120,404524,17.5343,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC059397,NZ_JBHYWQ010000005.1,94306,102715,17.5352,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC086515,NZ_JBIVBU010000006.1,267952,276356,17.5343,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC_01372,NZ_CP109571.1,383240,391647,17.5348,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC127065,NZ_JBHXEK010000006.1,197761,206170,17.5350,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus JCM 5058,NZ_BMWI01000018.1,129571,137978,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NBC 01636,NZ_CP109275.1,428037,436444,17.5339,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057436,NZ_JBHVDB010000049.1,45628,54035,17.5349,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC057076,NZ_JBHUTJ010000066.1,21805,30212,17.5342,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC058696,NZ_JBHXST010000024.1,94364,102771,17.5333,1,1,1,1,1,1,1,1,1
Streptomyces anthocyanicus NPDC052222,NZ_JBFAVF010000014.1,15428,23841,17.5253,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,8103342,8111749,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,CM001889.1,8103342,8111749,17.5335,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,411049,419456,17.5312,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,411049,419456,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,GG657756.1,374834,383241,17.5335,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,7903886,7912293,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,412357,420764,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,411049,419456,17.5341,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000026.1,129472,137879,17.5344,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,362185,370592,17.5353,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,CP137734.1,362185,370592,17.5343,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000011.1,20574,28981,17.5350,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000005.1,287723,296130,17.5332,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000002.1,403030,411468,17.5248,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000002.1,472551,480989,17.5257,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000001.1,405491,413913,17.5261,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000004.1,137648,146054,17.5258,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000004.1,462483,470921,17.5254,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000002.1,559374,567812,17.5262,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000175.1,9118,15925,13.4195,1,1,1,1,1,1,1,0,0
Streptomyces rubrogriseus SID7739,JAAGMQ010000175.1,9118,15925,13.4166,1,1,1,1,1,1,1,0,0
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000006.1,137492,145914,17.5261,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_CP116256.1,4896136,4904558,17.5261,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus IBSBF 3360,NZ_JAJSZE010000129.1,360,7091,13.4031,1,1,1,1,1,1,1,0,0
Streptomyces ardesiacus NPDC059588,NZ_JBHWCG010000079.1,6166,14515,17.4983,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC127099,NZ_JBHXFK010000084.1,11427,19776,17.4978,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC012537,NZ_JBIBEH010000014.1,42854,51203,17.4983,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC093072,NZ_JBIVPG010000016.1,117000,125349,17.4981,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC093553,NZ_JBIWJE010000012.1,56347,64696,17.4983,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus 6G-OA-21,NZ_JAMHJP010000034.1,15049,23398,17.4986,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC094450,NZ_JBEOTR010000021.1,56355,64704,17.4988,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC007026,NZ_JBEYGW010000016.1,42584,50933,17.4983,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC093086,NZ_JBIVPC010000020.1,56355,64704,17.4988,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NBRC 15402,NZ_BEWC01000008.1,747575,755924,17.4979,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC006376,NZ_JBEXQH010000008.1,6164,14513,17.4981,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC059739,NZ_JBHWGO010000031.1,45481,53830,17.4984,1,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC006166,NZ_JBEXTN010000016.1,123446,131795,17.4978,1,1,1,1,1,1,1,1,1
Streptomyces diastaticus SID7513,JAAGMO010000550.1,23239,31588,11.3877,1,0,1,1,1,1,1,0,1
Streptomyces violaceorubidus NPDC001615,NZ_JBEOZY010000005.1,217278,225725,17.4932,1,1,1,1,1,1,1,1,1
Streptomyces violaceorubidus NRRL B-16381,NZ_JODM01000009.1,117972,126473,14.4654,1,1,1,0,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_BAABIV010000003.1,141383,149773,17.4955,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_JAIOJZ010000012.1,50471,58861,17.4932,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,BAABIV010000003.1,141383,149773,17.4961,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048071,NZ_JBEZNE010000016.1,79373,87763,17.4970,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058749,NZ_JBHYQA010000015.1,79388,87778,17.4973,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000011.1,122966,131356,17.4972,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000051.1,5647,14032,17.4956,1,1,1,1,1,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000007.1,336413,344798,17.4936,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC001029,NZ_JBIAYI010000004.1,588411,596789,17.4956,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018039,NZ_JBIRFN010000007.1,356095,364483,17.4944,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000006.1,391069,399457,17.4944,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000005.1,140536,148924,17.4944,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000010.1,79413,87803,17.4964,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000012.1,140680,149067,17.4983,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000007.1,426097,434487,17.4966,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000077.1,21423,29812,17.4974,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000006.1,129429,137817,17.4972,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000007.1,129384,137772,17.4974,1,1,1,1,1,1,1,1,1
