Organism,Scaffold,Start,End,Score,CAC17498.1,CAC17499.1,CAC17500.1,CAC17501.1,CAC17502.1,CAC17503.1,CAC17504.1,CAC17505.1,CAC17506.1,CAC17507.1,CAC17508.1
Streptomyces sp. NPDC006990,NZ_JBEYHM010000011.1,117,25445,22.3133,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. 16-176A,NZ_SJZE01000001.1,217422,242807,22.3220,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093554,NZ_JBFBDZ010000009.1,21098,46490,22.3184,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC087460,NZ_JBIUXM010000004.1,632216,657608,22.3184,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC004042,NZ_JBEXMN010000020.1,39119,64553,22.3049,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000026.1,52324,77692,22.3044,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SirexAA-E,NC_015953.1,818736,844046,22.3050,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SirexAA-E,CP002993.1,818736,844046,22.3076,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DvalAA-83,NZ_ARPI01000016.1,7159,32469,22.3050,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DpondAA-F4a,NZ_FMBZ01000201.1,6805,32115,22.3062,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DpondAA-F4a,FMBZ01000201.1,6805,32115,22.3076,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DpondAA-F4,NZ_FMIG01000015.1,72726,98037,19.2357,1,1,1,1,1,0,1,1,1,1,1
Streptomyces sp. DpondAA-F4,FMIG01000015.1,72726,98037,19.2371,1,1,1,1,1,0,1,1,1,1,1
Streptomyces sp. DvalAA-21,NZ_QKZP01000017.1,73016,98326,22.3062,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DvalAA-21,QKZP01000017.1,73016,98326,22.3076,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DpondAA-E10,NZ_QLLS01000017.1,7140,32450,22.3062,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DpondAA-E10,QLLS01000017.1,7140,32450,22.3076,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DpondAA-A50,NZ_QLLU01000018.1,7120,32430,22.3062,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. DpondAA-A50,QLLU01000018.1,7120,32430,22.3076,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8360,NZ_WWGR01000029.1,7120,32430,22.3050,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8360,WWGR01000029.1,7120,32430,22.3060,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8357,NZ_WWGU01000017.1,7159,32469,22.3050,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8357,WWGU01000017.1,7159,32469,22.3060,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID4940,NZ_WWJB01000216.1,6805,32115,22.3050,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID4940,WWJB01000216.1,6805,32115,22.3060,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID4939,NZ_WWJC01000016.1,72726,98037,19.2345,1,1,1,1,1,0,1,1,1,1,1
Streptomyces sp. SID4939,WWJC01000016.1,72726,98037,19.2355,1,1,1,1,1,0,1,1,1,1,1
Streptomyces sp. SID1,NZ_WWKF01000001.1,818736,844046,22.3050,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID1,WWKF01000001.1,818736,844046,22.3060,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC001508,NZ_JBEPAP010000016.1,73857,99240,22.3197,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. V17-9,NZ_CP074111.1,7256404,7281795,19.2647,1,1,1,1,1,1,1,0,1,1,1
Streptomyces sp. V17-9,CP074111.1,7256404,7281795,22.3054,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC085995,NZ_JBFBJU010000018.1,18650,44035,22.3205,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. B146,NZ_CP102359.1,7135352,7160741,22.3014,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. VN1,NZ_CP036534.1,7187164,7212541,22.3052,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC059709,NZ_JBHWFR010000034.1,21096,46548,22.3031,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056353,NZ_JBHJQL010000002.1,141181,166592,22.3103,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC08401,NZ_RPRV01000001.1,998156,1023533,22.3438,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC08401,RPRV01000001.1,998156,1023533,22.3442,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048002,NZ_JBEZNL010000005.1,56224,81500,22.2842,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058865,NZ_JBHYMP010000014.1,148120,173396,22.2828,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. VITNK9,NZ_JACWAA010000001.1,234576,259959,22.3532,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101221,NZ_JBIWOI010000012.1,168044,193524,22.3095,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,NZ_CP034353.1,841629,867036,22.3075,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. KPB2,CP034353.1,841629,867036,22.3084,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057144,NZ_JBHUVB010000044.1,82,25532,22.3100,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CB09030,NZ_CP094676.1,3201962,3227312,22.3042,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_01124,NZ_CP108643.1,1001642,1027064,22.3094,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,NZ_CP009754.1,877866,903339,22.3090,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CCM_MD2014,CP009754.1,877866,903339,22.3081,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MPA0124,NZ_JBJDRC010000029.1,31785,57258,22.3092,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MS2A,JAQIOU010000044.1,31748,57224,22.3086,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. R1,NZ_JAJIBA010000006.1,5250,30726,22.3105,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBUA17,NZ_CP172414.1,7149952,7175268,19.2080,1,1,1,1,1,1,1,1,0,1,1
Streptomyces sp. NA03103,NZ_CP054920.1,788931,814288,22.3076,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC044989,NZ_JBEZBD010000008.1,7974,33376,22.3076,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048405,NZ_JBICXX010000011.1,21106,46580,22.3083,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC030592,NZ_JBEZVW010000041.1,21270,46758,22.3061,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058762,NZ_JBHYPP010000007.1,21106,46522,22.3072,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005395,NZ_JBEXFE010000035.1,21100,46484,22.3049,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000009.1,114300,139665,22.3024,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. STCH 565 A,JAMSHC010000009.1,114300,139665,22.3001,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057176,NZ_JBHUVX010000001.1,189661,215099,22.3071,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. H23,NZ_SOPG01000017.1,137156,162551,22.3060,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. HUAS CX7,NZ_CP130681.1,896596,921989,22.3107,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,7564211,7589606,22.3497,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Babs14,JADBJQ010000002.1,7564211,7589606,22.3512,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CC302I,NZ_JBHOFE010000001.1,220743,246096,22.3494,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CC71,NZ_LOSR01000178.1,221663,247016,22.3483,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CC71,LOSR01000178.1,221663,247016,22.3493,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC04189,NZ_RPRT01000002.1,484900,510301,22.3498,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. WAC04189,RPRT01000002.1,484900,510301,22.3500,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SS52,NZ_CP039123.1,7821014,7846340,22.3465,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057362,NZ_JBHVAO010000008.1,52835,78297,22.3096,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. FXJ7.023,NZ_APIV01000022.1,20169,45522,22.3040,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. G3,NZ_JAMOZC010000012.1,21081,46467,22.3099,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057375,NZ_JBHVBA010000001.1,698372,723831,22.3098,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. CRN 30,NZ_JAVRHI010000492.1,7499,32577,22.2365,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093681,NZ_JBFBDU010000001.1,160039,185482,22.3030,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC003283,NZ_JBIAOV010000012.1,80008,105463,22.2839,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC101133,NZ_JBIVYW010000001.1,289631,315014,22.3101,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006349,NZ_JBEXQR010000030.1,39413,64757,22.3052,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00670,NZ_CP109017.1,190053,215007,22.2713,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006976,NZ_JBEYHP010000031.1,47963,73140,22.2982,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID11385,NZ_JAAGLR010000971.1,11691,36984,22.2923,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID11385,JAAGLR010000971.1,11691,36984,22.2917,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NBC_00334,NZ_CP108008.1,128805,154144,22.3036,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. BSE6.1,NZ_CP085300.1,902975,928381,22.3108,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC007126,NZ_JBIAFL010000001.1,1337310,1362723,22.3087,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. OspMP-M45,NZ_FLTP01000020.1,67513,92832,22.2896,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. OspMP-M45,FLTP01000020.1,67513,92832,22.2905,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID4925,NZ_WWJJ01000027.1,67513,92832,22.2896,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID4925,WWJJ01000027.1,67513,92832,22.2905,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MnatMP-M27,NZ_FMDJ01000211.1,23550,48823,22.2463,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. MnatMP-M27,FMDJ01000211.1,23550,48823,22.2436,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8361,WWGQ01000224.1,23550,48823,22.2449,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. M56,NZ_CP025018.1,11452045,11477318,22.2437,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8382,NZ_WWFZ01000247.1,48314,73587,22.2437,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID8382,WWFZ01000247.1,48314,73587,22.2423,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID4912,NZ_WWJS01000030.1,64268,89572,22.2916,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID4912,WWJS01000030.1,64268,89572,22.2927,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057509,NZ_JBHVES010000024.1,0,25168,22.2987,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SM18,NZ_CP029342.1,6328569,6353816,22.3001,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096040,NZ_JBEOTA010000011.1,180514,206058,22.2546,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC006923,NZ_JBEYIF010000003.1,225304,250495,22.2139,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005917,NZ_JBEXVP010000006.1,88355,113598,22.2587,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC005866,NZ_JBEXWP010000006.1,6970,32213,22.2587,1,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. SID2888,NZ_WWKB01000198.1,0,23330,20.2685,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000003.1,199277,222747,20.2569,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Osf17,JADBJP010000001.1,7565321,7588897,20.2632,0,1,1,1,1,1,1,1,1,1,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,7565399,7588897,20.2617,0,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000005.1,44963,70144,22.6063,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000005.1,44963,70144,22.5963,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,164585,189584,22.5931,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,164585,189584,22.5931,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,165893,190892,22.5931,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,118922,143936,22.5926,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber JCM 4423,BAABGV010000012.1,875,25889,22.5889,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000006.1,154799,179933,22.6056,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000006.1,370244,395330,22.5683,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_CP116256.1,4646724,4671810,22.5683,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000004.1,370301,395387,22.5668,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000002.1,223258,248329,22.5683,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000002.1,310087,335158,22.5683,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000001.1,156235,181306,22.5681,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000002.1,153930,179001,22.5643,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000004.1,213601,238672,22.5685,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_BAABIV010000003.1,413944,439168,22.3730,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_JAIOJZ010000011.1,69864,95088,22.3730,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,BAABIV010000003.1,413944,439168,22.3730,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000019.1,165323,190575,22.3788,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae JCM 4610,NZ_BMUY01000007.1,180894,206140,22.3850,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae JCM 4610,BMUY01000007.1,180894,206140,22.3834,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000007.1,127172,152460,22.3741,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018039,NZ_JBIRFN010000007.1,70979,96210,22.3816,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000006.1,105953,131184,22.3816,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000005.1,408809,434040,22.3816,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC001029,NZ_JBIAYI010000004.1,281602,306835,22.3780,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000006.1,275667,300901,22.3809,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000012.1,115283,140532,22.3812,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003786,NZ_JBIANS010000006.1,108945,134113,22.3801,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000014.1,151387,176587,22.3786,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC059843,NZ_JBHWJC010000009.1,108063,133222,22.3827,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000012.1,110953,136121,22.3825,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000013.1,110953,136121,22.3825,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000006.1,417725,442863,22.3796,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000006.1,417582,442759,22.3804,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000016.1,41898,67126,22.3823,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000003.1,527370,552598,22.3814,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000006.1,436941,462253,22.3813,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000008.1,4414,29693,22.3797,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000011.1,152361,177640,22.3751,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000005.1,420105,445336,22.3838,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000004.1,431447,456753,22.3729,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000012.1,161515,186773,22.3765,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000017.1,105896,131181,22.3815,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000005.1,187713,212986,22.3754,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000007.1,408518,433767,22.3737,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000014.1,165647,190899,22.3678,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058749,NZ_JBHYQA010000030.1,69474,94729,22.3748,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000011.1,3997,29250,22.3740,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000006.1,3929,29183,22.3764,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048071,NZ_JBEZNE010000019.1,4247,29499,22.3718,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000006.1,408524,433774,22.3737,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000025.1,45450,70723,22.3724,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000007.1,112917,138206,22.3722,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000005.1,391679,416930,22.3791,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC052220,NZ_JBFAVG010000007.1,422985,448267,22.3760,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000025.1,38844,64133,22.3741,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000009.1,176227,201515,22.3720,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000003.1,5945,31192,22.3710,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000031.1,38884,64172,22.3720,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000010.1,148375,173619,22.3744,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058912,NZ_JBHYLJ010000003.1,229846,255155,22.3797,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058889,NZ_JBHYLW010000005.1,43009,68318,22.3797,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000003.1,116135,141398,22.3764,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048598,NZ_JBEZID010000002.1,380519,405808,22.3736,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae,NZ_CANLXQ010000006.1,85073,110454,22.3765,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000001.1,1188334,1213602,22.3729,1,1,1,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000003.1,357108,382382,22.3784,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC006342,NZ_JBEXQT010000006.1,51259,76682,22.3848,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC058354,NZ_JBHXIP010000008.1,242060,267450,22.3859,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC058363,NZ_JBHXIX010000007.1,181046,206436,22.3859,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC058347,NZ_JBHXII010000006.1,51582,76972,22.3882,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC052167,NZ_JBFAVS010000004.1,536146,561473,22.3829,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC058836,NZ_JBHYNH010000018.1,42803,68146,22.3849,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC058833,NZ_JBHYNK010000002.1,246874,272256,22.3847,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC058824,NZ_JBHYNT010000031.1,50815,76403,22.3600,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis PU_KB6-10,NZ_JASHLU010000025.1,50672,76038,22.3836,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC017130,NZ_JBIROJ010000010.1,51288,76592,22.3839,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis MPB24,NZ_CP176874.1,1256900,1282182,22.3853,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC058835,NZ_JBHYNI010000026.1,50627,75909,22.3841,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis NPDC058831,NZ_JBHYNM010000003.1,391113,416395,22.3841,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC001050,NZ_JBEPBG010000009.1,72009,97430,22.3291,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus SID14172,NZ_JAAGMB010000118.1,30145,55539,22.3304,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus SID14172,JAAGMB010000118.1,30145,55539,22.3304,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBRC 15399,NZ_BEWB01000004.1,166092,191486,22.3329,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC003954,NZ_JBIANE010000007.1,446859,472253,22.3308,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000006.1,217939,243461,22.3309,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC089661,NZ_JBIVHO010000005.1,250094,275506,22.3348,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000001.1,86074,111665,22.3229,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,JAPENQ010000001.1,86074,111665,22.3226,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000006.1,14402,39936,22.3269,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060156,NZ_JBHWYF010000022.1,126023,151557,22.3269,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000005.1,384401,409935,22.3269,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,1823285,1848863,22.3228,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,CP108218.1,1823285,1848863,22.3225,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC057274,NZ_JBHUYM010000039.1,59,25650,22.3232,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056535,NZ_JBHTTY010000047.1,12937,38674,22.3205,1,1,1,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus LM32,NZ_JBAGKW010000026.1,67016,92492,22.3119,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hygroscopicus NPDC044793,NZ_JBEZBK010000025.1,21427,46976,22.3415,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hygroscopicus NPDC007149,NZ_JBEYFG010000028.1,69406,94913,22.3423,1,1,1,1,1,1,1,1,1,1,1
Streptomyces hygroscopicus NPDC057085,NZ_JBHUTN010000020.1,70772,96300,22.3409,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anulatus NPDC017547,JBIRJS010000005.1,274871,300268,22.3435,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anulatus NPDC017503,JBIRKL010000008.1,87179,112561,22.3435,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anulatus NPDC017553,JBIRJQ010000007.1,275514,300896,22.3435,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anulatus NPDC017536,JBIRJX010000006.1,274703,300100,22.3435,1,1,1,1,1,1,1,1,1,1,1
Streptomyces anulatus NPDC017504,JBIRKK010000008.1,274677,300074,22.3435,1,1,1,1,1,1,1,1,1,1,1
