Organism,Scaffold,Start,End,Score,CAB38581.1,CAB38582.1,CAB38583.1,CAB38584.1,CAB38585.1,CAB38586.1,CAB38587.1,CAB38588.1,CAB38589.1,CAB38590.1,CAB38591.1,CAB38592.1,CAB38593.1,CAB38594.1,CAB38595.1,CAB38596.1,CAB38597.1,CAD55497.1,CAB38520.1,CAB38519.1,CAB38518.1,CAB38517.1,CAD55498.1,CAB38877.1,CAB38878.1,CAB38879.1,CAB38880.1,CAB38881.1,CAB38882.1,CAB38883.1,CAB38884.1,CAB38885.1,CAB38886.1,CAB38887.1,CAB38888.1,CAB38889.1,CAB38890.1,CAB38891.1,CAB38892.1,CAB38893.1
Streptomyces lividans TK24,CP009124.1,4739626,4822433,84.2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,GG657756.1,4711389,4794074,77.5089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,3504799,3587606,81.1482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,4775254,4858061,84.2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,4755117,4837924,84.2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000012.1,77301,160067,84.2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000012.1,77301,160067,84.1831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,4855964,4938892,84.2039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000009.1,28279,111053,84.0354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000008.1,79256,154106,80.0991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000012.1,28071,110764,84.0220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000011.1,213136,295819,84.0415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_CP116256.1,527671,610355,80.9776,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000013.1,91336,174010,84.0241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces mutabilis MPB24,NZ_CP176874.1,6297103,6372498,67.9052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces mutabilis NPDC058841,NZ_JBHYNE010000008.1,28723,100971,67.5699,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC048184,NZ_JBIDAO010000004.1,186111,261130,64.2991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NS1,NZ_JAJIRV010000009.1,222193,282814,48.1177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces rochei NPDC017502,NZ_JBIRKM010000001.1,1497998,1573050,67.9187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC058811,NZ_JBHYOC010000003.1,114801,189852,64.2967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC058808,NZ_JBHYOF010000003.1,319418,394469,64.2967,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC058716,NZ_JBHYRC010000002.1,85285,160332,64.2978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC007933,NZ_JBIBKB010000001.1,1105388,1180450,64.2984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC058846,NZ_JBHYNB010000011.1,109,65629,48.7762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces rochei NPDC014778,NZ_JBIBXQ010000001.1,581330,656403,67.9137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC058813,NZ_JBHYOA010000004.1,196368,271478,67.6964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC006340,NZ_JBEXQV010000006.1,116792,191859,67.9146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC093592,NZ_JBIWIX010000001.1,326039,401163,64.2912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC058809,NZ_JBHYOE010000001.1,324793,388988,63.9297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC085455,NZ_JBITTQ010000002.1,429604,504652,64.2987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC057149,NZ_JBHUVG010000013.1,46,65600,48.7812,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces rochei NPDC018887,NZ_JBIRZG010000002.1,585852,660893,64.2974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC018789,NZ_JBIRZP010000006.1,137084,212125,64.2974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC018683,NZ_JBISAA010000004.1,137084,212125,64.2974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC018673,NZ_JBISAB010000005.1,344766,419807,64.2974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC101106,NZ_JBIVZN010000003.1,179411,254449,64.2998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC013977,NZ_JBICAN010000003.1,568171,643212,64.3001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC007838,NZ_JBIAEI010000001.1,1342330,1417398,64.2923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei SR1102,NZ_CP161948.1,1518336,1593360,67.9129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC058790,NZ_JBHYOV010000003.1,369588,444613,64.2953,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC014780,NZ_JBIBXO010000013.1,7813,82855,64.2953,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC057782,NZ_JBHVKS010000009.1,216416,291445,64.3054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei JK1,NZ_CP121271.1,6490078,6565131,64.3033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei JK1,CP121271.1,6490078,6565131,67.9234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC057068,NZ_JBHUTE010000003.1,62746,117396,48.5992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptomyces rochei NPDC060231,NZ_JBHXAF010000002.1,7864,82894,64.2979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei D21E05,NZ_CP139824.1,6676303,6751344,64.3020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei D21E05,CP139824.1,6676303,6751344,67.9176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC017750,NZ_JBIRIM010000001.1,395167,462463,64.1342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC087318,NZ_JBIUYB010000002.1,7827,82837,64.2992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei NPDC058344,NZ_JBHXIF010000016.1,155321,219516,64.1139,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces rochei Sal35,KT362047.1,2625,67612,53.3961,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. SudanB91_2054,NZ_OZ186793.1,6382101,6457145,67.9101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. SudanB91_2054,OZ186793.1,6382101,6457145,67.9100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. SudanB5_2050,NZ_OZ186760.1,6225618,6300678,64.2971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. SudanB5_2050,OZ186760.1,6225618,6300678,67.9161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. SudanB135_2055,NZ_OZ186791.1,6371044,6446120,64.2941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces sp. SudanB135_2055,OZ186791.1,6371044,6446120,67.9035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces turgidiscabies W2I16,NZ_JAUSZS010000008.1,1675342,1756575,73.3207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Streptomyces turgidiscabies W2I16,JAUSZS010000008.1,1675342,1756575,76.6439,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Streptomyces dubilierae DSM 41921,NZ_JAVREU010000003.1,125690,201024,67.2833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces dubilierae DSM 41921,JAVREU010000003.1,125690,201024,67.2835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Streptomyces levis JCM 6924,NZ_BAAATM010000003.1,473033,555397,82.6168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Streptomyces levis JCM 6924,BAAATM010000003.1,473033,555397,82.6149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
