Organism,Scaffold,Start,End,Score,CAB39692.1,CAB39693.1,CAB39695.1,CAB39696.1,CAB39697.1,CAB39699.1,CAB39701.1,CAB39702.1
Streptomyces sp. NPDC097107,NZ_JBIWEF010000012.1,266612,275037,11.4491,1,1,1,1,1,1,0,0
Streptomyces sp. SCL15-6,NZ_JAOBTR010000001.1,3699189,3710733,12.5338,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC056405,NZ_JBHJPD010000005.1,13291,26240,15.6588,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058818,NZ_JBHYNW010000002.1,527013,539984,15.6565,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC096094,NZ_JBIWGE010000002.1,246,8670,11.4496,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC096048,NZ_JBIWGG010000008.1,336,8760,11.4478,1,1,1,1,1,1,0,0
Streptomyces sp. AC512_CC834,NZ_JAGMUO010000052.1,20811,33804,15.6714,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017260,NZ_JBIRMN010000006.1,311292,324243,12.5379,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC017259,NZ_JBIRMO010000006.1,311292,324243,12.5379,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC017225,NZ_JBIRNE010000007.1,311292,324243,12.5379,1,1,1,1,1,1,0,1
Streptomyces sp. NPDC048188,NZ_JBEZMP010000046.1,47432,55849,11.4656,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC048225,NZ_JBIDAA010000002.1,521485,534428,15.6816,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC051135,NZ_JBFBBJ010000015.1,141034,149451,11.4656,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC051136,NZ_JBITFE010000001.1,140914,153857,15.6817,1,1,1,1,1,1,1,1
Streptomyces sp. BB1-1-1,NZ_CP134203.1,1106739,1119722,15.6575,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW230,NZ_JBBCBX010000009.1,19359,32327,15.6553,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW237,NZ_JBBCBY010000010.1,166125,179093,15.6553,1,1,1,1,1,1,1,1
Streptomyces sp. CCNWLW238,NZ_JBBCBZ010000012.1,210195,218620,11.4456,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC057780,NZ_JBHVKQ010000001.1,184957,197925,15.6553,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057781,NZ_JBHVKR010000053.1,19295,32263,15.6553,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC056296,NZ_JBHJRX010000012.1,298,8723,11.4499,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058834,NZ_JBHYNJ010000139.1,356,8780,11.4485,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC058812,NZ_JBHYOB010000007.1,424668,433092,11.4485,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC000351,NZ_JBEPDW010000015.1,15689,28652,15.6532,1,1,1,1,1,1,1,1
Streptomyces sp. CB09030,NZ_CP094676.1,3172343,3185298,12.6030,1,1,1,0,1,1,1,1
Streptomyces sp. ZSW22,NZ_JAUEPA010000072.1,16509,24965,11.4486,1,1,1,1,1,1,0,0
Streptomyces sp. MA25(2023),NZ_JAUEPC010000003.1,530644,539100,11.4484,1,1,1,1,1,1,0,0
Streptomyces sp. alain-838,NQNW01000190.1,1615,10070,8.3715,1,1,0,1,1,1,0,0
Streptomyces sp. NPDC033538,NZ_JBEZVH010000037.1,14021,26966,15.6582,1,1,1,1,1,1,1,1
Streptomyces sp. DH41,NZ_JARVKY010000003.1,112070,125027,15.6588,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057363,NZ_JBHVAP010000009.1,26477,39434,15.6582,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017454,NZ_JBIRLK010000001.1,953434,966389,15.6579,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017230,NZ_JBIRNC010000008.1,11890,24847,15.6578,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC017227,NZ_JBIRND010000011.1,214452,227409,15.6578,1,1,1,1,1,1,1,1
Streptomyces sp. DH17,JARVKX010000001.1,1007141,1020086,15.6564,1,1,1,1,1,1,1,1
Streptomyces sp. Alain-F2R5,NQOS01000136.1,11423,19879,11.4536,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC017890,NZ_JBIRHU010000003.1,402680,411105,11.4463,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC048219,NZ_JBIDAB010000002.1,484642,497511,15.6494,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048193,NZ_JBEZMN010000004.1,324129,332510,11.4415,1,1,1,1,1,1,0,0
Streptomyces sp. NPDC048185,NZ_JBIDAN010000002.1,627597,640466,15.6488,1,1,1,1,1,1,1,1
Streptomyces sp. FXJ7.023,NZ_APIV01000039.1,282,8732,8.3894,1,1,1,0,1,1,0,0
Streptomyces sp. VN1,NZ_CP036534.1,7157718,7170694,12.6029,1,1,1,0,1,1,1,1
Streptomyces sp. VN1,CP036534.1,7157718,7170694,15.6740,1,1,1,1,1,1,1,1
Streptomyces sp. CT1-17,NZ_JAJEJZ010000026.1,22874,35850,12.6044,1,1,1,0,1,1,1,1
Streptomyces sp. CT1-17,JAJEJZ010000026.1,22874,35850,12.6032,1,1,1,0,1,1,1,1
Streptomyces sp. STCH 565 A,NZ_JAMSHC010000009.1,84634,97610,12.6044,1,1,1,0,1,1,1,1
Streptomyces sp. STCH 565 A,JAMSHC010000009.1,84634,97610,12.6033,1,1,1,0,1,1,1,1
Streptomyces sp. A13(2022),NZ_JANFMQ010000028.1,33979,46955,12.6036,1,1,1,0,1,1,1,1
Streptomyces sp. A13(2022),JANFMQ010000028.1,33979,46955,12.6024,1,1,1,0,1,1,1,1
Streptomyces sp. A108,NZ_JACBYP010000024.1,31303,44336,15.6686,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057245,NZ_JBHUXO010000011.1,65949,78997,15.6684,1,1,1,1,1,1,1,1
Streptomyces sp. B146,NZ_CP102359.1,7105695,7118671,12.6019,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC057148,NZ_JBHUVF010000004.1,172825,185718,15.6487,1,1,1,1,1,1,1,1
Streptomyces sp. NBUA17,NZ_CP172414.1,7120686,7133653,12.6034,1,1,1,0,1,1,1,1
Streptomyces sp. CC302I,NZ_JBHOFE010000008.1,90087,102967,15.6499,1,1,1,1,1,1,1,1
Streptomyces sp. CC71,NZ_LOSR01000149.1,84027,96906,15.6499,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC093586,NZ_JBIWJA010000031.1,87110,95485,11.4399,1,1,1,1,1,1,0,0
Streptomyces sp. VITNK9,NZ_JACWAA010000001.1,1052189,1065068,15.6498,1,1,1,1,1,1,1,1
Streptomyces sp. Osf17,NZ_JADBJP010000001.1,6747908,6760787,15.6497,1,1,1,1,1,1,1,1
Streptomyces sp. Babs14,NZ_JADBJQ010000002.1,6748614,6761493,15.6497,1,1,1,1,1,1,1,1
Streptomyces sp. RM99,NZ_JAGPYI010000002.1,259768,272648,15.6499,1,1,1,1,1,1,1,1
Streptomyces sp. DH1,NZ_JAHWGV010000008.1,112638,125517,15.6497,1,1,1,1,1,1,1,1
Streptomyces sp. WAC04189,NZ_RPRT01000005.1,150723,163603,15.6500,1,1,1,1,1,1,1,1
Streptomyces sp. WAC04189,RPRT01000005.1,150723,163603,15.6543,1,1,1,1,1,1,1,1
Streptomyces sp. WAC05458,NZ_RPRU01000004.1,156243,169122,15.6495,1,1,1,1,1,1,1,1
Streptomyces sp. WAC05458,RPRU01000004.1,156243,169122,15.6539,1,1,1,1,1,1,1,1
Streptomyces sp. WAC08452,NZ_RPRW01000015.1,154503,167382,15.6496,1,1,1,1,1,1,1,1
Streptomyces sp. WAC08452,RPRW01000015.1,154503,167382,15.6540,1,1,1,1,1,1,1,1
Streptomyces sp. WAC06273,NZ_RPSD01000003.1,161930,174809,15.6498,1,1,1,1,1,1,1,1
Streptomyces sp. WAC06273,RPSD01000003.1,161930,174809,15.6542,1,1,1,1,1,1,1,1
Streptomyces sp. SS52,NZ_CP039123.1,7005612,7018491,15.6501,1,1,1,1,1,1,1,1
Streptomyces sp. SS52,CP039123.1,7005612,7018491,15.6545,1,1,1,1,1,1,1,1
Streptomyces sp. SGAir0924,NZ_CP027297.1,6922964,6935844,15.6497,1,1,1,1,1,1,1,1
Streptomyces sp. SGAir0924,CP027297.1,6922964,6935844,15.6541,1,1,1,1,1,1,1,1
Streptomyces sp. A144,NZ_CP083267.2,6856213,6869092,15.6497,1,1,1,1,1,1,1,1
Streptomyces sp. KAI 90,NZ_JAANNZ010000007.1,162239,175118,12.5335,1,1,1,1,1,1,0,1
Streptomyces sp. CRB46,NZ_JACTMC010000044.1,18166,31045,15.6496,1,1,1,1,1,1,1,1
Streptomyces sp. RT42,NZ_JAGPYJ010000005.1,229711,242590,15.6495,1,1,1,1,1,1,1,1
Streptomyces sp. CS207,NZ_KZ819185.1,109316,122195,15.6491,1,1,1,1,1,1,1,1
Streptomyces sp. CS207,KZ819185.1,109316,122195,15.6535,1,1,1,1,1,1,1,1
Streptomyces sp. WAC08401,NZ_RPRV01000001.1,196922,209801,15.6510,1,1,1,1,1,1,1,1
Streptomyces sp. WAC08401,RPRV01000001.1,196922,209801,15.6553,1,1,1,1,1,1,1,1
Streptomyces sp. WAC06128,NZ_RPSC01000002.1,935812,948691,15.6496,1,1,1,1,1,1,1,1
Streptomyces sp. WAC06128,RPSC01000002.1,935812,948691,15.6540,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018322,NZ_JBIREU010000003.1,529332,542243,15.6485,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC018321,NZ_JBIREV010000004.1,57777,70688,15.6485,1,1,1,1,1,1,1,1
Streptomyces sp. AC602_WCS936,NZ_JAGMUF010000112.1,162853,175746,15.6497,1,1,1,1,1,1,1,1
Streptomyces sp. 030-HV,NZ_JAJPVU010000004.1,150322,163201,12.5334,1,1,1,1,1,1,0,1
Streptomyces sp. AN-3,NZ_JASBOE010000004.1,94340,107219,15.6489,1,1,1,1,1,1,1,1
Streptomyces sp. WAC02707,NZ_RPSB01000008.1,111892,124771,15.6493,1,1,1,1,1,1,1,1
Streptomyces sp. WAC02707,RPSB01000008.1,111892,124771,15.6537,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC001315,NZ_JBIAWZ010000005.1,176071,184386,8.3629,1,1,0,1,1,1,0,0
Streptomyces sp. NPDC058848,NZ_JBHYMZ010000001.1,114438,127346,15.6522,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058847,NZ_JBHYNA010000001.1,146352,159260,15.6514,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058832,NZ_JBHYNL010000098.1,66,6815,9.3745,1,1,1,1,1,0,0,0
Streptomyces sp. NPDC058830,NZ_JBHYNN010000033.1,47722,60630,15.6522,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058829,NZ_JBHYNO010000054.1,20505,33413,15.6522,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058828,NZ_JBHYNP010000002.1,498837,511745,15.6522,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058826,NZ_JBHYNR010000002.1,202680,215588,15.6522,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058825,NZ_JBHYNS010000055.1,20494,33402,15.6522,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058807,NZ_JBHYOG010000004.1,147107,160015,15.6518,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058796,NZ_JBHYOP010000005.1,113882,126790,15.6518,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058794,NZ_JBHYOR010000003.1,20457,33365,15.6514,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC058793,NZ_JBHYOS010000003.1,378474,391382,15.6518,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC048392,NZ_JBICYB010000024.1,243,8708,11.4575,1,1,1,1,1,1,0,0
Streptomyces sp. M92,NZ_CP101137.1,4710423,4723331,15.6475,1,1,1,1,1,1,1,1
Streptomyces sp. NPDC057336,NZ_JBHVAC010000002.1,38685,51593,12.5773,1,1,1,0,1,1,1,1
Streptomyces sp. NPDC057381,NZ_JBHVBF010000001.1,38700,51608,12.5774,1,1,1,0,1,1,1,1
Streptomyces sp. LKA04,NZ_JBLUUE010000029.1,72009,80424,11.4447,1,1,1,1,1,1,0,0
Streptomyces sp. SID5606,WWIE01000142.1,390,8805,11.4452,1,1,1,1,1,1,0,0
Streptomyces sp. VNUA74,NZ_CP133215.1,6351200,6364114,15.6525,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,NZ_CM001889.1,7494820,7507773,15.7137,1,1,1,1,1,1,1,1
Streptomyces lividans 1326,CM001889.1,7494820,7507773,15.7154,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,NZ_CP009124.1,1016988,1029941,15.7137,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,CP009124.1,1016988,1029941,15.7154,1,1,1,1,1,1,1,1
Streptomyces lividans TK24,GG657756.1,986693,999646,15.7124,1,1,1,1,1,1,1,1
Streptomyces lividans TK23,AP025539.1,7287749,7300702,15.7124,1,1,1,1,1,1,1,1
Streptomyces lividans TK24 DG2-P41,CP071123.1,1023948,1036901,15.7154,1,1,1,1,1,1,1,1
Streptomyces lividans TK24-YQS040,CP071800.1,1022640,1035593,15.7154,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus IPS92ro,NZ_JAPWHU010000019.1,22080,30501,11.4910,1,1,1,1,1,1,0,0
Streptomyces rubrogriseus IPS92ro,JAPWHU010000019.1,22080,30501,11.4899,1,1,1,1,1,1,0,0
Streptomyces rubrogriseus NBRC 15455,NZ_BEWD01000001.1,505632,518567,15.7079,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NBRC 15455,NZ_CP116256.1,5364397,5377332,15.7079,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,NZ_JAAGMQ010000354.1,8281,21225,15.7077,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus SID7739,JAAGMQ010000354.1,8281,21225,15.7066,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC058346,NZ_JBHXIH010000003.1,15070,28014,15.7079,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC014811,NZ_JBIBXB010000032.1,29456,42400,15.7080,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC090058,NZ_JBIVEP010000012.1,82028,94972,15.7075,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC059658,NZ_JBHWEC010000007.1,265218,278162,15.7078,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC018032,NZ_JBIRFS010000007.1,321894,334847,15.7079,1,1,1,1,1,1,1,1
Streptomyces rubrogriseus NPDC085456,NZ_JBITTP010000013.1,119426,132370,15.7073,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,NZ_BAAASK010000040.1,17375,30346,15.7133,1,1,1,1,1,1,1,1
Streptomyces violaceolatus JCM 4531,BAAASK010000040.1,17375,30346,15.7120,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,NZ_CP137734.1,973632,986603,15.7139,1,1,1,1,1,1,1,1
Streptomyces violaceoruber CGMCC 4.1801,CP137734.1,973632,986603,15.7128,1,1,1,1,1,1,1,1
Streptomyces violaceoruber NRRL S-12,NZ_JOCE01000062.1,28674,37104,11.4908,1,1,1,1,1,1,0,0
Streptomyces violaceoruber JCM 4423,BAABGV010000185.1,251,8681,11.4878,1,1,1,1,1,1,0,0
Streptomyces tendae JCM 4610,NZ_BMUY01000011.1,119107,132058,15.6987,1,1,1,1,1,1,1,1
Streptomyces tendae JCM 4610,BMUY01000011.1,119107,132058,15.6992,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC006280,NZ_JBEXSB010000013.1,209759,218169,11.4813,1,1,1,1,1,1,0,0
Streptomyces tendae NPDC052220,NZ_JBFAVG010000022.1,121831,130241,11.4811,1,1,1,1,1,1,0,0
Streptomyces tendae NPDC003786,NZ_JBIANS010000001.1,388591,401542,15.6997,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048226,NZ_JBICZZ010000010.1,296428,309379,15.6995,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC092921,NZ_JBIVPV010000001.1,374940,387891,15.6999,1,1,1,1,1,1,1,1
Streptomyces tendae UTMC 3329,NZ_RSEG01000006.1,379818,388228,11.4820,1,1,1,1,1,1,0,0
Streptomyces tendae NPDC018039,NZ_JBIRFN010000003.1,357812,370742,15.6971,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018027,NZ_JBIRFX010000003.1,374287,387217,15.6971,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC018015,NZ_JBIRGG010000007.1,374287,387217,15.6971,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003747,NZ_JBIANV010000002.1,385749,398700,15.6998,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048173,NZ_JBEZMQ010000005.1,592962,605913,15.6975,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048183,NZ_JBIDAP010000003.1,171297,184248,15.6985,1,1,1,1,1,1,1,1
Streptomyces tendae VITAKN,NZ_JAAIFS010000001.1,635667,648597,15.6965,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004691,NZ_JBEXJW010000012.1,280171,293122,15.6980,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004678,NZ_JBEXJY010000008.1,213512,226463,15.6980,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC059847,NZ_JBHWJF010000024.1,115331,128282,15.6995,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058356,NZ_JBHXIR010000007.1,244219,257170,15.6989,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC001382,NZ_JBEPAR010000015.1,123933,136863,15.6938,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC052110,NZ_JBFAWE010000001.1,94409,107339,15.6959,1,1,1,1,1,1,1,1
Streptomyces tendae CALK1-4,NZ_JBIQWK010000016.1,123656,136586,15.6973,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003773,NZ_JBIANU010000007.1,388060,401011,15.6992,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC004977,NZ_JBEXJE010000001.1,462188,475118,15.6960,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003768,NZ_JBEXMU010000104.1,156,6893,9.4068,1,1,1,1,1,0,0,0
Streptomyces tendae NPDC001029,NZ_JBIAYI010000001.1,1052961,1065891,15.6968,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057734,NZ_JBHVJS010000003.1,516878,529829,15.6987,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057753,NZ_JBHVKB010000004.1,181167,194118,15.6987,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048238,NZ_JBICZQ010000004.1,162190,175123,15.6969,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058331,NZ_JBHXHT010000009.1,69759,82710,15.6986,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058332,NZ_JBHXHU010000001.1,307631,320582,15.6987,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058343,NZ_JBHXIE010000001.1,286451,299402,15.6987,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058359,NZ_JBHXIU010000011.1,34571,47522,15.6985,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058912,NZ_JBHYLJ010000019.1,46156,59107,15.6995,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058889,NZ_JBHYLW010000002.1,106385,119336,15.6995,1,1,1,1,1,1,1,1
Streptomyces tendae SAI-227,NZ_JBIYET010000001.1,7148061,7161012,15.6995,1,1,1,1,1,1,1,1
Streptomyces tendae SAI-227,JBIYET010000001.1,7148061,7161012,15.7039,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048237,NZ_JBICZR010000002.1,454944,467877,15.6968,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003830,NZ_JBIANO010000005.1,460004,472925,15.6963,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC101120,NZ_JBIVZF010000001.1,455153,468074,15.6956,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC003948,NZ_JBIANF010000005.1,160129,173053,15.6953,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087198,NZ_JBIUZH010000004.1,72019,84943,15.6952,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC087193,NZ_JBIUZI010000001.1,391419,404343,15.6957,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048588,NZ_JBICWD010000023.1,83457,96357,15.6898,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC049647,NZ_JBITLT010000002.1,226597,239503,15.6884,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC057553,NZ_JBHVFK010000250.1,243,8644,11.4783,1,1,1,1,1,1,0,0
Streptomyces tendae NPDC048071,NZ_JBEZNE010000014.1,93966,106890,15.6947,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC058950,NZ_JBHYKQ010000002.1,319389,327790,11.4786,1,1,1,1,1,1,0,0
Streptomyces tendae NPDC058749,NZ_JBHYQA010000024.1,124123,132524,11.4786,1,1,1,1,1,1,0,0
Streptomyces tendae NPDC048598,NZ_JBEZID010000029.1,73542,86442,15.6927,1,1,1,1,1,1,1,1
Streptomyces tendae,NZ_CANLXQ010000011.1,47008,59932,15.6934,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047797,NZ_JBEYSE010000013.1,51526,64450,15.6948,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC013796,NZ_JBICBD010000019.1,34733,47657,15.6957,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC048075,NZ_JBIDBF010000009.1,213254,226178,15.6957,1,1,1,1,1,1,1,1
Streptomyces tendae NPDC047796,NZ_JBEYSF010000029.1,243,8644,11.4746,1,1,1,1,1,1,0,0
Kitasatospora aureofaciens Tu117,AP028963.1,1247569,1260499,10.5397,1,1,0,0,1,1,1,1
Streptomyces coelicoflavus NPDC056535,NZ_JBHTTY010000020.1,20447,33383,15.6950,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus SID14163,NZ_JAAGMA010000567.1,22815,35758,15.6952,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056610,NZ_JBHTVU010000005.1,207877,220814,15.6941,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC056964,NZ_JBHURH010000035.1,17182,30119,15.6938,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060121,NZ_JBFBNC010000001.1,677206,690149,15.6944,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059677,NZ_JBHWEQ010000016.1,17902,30845,15.6935,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060156,NZ_JBHWYF010000005.1,128520,141463,15.6934,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC060157,NZ_JBHWYG010000007.1,128356,141299,15.6934,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059415,NZ_JBHYWE010000011.1,21836,34779,15.6935,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,NZ_JAPENQ010000002.1,1051885,1064828,15.6938,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00465,JAPENQ010000002.1,1051885,1064828,15.6948,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC057274,NZ_JBHUYM010000016.1,60595,73538,15.6938,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,NZ_CP108218.1,840823,853766,15.6932,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00099,CP108218.1,840823,853766,15.6942,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059661,NZ_JBHWEE010000002.1,728951,741888,15.6928,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC059674,NZ_JBHWEO010000266.1,250,8664,11.4794,1,1,1,1,1,1,0,0
Streptomyces coelicoflavus NBRC 15399,NZ_BEWB01000008.1,25570,38513,15.6935,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC001050,NZ_JBEPBG010000019.1,61073,74016,15.6936,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC003954,NZ_JBIANE010000001.1,783057,796000,15.6950,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC089661,NZ_JBIVHO010000001.1,165675,178618,15.6929,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NPDC058541,NZ_JBHXOB010000003.1,165734,178671,15.6938,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus SID14172,NZ_JAAGMB010000101.1,8447,21390,15.6962,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus LM32,NZ_JBAGKW010000034.1,25798,38724,15.6957,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus S3018,NZ_JASDBW010000005.1,390935,403878,15.6945,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus DBR11,NZ_JAMOLO010000050.1,15574,28524,15.6965,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus DBR11,JAMOLO010000050.1,15574,28524,15.6918,1,1,1,1,1,1,1,1
Streptomyces coelicoflavus NBC_00357,NZ_CP107977.1,6952862,6965802,15.6950,1,1,1,1,1,1,1,1
Streptomyces violaceorubidus NPDC001615,NZ_JBEOZY010000030.1,49074,62019,15.6936,1,1,1,1,1,1,1,1
Streptomyces violaceorubidus NRRL B-16381,NZ_JODM01000041.1,28845,41179,15.6934,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_BAABIV010000007.1,125724,138675,15.6986,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,NZ_JAIOJZ010000008.1,89526,102477,15.6995,1,1,1,1,1,1,1,1
Streptomyces hyderabadensis JCM 17657,BAABIV010000007.1,125724,138675,15.7000,1,1,1,1,1,1,1,1
Streptomyces salinarius CS29,NZ_JAVCWJ010000010.1,102076,115020,15.6979,1,1,1,1,1,1,1,1
Streptomyces salinarius Lnu-12,NZ_JAXLNW010000003.1,442564,455508,15.6963,1,1,1,1,1,1,1,1
Streptomyces salinarius VRMG2420,NZ_JBITPR010000021.1,66239,79183,15.6978,1,1,1,1,1,1,1,1
Streptomyces salinarius SS06011,NZ_JACLZH010000003.1,476382,489326,15.6969,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NBRC 15402,NZ_BEWC01000001.1,570032,582943,15.6836,1,1,1,1,1,1,1,1
Streptomyces ardesiacus 6G-OA-21,NZ_JAMHJP010000012.1,85910,98821,15.6844,1,1,1,1,1,1,1,1
Streptomyces ardesiacus 6G-OA-21,JAMHJP010000012.1,85910,98821,15.6805,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC006166,NZ_JBEXTN010000004.1,52411,65322,15.6846,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC007026,NZ_JBEYGW010000008.1,260685,273596,15.6832,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC059588,NZ_JBHWCG010000050.1,52601,65512,15.6841,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC059739,NZ_JBHWGO010000065.1,6851,19762,15.6844,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC093072,NZ_JBIVPG010000026.1,85239,98150,15.6840,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC094450,NZ_JBEOTR010000018.1,111709,124620,15.6839,1,1,1,1,1,1,1,1
Streptomyces ardesiacus NPDC093086,NZ_JBIVPC010000001.1,232615,245526,15.6850,1,1,1,1,1,1,1,1
